borough,demo,table,name,label,value,percentage,concept
Bronx,Age,B01001,B01001_001,Age,1435068,1,SEX BY AGE
Bronx,Age,B01001,B01001_002,Age_Male,676437,0.4714,SEX BY AGE
Bronx,Age,B01001,B01001_003,Age_Male_Under_5_Years,53200,0.0371,SEX BY AGE
Bronx,Age,B01001,B01001_004,Age_Male_5_To_9_Years,50370,0.0351,SEX BY AGE
Bronx,Age,B01001,B01001_005,Age_Male_10_To_14_Years,49521,0.0345,SEX BY AGE
Bronx,Age,B01001,B01001_006,Age_Male_15_To_17_Years,29583,0.0206,SEX BY AGE
Bronx,Age,B01001,B01001_007,Age_Male_18_And_19_Years,19838,0.0138,SEX BY AGE
Bronx,Age,B01001,B01001_008,Age_Male_20_Years,11630,0.0081,SEX BY AGE
Bronx,Age,B01001,B01001_009,Age_Male_21_Years,10843,0.0076,SEX BY AGE
Bronx,Age,B01001,B01001_010,Age_Male_22_To_24_Years,31739,0.0221,SEX BY AGE
Bronx,Age,B01001,B01001_011,Age_Male_25_To_29_Years,59947,0.0418,SEX BY AGE
Bronx,Age,B01001,B01001_012,Age_Male_30_To_34_Years,50565,0.0352,SEX BY AGE
Bronx,Age,B01001,B01001_013,Age_Male_35_To_39_Years,43234,0.0301,SEX BY AGE
Bronx,Age,B01001,B01001_014,Age_Male_40_To_44_Years,40648,0.0283,SEX BY AGE
Bronx,Age,B01001,B01001_015,Age_Male_45_To_49_Years,41465,0.0289,SEX BY AGE
Bronx,Age,B01001,B01001_016,Age_Male_50_To_54_Years,42432,0.0296,SEX BY AGE
Bronx,Age,B01001,B01001_017,Age_Male_55_To_59_Years,37915,0.0264,SEX BY AGE
Bronx,Age,B01001,B01001_018,Age_Male_60_And_61_Years,14301,0.01,SEX BY AGE
Bronx,Age,B01001,B01001_019,Age_Male_62_To_64_Years,18797,0.0131,SEX BY AGE
Bronx,Age,B01001,B01001_020,Age_Male_65_And_66_Years,10657,0.0074,SEX BY AGE
Bronx,Age,B01001,B01001_021,Age_Male_67_To_69_Years,13633,0.0095,SEX BY AGE
Bronx,Age,B01001,B01001_022,Age_Male_70_To_74_Years,18130,0.0126,SEX BY AGE
Bronx,Age,B01001,B01001_023,Age_Male_75_To_79_Years,13388,0.0093,SEX BY AGE
Bronx,Age,B01001,B01001_024,Age_Male_80_To_84_Years,7992,0.0056,SEX BY AGE
Bronx,Age,B01001,B01001_025,Age_Male_85_Years_And_Over,6609,0.0046,SEX BY AGE
Bronx,Age,B01001,B01001_026,Age_Female,758631,0.5286,SEX BY AGE
Bronx,Age,B01001,B01001_027,Age_Female_Under_5_Years,51686,0.036,SEX BY AGE
Bronx,Age,B01001,B01001_028,Age_Female_5_To_9_Years,47127,0.0328,SEX BY AGE
Bronx,Age,B01001,B01001_029,Age_Female_10_To_14_Years,48562,0.0338,SEX BY AGE
Bronx,Age,B01001,B01001_030,Age_Female_15_To_17_Years,28355,0.0198,SEX BY AGE
Bronx,Age,B01001,B01001_031,Age_Female_18_And_19_Years,19013,0.0132,SEX BY AGE
Bronx,Age,B01001,B01001_032,Age_Female_20_Years,10672,0.0074,SEX BY AGE
Bronx,Age,B01001,B01001_033,Age_Female_21_Years,11371,0.0079,SEX BY AGE
Bronx,Age,B01001,B01001_034,Age_Female_22_To_24_Years,32012,0.0223,SEX BY AGE
Bronx,Age,B01001,B01001_035,Age_Female_25_To_29_Years,62378,0.0435,SEX BY AGE
Bronx,Age,B01001,B01001_036,Age_Female_30_To_34_Years,55560,0.0387,SEX BY AGE
Bronx,Age,B01001,B01001_037,Age_Female_35_To_39_Years,51188,0.0357,SEX BY AGE
Bronx,Age,B01001,B01001_038,Age_Female_40_To_44_Years,46315,0.0323,SEX BY AGE
Bronx,Age,B01001,B01001_039,Age_Female_45_To_49_Years,48090,0.0335,SEX BY AGE
Bronx,Age,B01001,B01001_040,Age_Female_50_To_54_Years,50182,0.035,SEX BY AGE
Bronx,Age,B01001,B01001_041,Age_Female_55_To_59_Years,45549,0.0317,SEX BY AGE
Bronx,Age,B01001,B01001_042,Age_Female_60_And_61_Years,17090,0.0119,SEX BY AGE
Bronx,Age,B01001,B01001_043,Age_Female_62_To_64_Years,24229,0.0169,SEX BY AGE
Bronx,Age,B01001,B01001_044,Age_Female_65_And_66_Years,13770,0.0096,SEX BY AGE
Bronx,Age,B01001,B01001_045,Age_Female_67_To_69_Years,18833,0.0131,SEX BY AGE
Bronx,Age,B01001,B01001_046,Age_Female_70_To_74_Years,25244,0.0176,SEX BY AGE
Bronx,Age,B01001,B01001_047,Age_Female_75_To_79_Years,20725,0.0144,SEX BY AGE
Bronx,Age,B01001,B01001_048,Age_Female_80_To_84_Years,14238,0.0099,SEX BY AGE
Bronx,Age,B01001,B01001_049,Age_Female_85_Years_And_Over,16442,0.0115,SEX BY AGE
Bronx,Median Age,B01002,B01002_001,MedianAge_Age,35.35119760479042,NA,MEDIAN AGE BY SEX
Bronx,Median Age,B01002,B01002_002,MedianAge_Age_Male,33.20512048192771,NA,MEDIAN AGE BY SEX
Bronx,Median Age,B01002,B01002_003,MedianAge_Age_Female,37.33783783783784,NA,MEDIAN AGE BY SEX
Bronx,Total Population,B01003,B01003_001,TotalPopulation,1435068,1,TOTAL POPULATION
Bronx,Race,B03002,B03002_001,Race,1435068,1,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_002,Race_Not_Hispanic_Or_Latino,631050,0.4397,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_003,Race_Not_Hispanic_Or_Latino_White_Alone,131140,0.0914,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_004,Race_Not_Hispanic_Or_Latino_Black_Or_African_American_Alone,419473,0.2923,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_005,Race_Not_Hispanic_Or_Latino_American_Indian_And_Alaska_Native_Alone,3269,0.0023,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_006,Race_Not_Hispanic_Or_Latino_Asian_Alone,51470,0.0359,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_007,Race_Not_Hispanic_Or_Latino_Native_Hawaiian_And_Other_Pacific_Islander_Alone,437,3e-4,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_008,Race_Not_Hispanic_Or_Latino_Some_Other_Race_Alone,8971,0.0063,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_009,Race_Not_Hispanic_Or_Latino_Two_Or_More_Races,16290,0.0114,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_010,Race_Not_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Including_Some_Other_Race,2543,0.0018,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_011,Race_Not_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Excluding_Some_Other_Race_And_Three_Or_More_Races,13747,0.0096,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_012,Race_Hispanic_Or_Latino,804018,0.5603,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_013,Race_Hispanic_Or_Latino_White_Alone,184393,0.1285,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_014,Race_Hispanic_Or_Latino_Black_Or_African_American_Alone,85341,0.0595,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_015,Race_Hispanic_Or_Latino_American_Indian_And_Alaska_Native_Alone,6847,0.0048,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_016,Race_Hispanic_Or_Latino_Asian_Alone,1519,0.0011,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_017,Race_Hispanic_Or_Latino_Native_Hawaiian_And_Other_Pacific_Islander_Alone,948,7e-4,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_018,Race_Hispanic_Or_Latino_Some_Other_Race_Alone,485392,0.3382,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_019,Race_Hispanic_Or_Latino_Two_Or_More_Races,39578,0.0276,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_020,Race_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Including_Some_Other_Race,20702,0.0144,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Race,B03002,B03002_021,Race_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Excluding_Some_Other_Race_And_Three_Or_More_Races,18876,0.0132,HISPANIC OR LATINO ORIGIN BY RACE
Bronx,Household Type,B11001,B11001_001,HouseholdType,503829,1,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
Bronx,Household Type,B11001,B11001_002,HouseholdType_Family_Households,325361,0.6458,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
Bronx,Household Type,B11001,B11001_003,HouseholdType_Family_Households_Married_Couple_Family,139508,0.2769,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
Bronx,Household Type,B11001,B11001_004,HouseholdType_Family_Households_Other_Family,185853,0.3689,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
Bronx,Household Type,B11001,B11001_005,HouseholdType_Family_Households_Other_Family_Male_Householder_No_Spouse_Present,39761,0.0789,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
Bronx,Household Type,B11001,B11001_006,HouseholdType_Family_Households_Other_Family_Female_Householder_No_Spouse_Present,146092,0.29,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
Bronx,Household Type,B11001,B11001_007,HouseholdType_Nonfamily_Households,178468,0.3542,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
Bronx,Household Type,B11001,B11001_008,HouseholdType_Nonfamily_Households_Householder_Living_Alone,156742,0.3111,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
Bronx,Household Type,B11001,B11001_009,HouseholdType_Nonfamily_Households_Householder_Not_Living_Alone,21726,0.0431,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
Bronx,Marital Status,B12001,B12001_001,MaritalStatus,1134602,1,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Marital Status,B12001,B12001_002,MaritalStatus_Male,523346,0.4613,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Marital Status,B12001,B12001_003,MaritalStatus_Male_Never_Married,266647,0.235,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Marital Status,B12001,B12001_004,MaritalStatus_Male_Now_Married,206503,0.182,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Marital Status,B12001,B12001_005,MaritalStatus_Male_Now_Married_Married_Spouse_Present,152972,0.1348,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Marital Status,B12001,B12001_006,MaritalStatus_Male_Now_Married_Married_Spouse_Absent,53531,0.0472,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Marital Status,B12001,B12001_007,MaritalStatus_Male_Now_Married_Married_Spouse_Absent_Separated,19309,0.017,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Marital Status,B12001,B12001_008,MaritalStatus_Male_Now_Married_Married_Spouse_Absent_Other,34222,0.0302,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Marital Status,B12001,B12001_009,MaritalStatus_Male_Widowed,11652,0.0103,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Marital Status,B12001,B12001_010,MaritalStatus_Male_Divorced,38544,0.034,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Marital Status,B12001,B12001_011,MaritalStatus_Female,611256,0.5387,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Marital Status,B12001,B12001_012,MaritalStatus_Female_Never_Married,282832,0.2493,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Marital Status,B12001,B12001_013,MaritalStatus_Female_Now_Married,212539,0.1873,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Marital Status,B12001,B12001_014,MaritalStatus_Female_Now_Married_Married_Spouse_Present,141718,0.1249,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Marital Status,B12001,B12001_015,MaritalStatus_Female_Now_Married_Married_Spouse_Absent,70821,0.0624,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Marital Status,B12001,B12001_016,MaritalStatus_Female_Now_Married_Married_Spouse_Absent_Separated,37119,0.0327,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Marital Status,B12001,B12001_017,MaritalStatus_Female_Now_Married_Married_Spouse_Absent_Other,33702,0.0297,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Marital Status,B12001,B12001_018,MaritalStatus_Female_Widowed,48776,0.043,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Marital Status,B12001,B12001_019,MaritalStatus_Female_Divorced,67109,0.0591,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
Bronx,Education,B15003,B15003_001,Education,929546,1,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_002,Education_No_Schooling_Completed,37138,0.04,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_003,Education_Nursery_School,396,4e-4,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_004,Education_Kindergarten,322,3e-4,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_005,Education_1st_Grade,1677,0.0018,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_006,Education_2nd_Grade,3619,0.0039,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_007,Education_3rd_Grade,7415,0.008,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_008,Education_4th_Grade,7185,0.0077,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_009,Education_5th_Grade,10453,0.0112,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_010,Education_6th_Grade,20948,0.0225,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_011,Education_7th_Grade,9139,0.0098,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_012,Education_8th_Grade,26695,0.0287,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_013,Education_9th_Grade,27670,0.0298,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_014,Education_10th_Grade,30723,0.0331,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_015,Education_11th_Grade,36216,0.039,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_016,Education_12th_Grade_No_Diploma,33653,0.0362,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_017,Education_Regular_High_School_Diploma,211483,0.2275,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_018,Education_Ged_Or_Alternative_Credential,48089,0.0517,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_019,Education_Some_College_Less_Than_1_Year,40074,0.0431,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_020,Education_Some_College_1_Or_More_Years_No_Degree,121633,0.1309,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_021,Education_Associates_Degree,68468,0.0737,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_022,Education_Bachelors_Degree,120021,0.1291,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_023,Education_Masters_Degree,50413,0.0542,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_024,Education_Professional_School_Degree,9895,0.0106,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Education,B15003,B15003_025,Education_Doctorate_Degree,6221,0.0067,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
Bronx,Language,B16001,B16001_001,Language,1320398,1,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_002,Language_Speak_Only_English,551127,0.4174,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_003,Language_Spanish_Or_Spanish_Creole,622687,0.4716,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_004,Language_Spanish_Or_Spanish_Creole_Speak_English_Very_Well,342074,0.2591,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_005,Language_Spanish_Or_Spanish_Creole_Speak_English_Less_Than_Very_Well,280613,0.2125,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
Bronx,Language,B16001,B16001_006,Language_French_Incl._Patois_Cajun,14456,0.0109,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
