congressional,demo,table,name,label,value,percentage,concept
10,Age,B01001,B01001_001,Age,687337,1,SEX BY AGE
10,Age,B01001,B01001_002,Age_Male,333571,0.4853,SEX BY AGE
10,Age,B01001,B01001_003,Age_Male_Under_5_Years,23922,0.0348,SEX BY AGE
10,Age,B01001,B01001_004,Age_Male_5_To_9_Years,17483,0.0254,SEX BY AGE
10,Age,B01001,B01001_005,Age_Male_10_To_14_Years,16862,0.0245,SEX BY AGE
10,Age,B01001,B01001_006,Age_Male_15_To_17_Years,8395,0.0122,SEX BY AGE
10,Age,B01001,B01001_007,Age_Male_18_And_19_Years,7433,0.0108,SEX BY AGE
10,Age,B01001,B01001_008,Age_Male_20_Years,3770,0.0055,SEX BY AGE
10,Age,B01001,B01001_009,Age_Male_21_Years,3881,0.0056,SEX BY AGE
10,Age,B01001,B01001_010,Age_Male_22_To_24_Years,13188,0.0192,SEX BY AGE
10,Age,B01001,B01001_011,Age_Male_25_To_29_Years,31968,0.0465,SEX BY AGE
10,Age,B01001,B01001_012,Age_Male_30_To_34_Years,33993,0.0495,SEX BY AGE
10,Age,B01001,B01001_013,Age_Male_35_To_39_Years,27881,0.0406,SEX BY AGE
10,Age,B01001,B01001_014,Age_Male_40_To_44_Years,23031,0.0335,SEX BY AGE
10,Age,B01001,B01001_015,Age_Male_45_To_49_Years,21848,0.0318,SEX BY AGE
10,Age,B01001,B01001_016,Age_Male_50_To_54_Years,19894,0.0289,SEX BY AGE
10,Age,B01001,B01001_017,Age_Male_55_To_59_Years,18443,0.0268,SEX BY AGE
10,Age,B01001,B01001_018,Age_Male_60_And_61_Years,7616,0.0111,SEX BY AGE
10,Age,B01001,B01001_019,Age_Male_62_To_64_Years,10729,0.0156,SEX BY AGE
10,Age,B01001,B01001_020,Age_Male_65_And_66_Years,6833,0.0099,SEX BY AGE
10,Age,B01001,B01001_021,Age_Male_67_To_69_Years,8541,0.0124,SEX BY AGE
10,Age,B01001,B01001_022,Age_Male_70_To_74_Years,10719,0.0156,SEX BY AGE
10,Age,B01001,B01001_023,Age_Male_75_To_79_Years,6790,0.0099,SEX BY AGE
10,Age,B01001,B01001_024,Age_Male_80_To_84_Years,4759,0.0069,SEX BY AGE
10,Age,B01001,B01001_025,Age_Male_85_Years_And_Over,5592,0.0081,SEX BY AGE
10,Age,B01001,B01001_026,Age_Female,353766,0.5147,SEX BY AGE
10,Age,B01001,B01001_027,Age_Female_Under_5_Years,22839,0.0332,SEX BY AGE
10,Age,B01001,B01001_028,Age_Female_5_To_9_Years,17530,0.0255,SEX BY AGE
10,Age,B01001,B01001_029,Age_Female_10_To_14_Years,15865,0.0231,SEX BY AGE
10,Age,B01001,B01001_030,Age_Female_15_To_17_Years,8492,0.0124,SEX BY AGE
10,Age,B01001,B01001_031,Age_Female_18_And_19_Years,8869,0.0129,SEX BY AGE
10,Age,B01001,B01001_032,Age_Female_20_Years,4300,0.0063,SEX BY AGE
10,Age,B01001,B01001_033,Age_Female_21_Years,4205,0.0061,SEX BY AGE
10,Age,B01001,B01001_034,Age_Female_22_To_24_Years,15313,0.0223,SEX BY AGE
10,Age,B01001,B01001_035,Age_Female_25_To_29_Years,35035,0.051,SEX BY AGE
10,Age,B01001,B01001_036,Age_Female_30_To_34_Years,35159,0.0512,SEX BY AGE
10,Age,B01001,B01001_037,Age_Female_35_To_39_Years,25608,0.0373,SEX BY AGE
10,Age,B01001,B01001_038,Age_Female_40_To_44_Years,22073,0.0321,SEX BY AGE
10,Age,B01001,B01001_039,Age_Female_45_To_49_Years,20445,0.0297,SEX BY AGE
10,Age,B01001,B01001_040,Age_Female_50_To_54_Years,18538,0.027,SEX BY AGE
10,Age,B01001,B01001_041,Age_Female_55_To_59_Years,19274,0.028,SEX BY AGE
10,Age,B01001,B01001_042,Age_Female_60_And_61_Years,8041,0.0117,SEX BY AGE
10,Age,B01001,B01001_043,Age_Female_62_To_64_Years,11197,0.0163,SEX BY AGE
10,Age,B01001,B01001_044,Age_Female_65_And_66_Years,8220,0.012,SEX BY AGE
10,Age,B01001,B01001_045,Age_Female_67_To_69_Years,11219,0.0163,SEX BY AGE
10,Age,B01001,B01001_046,Age_Female_70_To_74_Years,14850,0.0216,SEX BY AGE
10,Age,B01001,B01001_047,Age_Female_75_To_79_Years,10026,0.0146,SEX BY AGE
10,Age,B01001,B01001_048,Age_Female_80_To_84_Years,7127,0.0104,SEX BY AGE
10,Age,B01001,B01001_049,Age_Female_85_Years_And_Over,9541,0.0139,SEX BY AGE
10,Median Age,B01002,B01002_001,MedianAge_Age,35.265467625899284,NA,MEDIAN AGE BY SEX
10,Median Age,B01002,B01002_002,MedianAge_Age_Male,34.742446043165465,NA,MEDIAN AGE BY SEX
10,Median Age,B01002,B01002_003,MedianAge_Age_Female,36.10215827338129,NA,MEDIAN AGE BY SEX
10,Total Population,B01003,B01003_001,TotalPopulation,687337,1,TOTAL POPULATION
10,Race,B03002,B03002_001,Race,687337,1,HISPANIC OR LATINO ORIGIN BY RACE
