council,demo,table,name,label,value,percentage,concept
1,Age,B01001,B01001_001,Age,172961,1,SEX BY AGE
1,Age,B01001,B01001_002,Age_Male,84024,0.4858,SEX BY AGE
1,Age,B01001,B01001_003,Age_Male_Under_5_Years,4553,0.0263,SEX BY AGE
1,Age,B01001,B01001_004,Age_Male_5_To_9_Years,3225,0.0186,SEX BY AGE
1,Age,B01001,B01001_005,Age_Male_10_To_14_Years,3232,0.0187,SEX BY AGE
1,Age,B01001,B01001_006,Age_Male_15_To_17_Years,1538,0.0089,SEX BY AGE
1,Age,B01001,B01001_007,Age_Male_18_And_19_Years,1699,0.0098,SEX BY AGE
1,Age,B01001,B01001_008,Age_Male_20_Years,900,0.0052,SEX BY AGE
1,Age,B01001,B01001_009,Age_Male_21_Years,1095,0.0063,SEX BY AGE
1,Age,B01001,B01001_010,Age_Male_22_To_24_Years,4016,0.0232,SEX BY AGE
1,Age,B01001,B01001_011,Age_Male_25_To_29_Years,8710,0.0504,SEX BY AGE
1,Age,B01001,B01001_012,Age_Male_30_To_34_Years,8988,0.052,SEX BY AGE
1,Age,B01001,B01001_013,Age_Male_35_To_39_Years,7486,0.0433,SEX BY AGE
1,Age,B01001,B01001_014,Age_Male_40_To_44_Years,5945,0.0344,SEX BY AGE
1,Age,B01001,B01001_015,Age_Male_45_To_49_Years,6234,0.036,SEX BY AGE
1,Age,B01001,B01001_016,Age_Male_50_To_54_Years,5042,0.0292,SEX BY AGE
1,Age,B01001,B01001_017,Age_Male_55_To_59_Years,4646,0.0269,SEX BY AGE
1,Age,B01001,B01001_018,Age_Male_60_And_61_Years,1981,0.0115,SEX BY AGE
1,Age,B01001,B01001_019,Age_Male_62_To_64_Years,2634,0.0152,SEX BY AGE
1,Age,B01001,B01001_020,Age_Male_65_And_66_Years,1707,0.0099,SEX BY AGE
1,Age,B01001,B01001_021,Age_Male_67_To_69_Years,2104,0.0122,SEX BY AGE
1,Age,B01001,B01001_022,Age_Male_70_To_74_Years,2740,0.0158,SEX BY AGE
1,Age,B01001,B01001_023,Age_Male_75_To_79_Years,1824,0.0105,SEX BY AGE
1,Age,B01001,B01001_024,Age_Male_80_To_84_Years,1822,0.0105,SEX BY AGE
1,Age,B01001,B01001_025,Age_Male_85_Years_And_Over,1903,0.011,SEX BY AGE
1,Age,B01001,B01001_026,Age_Female,88937,0.5142,SEX BY AGE
1,Age,B01001,B01001_027,Age_Female_Under_5_Years,3979,0.023,SEX BY AGE
1,Age,B01001,B01001_028,Age_Female_5_To_9_Years,3016,0.0174,SEX BY AGE
1,Age,B01001,B01001_029,Age_Female_10_To_14_Years,2525,0.0146,SEX BY AGE
1,Age,B01001,B01001_030,Age_Female_15_To_17_Years,1232,0.0071,SEX BY AGE
1,Age,B01001,B01001_031,Age_Female_18_And_19_Years,2131,0.0123,SEX BY AGE
1,Age,B01001,B01001_032,Age_Female_20_Years,969,0.0056,SEX BY AGE
1,Age,B01001,B01001_033,Age_Female_21_Years,1226,0.0071,SEX BY AGE
1,Age,B01001,B01001_034,Age_Female_22_To_24_Years,4283,0.0248,SEX BY AGE
1,Age,B01001,B01001_035,Age_Female_25_To_29_Years,11461,0.0663,SEX BY AGE
1,Age,B01001,B01001_036,Age_Female_30_To_34_Years,9322,0.053900000000000003,SEX BY AGE
1,Age,B01001,B01001_037,Age_Female_35_To_39_Years,7182,0.0415,SEX BY AGE
1,Age,B01001,B01001_038,Age_Female_40_To_44_Years,6029,0.0349,SEX BY AGE
1,Age,B01001,B01001_039,Age_Female_45_To_49_Years,5262,0.0304,SEX BY AGE
1,Age,B01001,B01001_040,Age_Female_50_To_54_Years,4308,0.0249,SEX BY AGE
1,Age,B01001,B01001_041,Age_Female_55_To_59_Years,4656,0.0269,SEX BY AGE
1,Age,B01001,B01001_042,Age_Female_60_And_61_Years,2798,0.0162,SEX BY AGE
1,Age,B01001,B01001_043,Age_Female_62_To_64_Years,2353,0.0136,SEX BY AGE
1,Age,B01001,B01001_044,Age_Female_65_And_66_Years,2258,0.0131,SEX BY AGE
1,Age,B01001,B01001_045,Age_Female_67_To_69_Years,2683,0.0155,SEX BY AGE
1,Age,B01001,B01001_046,Age_Female_70_To_74_Years,3313,0.0192,SEX BY AGE
1,Age,B01001,B01001_047,Age_Female_75_To_79_Years,2462,0.0142,SEX BY AGE
1,Age,B01001,B01001_048,Age_Female_80_To_84_Years,2215,0.0128,SEX BY AGE
1,Age,B01001,B01001_049,Age_Female_85_Years_And_Over,3274,0.0189,SEX BY AGE
1,Median Age,B01002,B01002_001,MedianAge_Age,39.23529411764706,NA,MEDIAN AGE BY SEX
1,Median Age,B01002,B01002_002,MedianAge_Age_Male,38.49411764705882,NA,MEDIAN AGE BY SEX
1,Median Age,B01002,B01002_003,MedianAge_Age_Female,40.42058823529412,NA,MEDIAN AGE BY SEX
1,Total Population,B01003,B01003_001,TotalPopulation,172961,1,TOTAL POPULATION
1,Race,B03002,B03002_001,Race,172961,1,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_002,Race_Not_Hispanic_Or_Latino,152728,0.883,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_003,Race_Not_Hispanic_Or_Latino_White_Alone,85787,0.496,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_004,Race_Not_Hispanic_Or_Latino_Black_Or_African_American_Alone,6773,0.0392,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_005,Race_Not_Hispanic_Or_Latino_American_Indian_And_Alaska_Native_Alone,557,0.0032,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_006,Race_Not_Hispanic_Or_Latino_Asian_Alone,54239,0.3136,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_007,Race_Not_Hispanic_Or_Latino_Native_Hawaiian_And_Other_Pacific_Islander_Alone,39,2e-4,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_008,Race_Not_Hispanic_Or_Latino_Some_Other_Race_Alone,495,0.0029,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_009,Race_Not_Hispanic_Or_Latino_Two_Or_More_Races,4838,0.028,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_010,Race_Not_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Including_Some_Other_Race,208,0.0012,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_011,Race_Not_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Excluding_Some_Other_Race_And_Three_Or_More_Races,4630,0.0268,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_012,Race_Hispanic_Or_Latino,20233,0.117,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_013,Race_Hispanic_Or_Latino_White_Alone,10384,0.06,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_014,Race_Hispanic_Or_Latino_Black_Or_African_American_Alone,1288,0.0074,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_015,Race_Hispanic_Or_Latino_American_Indian_And_Alaska_Native_Alone,331,0.0019,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_016,Race_Hispanic_Or_Latino_Asian_Alone,355,0.0021,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_017,Race_Hispanic_Or_Latino_Native_Hawaiian_And_Other_Pacific_Islander_Alone,0,0,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_018,Race_Hispanic_Or_Latino_Some_Other_Race_Alone,5924,0.0343,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_019,Race_Hispanic_Or_Latino_Two_Or_More_Races,1951,0.0113,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_020,Race_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Including_Some_Other_Race,373,0.0022,HISPANIC OR LATINO ORIGIN BY RACE
1,Race,B03002,B03002_021,Race_Hispanic_Or_Latino_Two_Or_More_Races_Two_Races_Excluding_Some_Other_Race_And_Three_Or_More_Races,1578,0.0091,HISPANIC OR LATINO ORIGIN BY RACE
1,Household Type,B11001,B11001_001,HouseholdType,78944,1,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
1,Household Type,B11001,B11001_002,HouseholdType_Family_Households,35872,0.4544,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
1,Household Type,B11001,B11001_003,HouseholdType_Family_Households_Married_Couple_Family,27270,0.3454,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
