school,demo,table,name,label,value,percentage,concept
1,Age,B01001,B01001_001,Age,112770,1,SEX BY AGE
1,Age,B01001,B01001_002,Age_Male,54422,0.4826,SEX BY AGE
1,Age,B01001,B01001_003,Age_Male_Under_5_Years,1667,0.0148,SEX BY AGE
1,Age,B01001,B01001_004,Age_Male_5_To_9_Years,1584,0.014,SEX BY AGE
1,Age,B01001,B01001_005,Age_Male_10_To_14_Years,1965,0.0174,SEX BY AGE
1,Age,B01001,B01001_006,Age_Male_15_To_17_Years,1292,0.0115,SEX BY AGE
1,Age,B01001,B01001_007,Age_Male_18_And_19_Years,1906,0.0169,SEX BY AGE
1,Age,B01001,B01001_008,Age_Male_20_Years,859,0.0076,SEX BY AGE
1,Age,B01001,B01001_009,Age_Male_21_Years,830,0.0074,SEX BY AGE
1,Age,B01001,B01001_010,Age_Male_22_To_24_Years,2913,0.0258,SEX BY AGE
1,Age,B01001,B01001_011,Age_Male_25_To_29_Years,7941,0.0704,SEX BY AGE
1,Age,B01001,B01001_012,Age_Male_30_To_34_Years,6447,0.0572,SEX BY AGE
1,Age,B01001,B01001_013,Age_Male_35_To_39_Years,4534,0.0402,SEX BY AGE
1,Age,B01001,B01001_014,Age_Male_40_To_44_Years,2477,0.022,SEX BY AGE
1,Age,B01001,B01001_015,Age_Male_45_To_49_Years,3505,0.0311,SEX BY AGE
1,Age,B01001,B01001_016,Age_Male_50_To_54_Years,2858,0.0253,SEX BY AGE
1,Age,B01001,B01001_017,Age_Male_55_To_59_Years,3059,0.0271,SEX BY AGE
1,Age,B01001,B01001_018,Age_Male_60_And_61_Years,1014,0.009,SEX BY AGE
1,Age,B01001,B01001_019,Age_Male_62_To_64_Years,1679,0.0149,SEX BY AGE
1,Age,B01001,B01001_020,Age_Male_65_And_66_Years,969,0.0086,SEX BY AGE
1,Age,B01001,B01001_021,Age_Male_67_To_69_Years,1412,0.0125,SEX BY AGE
1,Age,B01001,B01001_022,Age_Male_70_To_74_Years,1939,0.0172,SEX BY AGE
1,Age,B01001,B01001_023,Age_Male_75_To_79_Years,1283,0.0114,SEX BY AGE
1,Age,B01001,B01001_024,Age_Male_80_To_84_Years,1223,0.0108,SEX BY AGE
1,Age,B01001,B01001_025,Age_Male_85_Years_And_Over,1066,0.0095,SEX BY AGE
1,Age,B01001,B01001_026,Age_Female,58348,0.5174,SEX BY AGE
1,Age,B01001,B01001_027,Age_Female_Under_5_Years,1575,0.014,SEX BY AGE
1,Age,B01001,B01001_028,Age_Female_5_To_9_Years,1187,0.0105,SEX BY AGE
1,Age,B01001,B01001_029,Age_Female_10_To_14_Years,1860,0.0165,SEX BY AGE
1,Age,B01001,B01001_030,Age_Female_15_To_17_Years,1183,0.0105,SEX BY AGE
1,Age,B01001,B01001_031,Age_Female_18_And_19_Years,2468,0.0219,SEX BY AGE
1,Age,B01001,B01001_032,Age_Female_20_Years,1023,0.0091,SEX BY AGE
1,Age,B01001,B01001_033,Age_Female_21_Years,1436,0.0127,SEX BY AGE
1,Age,B01001,B01001_034,Age_Female_22_To_24_Years,3334,0.0296,SEX BY AGE
1,Age,B01001,B01001_035,Age_Female_25_To_29_Years,7450,0.0661,SEX BY AGE
1,Age,B01001,B01001_036,Age_Female_30_To_34_Years,4828,0.0428,SEX BY AGE
1,Age,B01001,B01001_037,Age_Female_35_To_39_Years,3376,0.0299,SEX BY AGE
1,Age,B01001,B01001_038,Age_Female_40_To_44_Years,3709,0.0329,SEX BY AGE
1,Age,B01001,B01001_039,Age_Female_45_To_49_Years,3400,0.0301,SEX BY AGE
1,Age,B01001,B01001_040,Age_Female_50_To_54_Years,2902,0.0257,SEX BY AGE
1,Age,B01001,B01001_041,Age_Female_55_To_59_Years,3492,0.031,SEX BY AGE
1,Age,B01001,B01001_042,Age_Female_60_And_61_Years,1975,0.0175,SEX BY AGE
1,Age,B01001,B01001_043,Age_Female_62_To_64_Years,1889,0.0168,SEX BY AGE
1,Age,B01001,B01001_044,Age_Female_65_And_66_Years,1361,0.0121,SEX BY AGE
