stateSenate,demo,table,name,label,value,percentage,concept
10,Age,B01001,B01001_001,Age,327561,1,SEX BY AGE
10,Age,B01001,B01001_002,Age_Male,156095,0.4765,SEX BY AGE
10,Age,B01001,B01001_003,Age_Male_Under_5_Years,11055,0.0337,SEX BY AGE
10,Age,B01001,B01001_004,Age_Male_5_To_9_Years,10241,0.0313,SEX BY AGE
10,Age,B01001,B01001_005,Age_Male_10_To_14_Years,11050,0.0337,SEX BY AGE
10,Age,B01001,B01001_006,Age_Male_15_To_17_Years,6617,0.0202,SEX BY AGE
10,Age,B01001,B01001_007,Age_Male_18_And_19_Years,4184,0.0128,SEX BY AGE
10,Age,B01001,B01001_008,Age_Male_20_Years,2741,0.0084,SEX BY AGE
10,Age,B01001,B01001_009,Age_Male_21_Years,1980,0.006,SEX BY AGE
10,Age,B01001,B01001_010,Age_Male_22_To_24_Years,6646,0.0203,SEX BY AGE
10,Age,B01001,B01001_011,Age_Male_25_To_29_Years,13956,0.0426,SEX BY AGE
10,Age,B01001,B01001_012,Age_Male_30_To_34_Years,10691,0.0326,SEX BY AGE
10,Age,B01001,B01001_013,Age_Male_35_To_39_Years,9547,0.0291,SEX BY AGE
10,Age,B01001,B01001_014,Age_Male_40_To_44_Years,9383,0.0286,SEX BY AGE
10,Age,B01001,B01001_015,Age_Male_45_To_49_Years,10643,0.0325,SEX BY AGE
10,Age,B01001,B01001_016,Age_Male_50_To_54_Years,11304,0.0345,SEX BY AGE
10,Age,B01001,B01001_017,Age_Male_55_To_59_Years,10712,0.0327,SEX BY AGE
10,Age,B01001,B01001_018,Age_Male_60_And_61_Years,3839,0.0117,SEX BY AGE
10,Age,B01001,B01001_019,Age_Male_62_To_64_Years,5076,0.0155,SEX BY AGE
10,Age,B01001,B01001_020,Age_Male_65_And_66_Years,2873,0.0088,SEX BY AGE
10,Age,B01001,B01001_021,Age_Male_67_To_69_Years,3351,0.0102,SEX BY AGE
10,Age,B01001,B01001_022,Age_Male_70_To_74_Years,4176,0.0127,SEX BY AGE
10,Age,B01001,B01001_023,Age_Male_75_To_79_Years,2999,0.0092,SEX BY AGE
10,Age,B01001,B01001_024,Age_Male_80_To_84_Years,1689,0.0052,SEX BY AGE
10,Age,B01001,B01001_025,Age_Male_85_Years_And_Over,1342,0.0041,SEX BY AGE
10,Age,B01001,B01001_026,Age_Female,171466,0.5235,SEX BY AGE
10,Age,B01001,B01001_027,Age_Female_Under_5_Years,10200,0.0311,SEX BY AGE
10,Age,B01001,B01001_028,Age_Female_5_To_9_Years,9250,0.0282,SEX BY AGE
10,Age,B01001,B01001_029,Age_Female_10_To_14_Years,9589,0.0293,SEX BY AGE
10,Age,B01001,B01001_030,Age_Female_15_To_17_Years,6138,0.0187,SEX BY AGE
10,Age,B01001,B01001_031,Age_Female_18_And_19_Years,3897,0.0119,SEX BY AGE
10,Age,B01001,B01001_032,Age_Female_20_Years,2518,0.0077,SEX BY AGE
10,Age,B01001,B01001_033,Age_Female_21_Years,2063,0.0063,SEX BY AGE
10,Age,B01001,B01001_034,Age_Female_22_To_24_Years,7043,0.0215,SEX BY AGE
10,Age,B01001,B01001_035,Age_Female_25_To_29_Years,14015,0.0428,SEX BY AGE
10,Age,B01001,B01001_036,Age_Female_30_To_34_Years,11299,0.0345,SEX BY AGE
10,Age,B01001,B01001_037,Age_Female_35_To_39_Years,10760,0.0328,SEX BY AGE
10,Age,B01001,B01001_038,Age_Female_40_To_44_Years,11094,0.0339,SEX BY AGE
10,Age,B01001,B01001_039,Age_Female_45_To_49_Years,12261,0.0374,SEX BY AGE
10,Age,B01001,B01001_040,Age_Female_50_To_54_Years,13083,0.0399,SEX BY AGE
10,Age,B01001,B01001_041,Age_Female_55_To_59_Years,12778,0.039,SEX BY AGE
