tract_2010,GEOID10,tract,tract_name,borough,neighborhood,nCode,congressional,stateSenate,council,assembly,school,commBoard,modzcta
1400000US36005031000,36005031000,31000,310,Bronx,Pelham Gardens,X01,14,34,13,80,11,BX11,10469
1400000US36005031200,36005031200,31200,312,Bronx,Pelham Gardens,X01,14,34,13,80,11,BX11,10469
1400000US36005031400,36005031400,31400,314,Bronx,Pelham Gardens,X01,14,34,13,80,11,BX11,10469
1400000US36005031600,36005031600,31600,316,Bronx,Pelham Gardens,X01,14,34,13,80,11,BX11,10469
1400000US36005031800,36005031800,31800,318,Bronx,Pelham Gardens,X01,14,34,13,80,11,BX11,10469
1400000US36005032600,36005032600,32600,326,Bronx,Pelham Gardens,X01,14,34,13,80,11,BX11,10469
1400000US36005022401,36005022401,22401,224.01,Bronx,Pelham Parkway,X02,14,34,13,80,11,BX11,10462
1400000US36005022403,36005022403,22403,224.03,Bronx,Pelham Parkway,X02,14,34,13,80,11,BX11,10462
1400000US36005022404,36005022404,22404,224.04,Bronx,Pelham Parkway,X02,14,34,13,80,11,BX11,10462
1400000US36005022800,36005022800,22800,228,Bronx,Pelham Parkway,X02,14,34,13,80,11,BX11,10462
1400000US36005032400,36005032400,32400,324,Bronx,Pelham Parkway,X02,14,34,13,80,11,BX11,10469
1400000US36005032800,36005032800,32800,328,Bronx,Pelham Parkway,X02,14,34,13,80,11,BX11,10467
1400000US36005033000,36005033000,33000,330,Bronx,Pelham Parkway,X02,14,34,13,80,11,BX11,10467
1400000US36005033201,36005033201,33201,332.01,Bronx,Pelham Parkway,X02,14,34,15,78,11,BX11,10467
1400000US36005033202,36005033202,33202,332.02,Bronx,Pelham Parkway,X02,14,34,15,80,11,BX11,10467
1400000US36005033600,36005033600,33600,336,Bronx,Allerton,X03,14,36,15,80,11,BX11,10467
1400000US36005033800,36005033800,33800,338,Bronx,Allerton,X03,14,36,15,80,11,BX11,10467
1400000US36005034000,36005034000,34000,340,Bronx,Allerton,X03,14,36,13,80,11,BX11,10467
1400000US36005034200,36005034200,34200,342,Bronx,Allerton,X03,14,36,12,80,11,BX11,10469
1400000US36005034400,36005034400,34400,344,Bronx,Allerton,X03,14,36,12,80,11,BX11,10469
1400000US36005034800,36005034800,34800,348,Bronx,Baychester,X04,16,36,12,83,11,BX11,10469
1400000US36005035000,36005035000,35000,350,Bronx,Baychester,X04,16,36,12,80,11,BX11,10469
1400000US36005035600,36005035600,35600,356,Bronx,Baychester,X04,16,36,12,82,11,BX12,10469
1400000US36005035800,36005035800,35800,358,Bronx,Baychester,X04,16,36,12,83,11,BX12,10469
1400000US36005036000,36005036000,36000,360,Bronx,Baychester,X04,16,36,13,80,11,BX11,10469
1400000US36005036400,36005036400,36400,364,Bronx,Baychester,X04,16,36,12,83,11,BX12,10469
1400000US36005038500,36005038500,38500,385,Bronx,Belmont,X05,15,33,15,78,10,BX06,10458
1400000US36005038700,36005038700,38700,387,Bronx,Belmont,X05,15,33,15,78,10,BX06,10458
1400000US36005038900,36005038900,38900,389,Bronx,Belmont,X05,15,33,15,78,10,BX06,10458
1400000US36005039100,36005039100,39100,391,Bronx,Belmont,X05,15,33,15,78,10,BX06,10458
1400000US36005039300,36005039300,39300,393,Bronx,Belmont,X05,15,33,15,78,10,BX06,10460
1400000US36005039500,36005039500,39500,395,Bronx,Belmont,X05,15,33,15,86,10,BX06,10457
1400000US36005004001,36005004001,4001,40.01,Bronx,Castle Hill,X06,15,34,18,87,8,BX09,10472
1400000US36005007200,36005007200,7200,72,Bronx,Castle Hill,X06,15,32,18,87,8,BX09,10472
1400000US36005007400,36005007400,7400,74,Bronx,Castle Hill,X06,15,32,18,87,8,BX09,10473
1400000US36005007800,36005007800,7800,78,Bronx,Castle Hill,X06,15,34,18,87,8,BX09,10472
1400000US36005008400,36005008400,8400,84,Bronx,Castle Hill,X06,15,34,18,85,8,BX09,10473
1400000US36005008600,36005008600,8600,86,Bronx,Castle Hill,X06,15,32,18,87,8,BX09,10473
1400000US36005009000,36005009000,9000,90,Bronx,Castle Hill,X06,15,34,18,87,8,BX09,10473
1400000US36005009200,36005009200,9200,92,Bronx,Castle Hill,X06,15,34,18,87,8,BX09,10462
1400000US36005009800,36005009800,9800,98,Bronx,Castle Hill,X06,15,34,18,87,8,BX09,10473
1400000US36005006000,36005006000,6000,60,Bronx,Charlotte Gardens,X07,15,32,17,87,12,BX06,10460
1400000US36005008700,36005008700,8700,87,Bronx,Charlotte Gardens,X07,15,32,17,85,8,BX02,10459
1400000US36005012101,36005012101,12101,121.01,Bronx,Charlotte Gardens,X07,15,32,17,85,12,BX03,10459
1400000US36005012300,36005012300,12300,123,Bronx,Charlotte Gardens,X07,15,32,17,85,12,BX02,10459
1400000US36005012500,36005012500,12500,125,Bronx,Charlotte Gardens,X07,15,32,17,85,12,BX03,10459
1400000US36005012901,36005012901,12901,129.01,Bronx,Charlotte Gardens,X07,15,32,17,79,12,BX02,10459
1400000US36005013100,36005013100,13100,131,Bronx,Charlotte Gardens,X07,15,32,17,79,12,BX02,10459
1400000US36005015300,36005015300,15300,153,Bronx,Charlotte Gardens,X07,15,32,17,79,12,BX03,10459
1400000US36005015500,36005015500,15500,155,Bronx,Charlotte Gardens,X07,15,32,17,79,12,BX03,10460
1400000US36005015700,36005015700,15700,157,Bronx,Charlotte Gardens,X07,15,32,17,79,12,BX03,10460
1400000US36005016100,36005016100,16100,161,Bronx,Charlotte Gardens,X07,15,32,17,79,12,BX03,10460
1400000US36005013300,36005013300,13300,133,Bronx,Morrisania,X08,15,32,16,79,8,BX03,10456
1400000US36005013500,36005013500,13500,135,Bronx,Morrisania,X08,15,32,16,79,12,BX03,10456
1400000US36005014300,36005014300,14300,143,Bronx,Morrisania,X08,15,32,17,79,9,BX04,10451
1400000US36005014500,36005014500,14500,145,Bronx,Morrisania,X08,15,32,16,79,9,BX03,10456
1400000US36005014701,36005014701,14701,147.01,Bronx,Morrisania,X08,15,33,16,79,9,BX03,10456
1400000US36005014900,36005014900,14900,149,Bronx,Morrisania,X08,15,33,16,79,9,BX03,10456
1400000US36005015100,36005015100,15100,151,Bronx,Morrisania,X08,15,32,16,79,12,BX03,10459
