assembly,TotalPopulation,TotalHousingUnits,TotalHousingUnits_PercentOwned,TotalHousingUnits_PercentRented,Sex_Male,Sex_Female,MedianAge,MedianIncome,Poverty_BelowPovertyLevel,Poverty_AtOrAboveovertyLevel,SNAP_Recipient,SNAP_NotRecipient,Age_Under18,Age_18To34,Age_35To44,Age_45To54,Age_55To64,Age_Over65,Race_White_NotHispanic,Race_White_Hispanic,Race_Black_NotHispanic,Race_Black_Hispanic,Race_Amerind_NotHispanic,Race_Amerind_Hispanic,Race_Asian_NotHispanic,Race_Asian_Hispanic,Race_Pacific_NotHispanic,Race_Pacific_Hispanic,Race_Other_NotHispanic,Race_Other_Hispanic,Race_MoreThanOne_NotHispanic,Race_MoreThanOne_Hispanic,Occupancy_DoubledUp,HouseholdType_Family,HouseholdType_Family_Married,HouseholdType_Family_Other,HouseholdType_NonFamily,HouseholdType_NonFamily_LivingAlone,HouseholdType_NonFamily_NotLivingAlone,MaritalStatus_NeverMarried,MaritalStatus_NowMarried,MaritalStatus_Widowed,MaritalStatus_Divorced,Education_NoHighSchoolDiploma,Education_HighSchoolDiplomaOrGED,Education_SomeCollege,Education_Associates,Education_Bachelors,Education_AdvancedDegree,Employment_Employed,Employment_Unemployed,Employment_NotInLaborForce,HealthInsurance_Covered,HealthInsurance_Covered_Private,HealthInsurance_Covered_Public,HealthInsurance_NotCovered,Language_OnlyEnglish_Total,Language_LimitedEnglish_Total,Language_Spanish_Total,Language_French_Total,Language_FrenchCreole_Total,Language_Italian_Total,Language_Portuguese_Total,Language_German_Total,Language_Yiddish_Total,Language_OtherWestGermanic_Total,Language_Scandinavian_Total,Language_Greek_Total,Language_Russian_Total,Language_Polish_Total,Language_SerboCroatian_Total,Language_OtherSlavic_Total,Language_Armenian_Total,Language_Persian_Total,Language_Gujarati_Total,Language_Hindi_Total,Language_Urdu_Total,Language_OtherIndic_Total,Language_OtherIndoEuropean_Total,Language_Chinese_Total,Language_Japanese_Total,Language_Korean_Total,Language_Cambodian_Total,Language_Hmong_Total,Language_Thai_Total,Language_Laotian_Total,Language_Vietnamese_Total,Language_OtherAsian_Total,Language_Tagalog_Total,Language_OtherPacificIsland_Total,Language_Navajo_Total,Language_OtherNativeNorthAmerican_Total,Language_Hungarian_Total,Language_Arabic_Total,Language_Hebrew_Total,Language_AfricanLanguages_Total,Language_OtherAndUnspecifiedLanguages_Total,Language_Spanish_LimitedEnglish,Language_French_LimitedEnglish,Language_FrenchCreole_LimitedEnglish,Language_Italian_LimitedEnglish,Language_Portuguese_LimitedEnglish,Language_German_LimitedEnglish,Language_Yiddish_LimitedEnglish,Language_OtherWestGermanic_LimitedEnglish,Language_Scandinavian_LimitedEnglish,Language_Greek_LimitedEnglish,Language_Russian_LimitedEnglish,Language_Polish_LimitedEnglish,Language_SerboCroatian_LimitedEnglish,Language_OtherSlavic_LimitedEnglish,Language_Armenian_LimitedEnglish,Language_Persian_LimitedEnglish,Language_Gujarati_LimitedEnglish,Language_Hindi_LimitedEnglish,Language_Urdu_LimitedEnglish,Language_OtherIndic_LimitedEnglish,Language_OtherIndoEuropean_LimitedEnglish,Language_Chinese_LimitedEnglish,Language_Japanese_LimitedEnglish,Language_Korean_LimitedEnglish,Language_Cambodian_LimitedEnglish,Language_Hmong_LimitedEnglish,Language_Thai_LimitedEnglish,Language_Laotian_LimitedEnglish,Language_Vietnamese_LimitedEnglish,Language_OtherAsian_LimitedEnglish,Language_Tagalog_LimitedEnglish,Language_OtherPacificIsland_LimitedEnglish,Language_Navajo_LimitedEnglish,Language_OtherNativeNorthAmerican_LimitedEnglish,Language_Hungarian_LimitedEnglish,Language_Arabic_LimitedEnglish,Language_Hebrew_LimitedEnglish,Language_AfricanLanguages_LimitedEnglish,Language_OtherAndUnspecifiedLanguages_LimitedEnglish,Industry_AgricultureForestryFishingAndHuntingAndMining,Industry_Construction,Industry_Manufacturing,Industry_WholesaleTrade,Industry_RetailTrade,Industry_TransportationAndWarehousingAndUtilities,Industry_Information,Industry_FinanceAndInsuranceAndRealEstateAndRentalAndLeasing,Industry_ProfessionalScientificAndManagementAndAdministrativeAndWasteManagementServices,Industry_EducationalServicesAndHealthCareAndSocialAssistance,Industry_ArtsEntertainmentAndRecreationAndAccommodationAndFoodServices,Industry_OtherServicesExceptPublicAdministration,Industry_PublicAdministration,Occupation_ManagementBusinessAndFinancial,Occupation_ComputerEngineeringAndScience,Occupation_EducationLegalCommunityServiceArtsAndMedia,Occupation_HealthcarePractitionersAndTechnical,Occupation_HealthcareSupport,Occupation_ProtectiveService,Occupation_FoodPreparationAndServingRelated,Occupation_BuildingAndGroundsCleaningAndMaintenance,Occupation_PersonalCareAndService,Occupation_SalesAndOffice,Occupation_NaturalResourcesConstructionAndMaintenance,Occupation_ProductionTransportationAndMaterialMoving
23,148733,144557,0.5295073915479707,0.4704926084520293,0.4768,0.5232,39.815625000000004,73389.6129032258,0.1228,0.8772,0.2024,0.7976,0.23850000000000005,0.20770000000000002,0.1115,0.13190000000000002,0.13859999999999997,0.17170000000000002,0.443,0.1308,0.1855,0.0134,0.0012,0.0018,0.0833,0.0021,5e-4,0,0.0105,0.0912,0.0178,0.0187,0.059699999999999996,0.6858,0.4454,0.2404,0.3142,0.2761,0.038,0.37329999999999997,0.4652,0.0768,0.0847,0.1724,0.2713,0.18059999999999998,0.0781,0.1794,0.1182,0.7082,0.0479,0.2438,0.9125000000000001,0.6648000000000001,0.278,0.0874,0.6164,0.1586,0.2067,0.004,0.0104,0.0288,0.0014,0.0026,0.0041,1e-4,3e-4,0.0024,0.0163,0.0156,0.0031,5e-4,1e-4,0.0017,3e-4,8e-4,0.0047,0.0237,0.0065,0.015,3e-4,7e-4,0,1e-4,3e-4,0,0,9e-4,0.0054,0.0011,0,7e-4,7e-4,0.0043,0.0084,0.01,0.0017,0.0875,5e-4,0.0025,0.0077,1e-4,1e-4,7e-4,0,0,8e-4,0.0125,0.0087,0.0012,1e-4,0,9e-4,0,3e-4,0.0019,0.0118,0.0025,0.01,3e-4,6e-4,0,0,2e-4,0,0,1e-4,0.001,1e-4,0,5e-4,5e-4,0.0018,5e-4,0.0029,3e-4,0.0014,0.0716,0.0357,0.0171,0.0842,0.0767,0.0187,0.0744,0.09559999999999999,0.3277,0.0839,0.0499,0.0631,0.1372,0.031599999999999996,0.1379,0.0603,0.06409999999999999,0.0429,0.041999999999999996,0.0498,0.0437,0.21,0.0767,0.10400000000000001
24,151087,144666,0.5836271134890022,0.41637288651099774,0.4944,0.5056,39.85581395348837,78379.23255813954,0.077,0.923,0.1129,0.8871,0.1996,0.2485,0.1251,0.1301,0.1389,0.158,0.194,0.0805,0.1377,0.0075,0.0057,0.0034,0.3562,0.0018,7e-4,0,0.0551,0.1101,0.0359,0.0113,0.1036,0.7104,0.5196,0.1908,0.2896,0.2475,0.0422,0.3588,0.5189,0.059399999999999994,0.0629,0.18960000000000005,0.2362,0.1403,0.0758,0.2218,0.1363,0.7227,0.0466,0.2306,0.8820999999999999,0.629,0.2723,0.1179,0.4568,0.237,0.1725,0.0074,0.0152,0.0047,0.0027,0.0013,0.0011,7e-4,0,0.0073,0.0274,0.0026,0.0013,0.0025,8e-4,0.0044,0.0035,0.0223,0.025,0.1268,0.0045,0.0394,7e-4,0.0078,0.001,0,0.0013,0,8e-4,0.0148,0.025,0.001,0,3e-4,8e-4,0.0073,0.0039,0.0046,2e-4,0.0812,0.0019,0.0034,0.0018,0.0013,1e-4,0,0,0,0.0028,0.0115,0.0014,7e-4,8e-4,1e-4,0.0014,9e-4,0.0066,0.0095,0.061,0.0015,0.0238,6e-4,0.0055,4e-4,0,4e-4,0,5e-4,0.007,0.0062,1e-4,0,3e-4,2e-4,0.0029,5e-4,6e-4,1e-4,0.0013,0.0774,0.0348,0.022,0.10780000000000001,0.10300000000000001,0.019299999999999998,0.0746,0.09040000000000001,0.2746,0.0891,0.057300000000000004,0.048299999999999996,0.1336,0.051000000000000004,0.09559999999999999,0.076,0.0493,0.026600000000000002,0.0458,0.037000000000000005,0.0374,0.2344,0.08739999999999999,0.126
25,124075,123290,0.5659583096763727,0.4340416903236272,0.4855,0.5145,43.33125,73844.5,0.1077,0.8923,0.1226,0.8774,0.1873,0.2137,0.12040000000000001,0.1478,0.1476,0.1835,0.2452,0.0656,0.0476,0.0055,0.0038,9e-4,0.5451,0.0023,1e-4,0,0.0029,0.0491,0.0234,0.0083,0.0809,0.7546,0.5659,0.1887,0.2454,0.201,0.0445,0.3042,0.571,0.0614,0.0633,0.1874,0.24320000000000003,0.12769999999999998,0.0887,0.2157,0.1373,0.7138,0.039,0.2472,0.8615999999999999,0.656,0.22769999999999999,0.1384,0.2916,0.3998,0.103,0.0039,0.002,0.0109,0.0015,0.0024,0.0015,1e-4,1e-4,0.0172,0.0281,0.0065,0.0017,9e-4,0.0011,0.0061,0.0071,0.0104,0.0156,0.014,0.0094,0.3297,0.0012,0.079,1e-4,0,4e-4,7e-4,0.0027,0.0095,0.0195,9e-4,0,0,4e-4,0.0058,0.0141,7e-4,0,0.0468,9e-4,5e-4,0.0043,4e-4,4e-4,5e-4,0,0,0.0056,0.0115,0.0025,0.001,4e-4,4e-4,0.0028,0.002,0.0044,0.0071,0.0057,0.0038,0.2313,9e-4,0.0507,1e-4,0,2e-4,4e-4,0.0013,0.0044,0.0053,5e-4,0,0,1e-4,0.0023,0.0013,0,0,5e-4,0.059699999999999996,0.0361,0.0354,0.108,0.0726,0.020700000000000003,0.0964,0.1013,0.24769999999999998,0.1082,0.07669999999999999,0.0368,0.1391,0.0527,0.1041,0.0801,0.0426,0.023799999999999998,0.0682,0.0293,0.058399999999999994,0.2386,0.06449999999999999,0.0988
26,122246,121376,0.7083113630371738,0.29168863696282626,0.4734,0.5266,47.23157894736842,88119.52631578948,0.0564,0.9436,0.0598,0.9402,0.1737,0.1723,0.12769999999999998,0.133,0.15380000000000002,0.2394,0.4761,0.0749,0.0103,0.0033,0.0015,2e-4,0.3684,0.001,1e-4,0,0.0024,0.04,0.0155,0.0062,0.0285,0.6666,0.5285,0.1381,0.3334,0.2958,0.0376,0.2698,0.5679000000000001,0.08449999999999999,0.07769999999999999,0.11410000000000001,0.2151,0.1468,0.0809,0.2549,0.18819999999999998,0.7571,0.0319,0.211,0.9219999999999999,0.791,0.1573,0.078,0.4641,0.2584,0.0907,0.0025,2e-4,0.0325,0.002,0.003,0.0013,1e-4,0.001,0.0486,0.0063,0.0057,0.0129,0.0032,0.0067,0.0032,0.0044,0.0052,0.0026,0.0074,0.0098,0.1432,0.0046,0.1101,1e-4,0,0.0011,0,9e-4,0.0093,0.0082,2e-4,0,0,0.0022,0.0042,0.002,6e-4,0,0.0303,5e-4,1e-4,0.0105,5e-4,6e-4,3e-4,1e-4,4e-4,0.017,0.0028,8e-4,0.0039,0.0013,0.0024,0.0016,0.0023,0.0026,6e-4,0.0024,0.0036,0.0875,0.0026,0.0746,1e-4,0,5e-4,0,5e-4,0.0044,0.0016,1e-4,0,0,2e-4,8e-4,4e-4,5e-4,0,0.0015999999999999999,0.0586,0.0442,0.0356,0.0916,0.0622,0.030100000000000002,0.1121,0.1215,0.2554,0.07869999999999999,0.0636,0.044399999999999995,0.19,0.06319999999999999,0.1411,0.0737,0.027600000000000003,0.0211,0.0424,0.019299999999999998,0.037000000000000005,0.24769999999999998,0.06559999999999999,0.0711
27,116884,115167,0.46527216997924753,0.5347278300207525,0.4758,0.5242,40.3962962962963,68500.44444444444,0.1017,0.8983,0.1344,0.8656,0.2173,0.22259999999999996,0.1321,0.13,0.1322,0.16570000000000001,0.3975,0.1043,0.0608,0.0108,0.0018,0.0014,0.2464,0.0023,8e-4,0,0.0054,0.1204,0.0263,0.0218,0.0789,0.6595,0.4788,0.1807,0.3405,0.2936,0.0468,0.3211,0.5347,0.07,0.0743,0.13560000000000003,0.2465,0.1456,0.0944,0.2272,0.1508,0.7257,0.0431,0.2311,0.8865,0.6884,0.2215,0.11349999999999999,0.3897,0.2981,0.2001,0.0054,0.0054,0.0121,0.0016,0.0023,0.0034,0,1e-4,0.0096,0.0865,0.0073,0.0044,0.0023,0.001,0.0078,0.0052,0.0116,0.012,0.0168,0.0089,0.1335,0.0016,0.0169,0,0,8e-4,0,5e-4,0.0053,0.0104,0.0048,0,0,0.0018,0.0063,0.0223,0.0016,9e-4,0.0851,5e-4,0.002,0.0049,2e-4,4e-4,8e-4,0,0,0.0031,0.0459,0.0032,0.0014,9e-4,2e-4,0.0047,0.0021,0.0044,0.0038,0.0069,0.0049,0.0937,9e-4,0.0095,0,0,7e-4,0,5e-4,0.002,0.0034,0.0017,0,0,9e-4,0.0035,0.0043,8e-4,8e-4,5e-4,0.0805,0.034999999999999996,0.0315,0.0885,0.07200000000000001,0.0223,0.0897,0.1183,0.2666,0.0791,0.07189999999999999,0.0442,0.1602,0.0486,0.12059999999999998,0.06709999999999999,0.0433,0.023,0.0434,0.040900000000000006,0.0495,0.2262,0.0765,0.1009
28,134790,134250,0.4974003724394786,0.5025996275605215,0.472,0.528,42.30232558139535,85066.23255813954,0.069,0.931,0.0807,0.9193,0.1862,0.2051,0.1477,0.1323,0.14329999999999998,0.1854,0.5098,0.1361,0.0301,0.0051,0.0013,0.0015,0.225,0.0015,0,0,0.0039,0.0447,0.028,0.013,0.06420000000000001,0.5875,0.4551,0.1325,0.4125,0.3556,0.0568,0.31,0.5385,0.06620000000000001,0.0853,0.0871,0.19090000000000001,0.1325,0.0675,0.2877,0.2343,0.7793,0.0302,0.1904,0.9284,0.7876,0.1613,0.0717,0.4681,0.2144,0.143,0.0088,0.0025,0.0159,0.0035,0.0081,9e-4,3e-4,5e-4,0.002,0.0836,0.0249,0.0035,0.0058,0.0022,0.0078,0.0019,0.0202,0.0059,0.0117,0.0181,0.091,0.0088,0.0059,2e-4,0,0.001,0,0.001,0.0052,0.0105,0.0043,0,6e-4,0.0045,0.0049,0.0166,0.0025,0.0036,0.0492,0.0015,3e-4,0.0069,7e-4,0.0022,3e-4,0,0,3e-4,0.043,0.0109,6e-4,0.003,0.0013,0.0036,8e-4,0.0052,0.0018,0.005,0.0064,0.0501,0.0034,0.003,0,0,6e-4,0,4e-4,0.0016,0.0023,0.0026,0,0,0.001,7e-4,0.0033,5e-4,0.0019,6.000000000000001e-4,0.0491,0.0353,0.0296,0.0786,0.059300000000000005,0.0351,0.11579999999999999,0.1653,0.25680000000000003,0.076,0.0505,0.0477,0.2179,0.0753,0.158,0.0715,0.0274,0.0229,0.0344,0.028900000000000002,0.0413,0.20590000000000003,0.0473,0.0692
29,118849,117267,0.6560413415538898,0.3439586584461102,0.471,0.529,41.47692307692308,82688.65789473684,0.0781,0.9219,0.1502,0.8498,0.2074,0.23109999999999997,0.1235,0.1436,0.14020000000000002,0.1539,0.021,0.0269,0.6554,0.0209,0.0028,0.002,0.1345,3e-4,7e-4,0,0.0344,0.0721,0.0238,0.0052,0.08080000000000001,0.7611,0.4177,0.3434,0.2389,0.1952,0.0437,0.42610000000000003,0.4199,0.0688,0.0852,0.1499,0.3029,0.2016,0.0899,0.1683,0.08739999999999999,0.7362,0.0523,0.2114,0.8904000000000001,0.6468,0.2663,0.1096,0.7212,0.1279,0.1094,0.0115,0.055,9e-4,2e-4,5e-4,1e-4,4e-4,0,0.0014,5e-4,2e-4,1e-4,0,0,1e-4,0,0.0019,0.0035,0.05,0.002,0.0052,1e-4,3e-4,0,0,0,0,0.001,0.0013,0.0124,3e-4,0,1e-4,1e-4,0.0022,0.0015,0.0167,0,0.0557,0.0033,0.019,2e-4,1e-4,0,0,0,0,8e-4,3e-4,1e-4,0,0,0,0,0,6e-4,0.0016,0.0308,8e-4,0.0034,0,2e-4,0,0,0,0,6e-4,4e-4,0.0036,0,0,0,0,6e-4,0.0014,0.0044,0,0.0012,0.0567,0.0256,0.0123,0.1017,0.1059,0.0237,0.063,0.0832,0.3291,0.0804,0.047299999999999995,0.07,0.1054,0.026,0.10019999999999998,0.0708,0.0954,0.0533,0.0377,0.0499,0.0366,0.2203,0.0821,0.1226
30,118985,118084,0.4436672199451238,0.5563327800548762,0.4884,0.5116,40.4875,73635.675,0.0644,0.9356,0.0833,0.9167,0.1848,0.22859999999999997,0.1577,0.142,0.1274,0.1592,0.4391,0.1705,0.0198,0.0047,0.0028,0.0023,0.2344,0.0011,1e-4,4e-4,0.0054,0.0841,0.0201,0.0153,0.0862,0.6218,0.4403,0.1815,0.3782,0.2945,0.0837,0.3699,0.4818,0.0678,0.0806,0.14700000000000002,0.3027,0.1259,0.0827,0.2272,0.1144,0.7578,0.0402,0.2019,0.8860999999999999,0.6775999999999999,0.23859999999999998,0.114,0.3857,0.29810000000000003,0.2415,0.0056,9e-4,0.0214,0.0059,0.0049,6e-4,3e-4,8e-4,0.0119,0.0117,0.0452,0.0088,0.0082,0.0022,0.0012,7e-4,0.0092,0.003,0.0453,0.0119,0.0862,0.0058,0.0173,0,0,0.0027,0,0.0028,0.012,0.0263,0.004,0,0.001,0.0017,0.011,0.0015,1e-4,5e-4,0.1165,0.0017,3e-4,0.0076,0.0028,0.0014,0,1e-4,0,0.0044,0.006,0.0194,0.0038,0.0033,5e-4,5e-4,4e-4,0.0028,0.0017,0.0233,0.0038,0.0564,0.0038,0.0118,0,0,0.0018,0,0.0024,0.0063,0.0072,0.002,0,0,7e-4,0.0051,2e-4,0,1e-4,0.0021,0.0888,0.0416,0.022199999999999998,0.08180000000000001,0.0791,0.0288,0.08549999999999999,0.1339,0.2089,0.1265,0.0635,0.0372,0.1505,0.05739999999999999,0.1208,0.0471,0.0354,0.019299999999999998,0.07400000000000001,0.0498,0.0445,0.1986,0.0909,0.1117
31,132312,129345,0.5740074993235146,0.42599250067648536,0.4731,0.5269,37.722580645161294,76508.25806451614,0.1101,0.8899,0.2075,0.7925,0.23250000000000004,0.24539999999999998,0.1273,0.1394,0.1366,0.119,0.0574,0.0947,0.4875,0.0225,0.0038,0.002,0.1576,5e-4,0.0013,0,0.0463,0.0837,0.0321,0.0105,0.0801,0.8039,0.4486,0.3554,0.1961,0.1618,0.0342,0.4145,0.4488,0.053200000000000004,0.0834,0.20350000000000001,0.306,0.18910000000000002,0.0764,0.156,0.0688,0.7012,0.0582,0.2406,0.9084,0.6397999999999999,0.3064,0.0916,0.7126,0.1004,0.1668,0.0087,0.0224,0.0029,0.0012,4e-4,1e-4,5e-4,0,0.0017,0.0014,0.0021,0,3e-4,0,0.0011,3e-4,0.0031,0.0053,0.0264,0.0022,0.0093,7e-4,0.0013,0,0,0,0,5e-4,0.0026,0.0042,2e-4,0,7e-4,0,0.0044,3e-4,0.0154,0.001,0.0604,0.0022,0.0072,0.0014,3e-4,1e-4,0,0,0,1e-4,0.0011,8e-4,0,3e-4,0,4e-4,0,0.0011,0.0026,0.0113,5e-4,0.0032,5e-4,0.001,0,0,0,0,3e-4,7e-4,9e-4,0,0,0,0,0.001,1e-4,0.0029,0,0.0012000000000000001,0.0638,0.0325,0.018000000000000002,0.1068,0.1292,0.0177,0.06420000000000001,0.0927,0.2956,0.0756,0.051199999999999996,0.0514,0.1014,0.025300000000000003,0.0901,0.0602,0.0856,0.046900000000000004,0.0429,0.0478,0.0432,0.2359,0.0877,0.1331
32,135232,133288,0.4939829542044295,0.5060170457955705,0.4696,0.5304,36.86904761904762,66891.83333333333,0.0954,0.9046,0.2014,0.7986,0.2281,0.2486,0.131,0.14100000000000001,0.12000000000000001,0.13140000000000002,0.0194,0.0332,0.5588,0.0174,0.003,0.0012,0.1328,5e-4,4e-4,4e-4,0.0672,0.131,0.0283,0.0063,0.1033,0.709,0.3699,0.3392,0.291,0.249,0.0419,0.45189999999999997,0.4103,0.058,0.0798,0.2042,0.32030000000000003,0.201,0.0779,0.1403,0.055999999999999994,0.7016,0.0689,0.2296,0.8812,0.5649,0.3409,0.1187,0.7208,0.14629999999999999,0.1616,0.0067,0.0201,7e-4,0.0026,2e-4,1e-4,0.0011,1e-4,4e-4,2e-4,1e-4,1e-4,0,0,3e-4,0,0.0033,0.0039,0.0489,9e-4,0.0042,5e-4,7e-4,0,0,0,0,5e-4,0.0025,0.0011,1e-4,0,0,0,0.0012,0,0.0164,5e-4,0.0861,0.0021,0.0081,4e-4,9e-4,0,0,2e-4,1e-4,1e-4,0,0,1e-4,0,0,1e-4,0,0.0013,0.0021,0.0322,3e-4,0.003,3e-4,4e-4,0,0,0,0,0,0.001,5e-4,1e-4,0,0,0,7e-4,0,0.006,2e-4,3.0000000000000003e-4,0.0711,0.0242,0.014499999999999999,0.1133,0.1346,0.0156,0.053500000000000006,0.0847,0.2941,0.0808,0.0456,0.0675,0.0867,0.028200000000000003,0.0857,0.0505,0.0939,0.051199999999999996,0.0435,0.0572,0.0374,0.2301,0.09050000000000001,0.1454
