GEO_ID,TotalPopulation,TotalHousingUnits,TotalHousingUnits_PercentOwned,TotalHousingUnits_PercentRented,Sex_Male,Sex_Female,MedianAge,MedianIncome,Poverty_BelowPovertyLevel,Poverty_AtOrAboveovertyLevel,SNAP_Recipient,SNAP_NotRecipient,Age_Under18,Age_18To34,Age_35To44,Age_45To54,Age_55To64,Age_Over65,Race_White_NotHispanic,Race_White_Hispanic,Race_Black_NotHispanic,Race_Black_Hispanic,Race_Amerind_NotHispanic,Race_Amerind_Hispanic,Race_Asian_NotHispanic,Race_Asian_Hispanic,Race_Pacific_NotHispanic,Race_Pacific_Hispanic,Race_Other_NotHispanic,Race_Other_Hispanic,Race_MoreThanOne_NotHispanic,Race_MoreThanOne_Hispanic,Occupancy_DoubledUp,HouseholdType_Family,HouseholdType_Family_Married,HouseholdType_Family_Other,HouseholdType_NonFamily,HouseholdType_NonFamily_LivingAlone,HouseholdType_NonFamily_NotLivingAlone,MaritalStatus_NeverMarried,MaritalStatus_NowMarried,MaritalStatus_Widowed,MaritalStatus_Divorced,Education_NoHighSchoolDiploma,Education_HighSchoolDiplomaOrGED,Education_SomeCollege,Education_Associates,Education_Bachelors,Education_AdvancedDegree,Employment_Employed,Employment_Unemployed,Employment_NotInLaborForce,HealthInsurance_Covered,HealthInsurance_Covered_Private,HealthInsurance_Covered_Public,HealthInsurance_NotCovered,Language_OnlyEnglish_Total,Language_LimitedEnglish_Total,Language_Spanish_Total,Language_French_Total,Language_FrenchCreole_Total,Language_Italian_Total,Language_Portuguese_Total,Language_German_Total,Language_Yiddish_Total,Language_OtherWestGermanic_Total,Language_Scandinavian_Total,Language_Greek_Total,Language_Russian_Total,Language_Polish_Total,Language_SerboCroatian_Total,Language_OtherSlavic_Total,Language_Armenian_Total,Language_Persian_Total,Language_Gujarati_Total,Language_Hindi_Total,Language_Urdu_Total,Language_OtherIndic_Total,Language_OtherIndoEuropean_Total,Language_Chinese_Total,Language_Japanese_Total,Language_Korean_Total,Language_Cambodian_Total,Language_Hmong_Total,Language_Thai_Total,Language_Laotian_Total,Language_Vietnamese_Total,Language_OtherAsian_Total,Language_Tagalog_Total,Language_OtherPacificIsland_Total,Language_Navajo_Total,Language_OtherNativeNorthAmerican_Total,Language_Hungarian_Total,Language_Arabic_Total,Language_Hebrew_Total,Language_AfricanLanguages_Total,Language_OtherAndUnspecifiedLanguages_Total,Language_Spanish_LimitedEnglish,Language_French_LimitedEnglish,Language_FrenchCreole_LimitedEnglish,Language_Italian_LimitedEnglish,Language_Portuguese_LimitedEnglish,Language_German_LimitedEnglish,Language_Yiddish_LimitedEnglish,Language_OtherWestGermanic_LimitedEnglish,Language_Scandinavian_LimitedEnglish,Language_Greek_LimitedEnglish,Language_Russian_LimitedEnglish,Language_Polish_LimitedEnglish,Language_SerboCroatian_LimitedEnglish,Language_OtherSlavic_LimitedEnglish,Language_Armenian_LimitedEnglish,Language_Persian_LimitedEnglish,Language_Gujarati_LimitedEnglish,Language_Hindi_LimitedEnglish,Language_Urdu_LimitedEnglish,Language_OtherIndic_LimitedEnglish,Language_OtherIndoEuropean_LimitedEnglish,Language_Chinese_LimitedEnglish,Language_Japanese_LimitedEnglish,Language_Korean_LimitedEnglish,Language_Cambodian_LimitedEnglish,Language_Hmong_LimitedEnglish,Language_Thai_LimitedEnglish,Language_Laotian_LimitedEnglish,Language_Vietnamese_LimitedEnglish,Language_OtherAsian_LimitedEnglish,Language_Tagalog_LimitedEnglish,Language_OtherPacificIsland_LimitedEnglish,Language_Navajo_LimitedEnglish,Language_OtherNativeNorthAmerican_LimitedEnglish,Language_Hungarian_LimitedEnglish,Language_Arabic_LimitedEnglish,Language_Hebrew_LimitedEnglish,Language_AfricanLanguages_LimitedEnglish,Language_OtherAndUnspecifiedLanguages_LimitedEnglish,Industry_AgricultureForestryFishingAndHuntingAndMining,Industry_Construction,Industry_Manufacturing,Industry_WholesaleTrade,Industry_RetailTrade,Industry_TransportationAndWarehousingAndUtilities,Industry_Information,Industry_FinanceAndInsuranceAndRealEstateAndRentalAndLeasing,Industry_ProfessionalScientificAndManagementAndAdministrativeAndWasteManagementServices,Industry_EducationalServicesAndHealthCareAndSocialAssistance,Industry_ArtsEntertainmentAndRecreationAndAccommodationAndFoodServices,Industry_OtherServicesExceptPublicAdministration,Industry_PublicAdministration,Occupation_ManagementBusinessAndFinancial,Occupation_ComputerEngineeringAndScience,Occupation_EducationLegalCommunityServiceArtsAndMedia,Occupation_HealthcarePractitionersAndTechnical,Occupation_HealthcareSupport,Occupation_ProtectiveService,Occupation_FoodPreparationAndServingRelated,Occupation_BuildingAndGroundsCleaningAndMaintenance,Occupation_PersonalCareAndService,Occupation_SalesAndOffice,Occupation_NaturalResourcesConstructionAndMaintenance,Occupation_ProductionTransportationAndMaterialMoving
BK01,190415,188434,0.17185858178460361,0.8281414182153963,0.4991,0.5009,30.672916666666666,78271.625,0.2148,0.7852,0.2291,0.7709,0.2371,0.34719999999999995,0.155,0.0876,0.07669999999999999,0.0966,0.6165,0.108,0.0518,0.026,0.0015,0.0032,0.061,6e-4,4e-4,0,0.0025,0.0929,0.0216,0.014,0.0936,0.5099,0.3538,0.156,0.4901,0.2956,0.1946,0.5036,0.4012,0.039200000000000006,0.056,0.1701,0.2015,0.1143,0.0367,0.3172,0.1603,0.7645,0.0393,0.1962,0.9172,0.6718,0.2853,0.0829,0.443,0.23120000000000002,0.2286,0.0085,5e-4,0.0078,0.0021,0.0046,0.1749,7e-4,0.0013,5e-4,0.0068,0.0542,7e-4,0.0012,0,0,5e-4,0.0011,0.001,0.0037,0.0033,0.0269,0.0036,0.0037,0,0,5e-4,1e-4,0.001,0.0019,8e-4,7e-4,0,0,0.0011,0.0019,0.0118,5e-4,3e-4,0.0921,0.001,0,0.0024,6e-4,7e-4,0.0699,0,0,0,0.0033,0.0311,0,5e-4,0,0,1e-4,1e-4,6e-4,0.0025,6e-4,0.0182,7e-4,0.001,0,0,1e-4,0,2e-4,9e-4,2e-4,1e-4,0,0,6e-4,9e-4,0.0025,2e-4,1e-4,6e-4,0.0304,0.0402,0.0246,0.0971,0.0263,0.08979999999999999,0.09090000000000001,0.23349999999999999,0.186,0.1131,0.043,0.0245,0.2271,0.0713,0.24130000000000001,0.0231,0.0299,0.014499999999999999,0.046200000000000005,0.025599999999999998,0.0308,0.2039,0.0343,0.052000000000000005
BK02,129789,122489,0.3429124247891647,0.6570875752108353,0.4674,0.5326,35.34571428571429,108252.91428571429,0.0977,0.9023,0.147,0.853,0.1759,0.33080000000000004,0.1762,0.1133,0.09380000000000001,0.11,0.4782,0.0618,0.2333,0.0164,0.0014,0.0015,0.0993,4e-4,4e-4,0,0.0065,0.0481,0.0408,0.0118,0.060000000000000005,0.469,0.3191,0.1499,0.531,0.3722,0.1588,0.5055000000000001,0.3945,0.0349,0.0651,0.09419999999999999,0.1166,0.0955,0.0391,0.3396,0.31479999999999997,0.7595,0.0507,0.1897,0.9495,0.7918999999999999,0.1844,0.0506,0.7185,0.093,0.1411,0.0126,0.0085,0.0073,0.0029,0.0057,0.0038,0.0012,0.0023,0.0021,0.0041,0.0028,5e-4,0.0019,1e-4,0.0013,0.001,0.0038,0.0017,0.0033,0.0026,0.0377,0.0032,0.0065,0,0,0.001,1e-4,0.001,0.0021,0.0022,0.0012,0,3e-4,5e-4,0.0062,0.0034,0.0052,3e-4,0.0461,0.0015,0.004,0.0011,4e-4,0,0.003,2e-4,0,3e-4,9e-4,0.0012,1e-4,3e-4,0,1e-4,1e-4,4e-4,2e-4,4e-4,6e-4,0.0227,0.0017,0.0022,0,0,6e-4,0,1e-4,2e-4,3e-4,3e-4,0,0,1e-4,0.0023,5e-4,0.0011,0,5e-4,0.0221,0.0312,0.0141,0.0726,0.024800000000000003,0.0801,0.1145,0.2551,0.2152,0.0865,0.0413,0.0419,0.273,0.0851,0.2883,0.0384,0.0266,0.0179,0.0247,0.015300000000000001,0.023,0.1532,0.019,0.0353
BK03,159230,157200,0.29124045801526716,0.7087595419847328,0.4588,0.5412,32.64,56836.45,0.2059,0.7941,0.2797,0.7203,0.2227,0.325,0.1403,0.1152,0.0949,0.102,0.2352,0.0529,0.5202,0.0311,0.0019,0.0031,0.0366,3e-4,2e-4,6e-4,7e-4,0.0761,0.0238,0.0173,0.0647,0.5325,0.2406,0.292,0.4675,0.3127,0.1548,0.5652999999999999,0.3126,0.049800000000000004,0.07239999999999999,0.1577,0.2557,0.14379999999999998,0.0594,0.2433,0.1401,0.7184,0.053,0.2286,0.8985,0.6403,0.30500000000000005,0.10149999999999999,0.7369,0.1018,0.1559,0.0116,0.0097,0.0016,5e-4,0.0013,0.0352,6e-4,6e-4,2e-4,0.0024,3e-4,1e-4,3e-4,0,7e-4,2e-4,3e-4,0.0016,0.0061,7e-4,0.0069,0.0018,0.0026,0,0,1e-4,0,1e-4,0.0021,6e-4,3e-4,0,0,0,0.0052,0.0029,0.0102,4e-4,0.0658,0.0029,0.0034,2e-4,1e-4,2e-4,0.0121,1e-4,1e-4,0,8e-4,0,0,0,0,0,1e-4,0,4e-4,0.0037,3e-4,0.0035,2e-4,6e-4,0,0,0,0,0,3e-4,0,1e-4,0,0,0,0.0029,0.0014,0.0026,0,5e-4,0.0328,0.027700000000000002,0.0182,0.1019,0.0624,0.064,0.061,0.156,0.2571,0.1222,0.049800000000000004,0.0463,0.1547,0.0516,0.2216,0.0306,0.0558,0.0347,0.0528,0.0339,0.04,0.20179999999999998,0.0381,0.0844
BK04,113417,111866,0.1825755814992938,0.8174244185007062,0.499,0.501,31.486666666666668,57110.933333333334,0.239,0.761,0.2849,0.7151,0.2002,0.3861,0.1377,0.10200000000000001,0.08449999999999999,0.0898,0.1888,0.1626,0.1775,0.0585,0.0013,0.0059,0.0522,7e-4,1e-4,4e-4,0.0067,0.3078,0.0158,0.0216,0.1028,0.5307,0.2596,0.2711,0.4693,0.2615,0.2078,0.5823,0.3221,0.0358,0.06,0.2476,0.2524,0.1338,0.0602,0.2286,0.0775,0.7424,0.0416,0.216,0.8258000000000001,0.5670999999999999,0.30400000000000005,0.1741,0.3757,0.3119,0.5538,0.0056,0.0084,0.0013,7e-4,0.0014,0,8e-4,8e-4,2e-4,0.0025,0.0017,3e-4,3e-4,1e-4,1e-4,2e-4,0.0012,2e-4,0.0041,0.0025,0.0185,0.0031,0.0026,0,0,1e-4,1e-4,8e-4,0.0047,0.0037,4e-4,0,0,0,0.0017,6e-4,0.0015,3e-4,0.2798,0.0014,0.0039,0,2e-4,1e-4,0,1e-4,1e-4,0,0.001,6e-4,0,1e-4,1e-4,1e-4,0,0,0,0.0019,5e-4,0.0124,0.002,0.001,0,0,1e-4,0,4e-4,0.0031,0.0011,3e-4,0,0,0,9e-4,2e-4,3e-4,2e-4,0.002,0.0641,0.0427,0.023600000000000003,0.1138,0.0594,0.060700000000000004,0.0484,0.14629999999999999,0.2016,0.1582,0.053099999999999994,0.0262,0.1194,0.0409,0.1839,0.0208,0.0521,0.0206,0.095,0.049,0.0395,0.1894,0.0834,0.1058
BK05,187207,184399,0.2944484514558105,0.7055515485441896,0.4516,0.5484,34.50188679245283,43366.846153846156,0.2329,0.7671,0.337,0.663,0.253,0.2521,0.126,0.127,0.1199,0.1217,0.0379,0.1768,0.5461,0.0544,0.0013,0.0023,0.041,1e-4,4e-4,4e-4,0.0099,0.1077,0.0102,0.0114,0.1404,0.6521,0.2922,0.36,0.3479,0.3137,0.0342,0.5115000000000001,0.3597,0.0543,0.0744,0.19039999999999999,0.4495,0.1524,0.0632,0.1037,0.041,0.6313,0.049,0.3197,0.9183,0.5558,0.40700000000000003,0.0818,0.5895,0.1501,0.3086,0.004,0.0135,0.0018,7e-4,1e-4,7e-4,4e-4,0,0,0.0115,0.0015,1e-4,0,0,1e-4,0,9e-4,7e-4,0.0254,0.0017,0.0111,4e-4,0.0013,0,0,1e-4,0,7e-4,2e-4,3e-4,0,0,2e-4,2e-4,0.0033,0.0016,0.0192,1e-4,0.1072,0.0018,0.0044,4e-4,3e-4,0,1e-4,1e-4,0,0,0.0101,0,0,0,0,0,0,6e-4,5e-4,0.0111,7e-4,0.0069,1e-4,5e-4,0,0,1e-4,0,6e-4,1e-4,0,0,0,0,2e-4,0.0012,1e-4,0.0029,1e-4,0.0028,0.0597,0.0299,0.015,0.1091,0.1287,0.013,0.0467,0.0994,0.30069999999999997,0.0854,0.0562,0.0534,0.0645,0.018799999999999997,0.09960000000000001,0.04530000000000001,0.1086,0.057300000000000004,0.0479,0.0628,0.0518,0.2107,0.0833,0.1494
BK06,108253,107339,0.4307940264023328,0.5692059735976672,0.4699,0.5301,36.21,132003.9,0.0658,0.9342,0.09,0.91,0.2218,0.25050000000000006,0.19240000000000002,0.12990000000000002,0.0963,0.1089,0.6488,0.0729,0.0863,0.0115,8e-4,0.0022,0.0729,0.0017,0.003,0,0.0083,0.036,0.0434,0.0122,0.0501,0.5704,0.4496,0.1208,0.4296,0.2842,0.1454,0.3987,0.5192,0.0312,0.051,0.0688,0.0858,0.0676,0.0291,0.3522,0.3964,0.8133,0.0401,0.1466,0.962,0.8711,0.11349999999999999,0.038,0.7357,0.0759,0.1395,0.02,0.0021,0.0108,0.004,0.0096,0.0012,0.0021,0.0037,0.004,0.0073,0.003,6e-4,9e-4,1e-4,0.0024,3e-4,0.0012,6e-4,0.0019,0.004,0.017,0.0061,0.0038,0,0,1e-4,2e-4,9e-4,0.0035,0.0013,0,0,0,7e-4,0.0072,0.0032,3e-4,8e-4,0.0482,0.0032,0.0011,0.0019,5e-4,0.001,6e-4,0,5e-4,7e-4,0.0029,8e-4,1e-4,1e-4,0,4e-4,1e-4,0,0,7e-4,8e-4,0.0065,0.0022,0.0015,0,0,0,0,0,3e-4,1e-4,0,0,0,2e-4,0.0013,2e-4,0,0,0.0017000000000000001,0.019399999999999997,0.027299999999999998,0.0158,0.0688,0.016300000000000002,0.1113,0.0998,0.2652,0.21439999999999998,0.0895,0.0398,0.0308,0.2811,0.1011,0.32789999999999997,0.0488,0.007899999999999999,0.0102,0.0225,0.0109,0.0195,0.1285,0.013999999999999999,0.0278
BK07,140876,138498,0.2981198284451761,0.7018801715548239,0.5022,0.4978,35.355555555555554,67199.17142857143,0.1797,0.8203,0.215,0.785,0.2331,0.2639,0.16169999999999998,0.1339,0.09820000000000001,0.1092,0.2576,0.1755,0.0288,0.0101,6e-4,0.004,0.3004,4e-4,1e-4,0,0.0046,0.1823,0.0182,0.0174,0.1789,0.6798,0.4862,0.1936,0.3202,0.2078,0.1124,0.3896,0.5158,0.0374,0.0572,0.35729999999999995,0.189,0.0846,0.0366,0.188,0.1442,0.7459,0.0415,0.2127,0.8209,0.4964,0.34750000000000003,0.1792,0.2851,0.4577,0.3691,0.0033,0.0025,0.0057,9e-4,0.0019,0.0032,1e-4,9e-4,0.0012,0.0089,0.0088,6e-4,0.0015,0,2e-4,0.0011,0.0013,0.0024,0.0116,0.0021,0.2545,0.0023,0.0023,5e-4,0,0.0016,0,0.0028,0.0028,0.0043,7e-4,0,0,8e-4,0.0123,0.0012,0.0013,2e-4,0.2066,8e-4,4e-4,0.0013,3e-4,3e-4,0.0012,0,1e-4,3e-4,0.0059,0.0055,0,0.0013,0,1e-4,6e-4,7e-4,7e-4,0.0071,9e-4,0.2086,0.0018,9e-4,1e-4,0,6e-4,0,0.0012,0.002,0.0014,5e-4,0,0,5e-4,0.0052,0,6e-4,2e-4,5e-4,0.07070000000000001,0.0535,0.0214,0.0875,0.0398,0.046200000000000005,0.0532,0.1269,0.2103,0.1979,0.0684,0.0238,0.1307,0.044000000000000004,0.1599,0.0348,0.0489,0.0139,0.127,0.0469,0.041800000000000004,0.1704,0.07279999999999999,0.10880000000000001
BK08,124433,121727,0.21854641944679487,0.7814535805532051,0.4585,0.5415,34.354838709677416,63726.48387096774,0.187,0.813,0.2385,0.7615,0.1886,0.3259,0.1481,0.11510000000000001,0.10099999999999999,0.1214,0.2554,0.0306,0.5332,0.037,0.001,7e-4,0.0401,0.001,0,1e-4,0.0046,0.0529,0.033,0.0102,0.060599999999999994,0.5128,0.2477,0.2651,0.4872,0.339,0.1482,0.5515,0.3302,0.045,0.0732,0.15619999999999998,0.2179,0.1328,0.0593,0.2457,0.1883,0.7331,0.0484,0.2185,0.9045000000000001,0.6709,0.2877,0.0954,0.7686,0.09029999999999999,0.1064,0.0191,0.0287,0.0036,2e-4,0.0023,0.0053,9e-4,3e-4,5e-4,0.0045,8e-4,7e-4,1e-4,0,6e-4,3e-4,0.0017,0.0014,0.0095,0.0012,0.0113,0.0032,5e-4,0,0,3e-4,0,2e-4,0.002,5e-4,0,0,2e-4,3e-4,0.0066,0.0095,0.0084,1e-4,0.0401,0.0046,0.0123,9e-4,1e-4,3e-4,9e-4,1e-4,1e-4,0,0.0021,0,3e-4,1e-4,0,3e-4,0,1e-4,6e-4,0.0047,7e-4,0.0074,0.0013,1e-4,0,0,2e-4,0,2e-4,7e-4,4e-4,0,0,0,1e-4,0.0051,0.0032,0.0033,0,0.0011,0.0334,0.015,0.0102,0.0796,0.0529,0.0692,0.0695,0.17859999999999998,0.2866,0.0953,0.0688,0.0397,0.1598,0.062200000000000005,0.2368,0.0436,0.0519,0.0313,0.0397,0.0382,0.0489,0.1868,0.0436,0.057300000000000004
BK09,90390,88645,0.2098144283377517,0.7901855716622483,0.4602,0.5398,36.68333333333333,55031.916666666664,0.1338,0.8662,0.2082,0.7918,0.2053,0.28590000000000004,0.1307,0.11829999999999999,0.11349999999999999,0.1462,0.2684,0.0213,0.5987,0.0234,9e-4,8e-4,0.0199,4e-4,0,0,0.0066,0.0304,0.0226,0.0065,0.0818,0.5518,0.2639,0.2879,0.4482,0.3364,0.1118,0.5084,0.3519,0.050199999999999995,0.0896,0.128,0.2589,0.1957,0.0636,0.216,0.13779999999999998,0.7377,0.0552,0.2072,0.9063,0.6587999999999999,0.2835,0.0937,0.6957,0.1151,0.0805,0.015,0.0886,0.0012,0.0011,0.0011,0.031,0.001,7e-4,1e-4,0.0073,0.0012,7e-4,1e-4,6e-4,0,1e-4,5e-4,6e-4,0.0027,0.0037,0.006,7e-4,0.002,0,0,0,0,1e-4,0.002,7e-4,3e-4,0,1e-4,2e-4,0.0066,0.0339,0.0134,2e-4,0.0287,0.0069,0.048,3e-4,2e-4,0,0.0027,1e-4,1e-4,1e-4,0.0015,0.001,4e-4,0,6e-4,0,1e-4,1e-4,3e-4,0.001,0.0017,0.0042,6e-4,8e-4,0,0,0,0,0,0.001,0,1e-4,0,0,0,0.0027,0.0077,0.0042,0,2e-4,0.031599999999999996,0.0196,0.015300000000000001,0.0848,0.0737,0.0422,0.08,0.1227,0.34309999999999996,0.08310000000000001,0.0583,0.0455,0.1443,0.0397,0.2006,0.0451,0.0981,0.0317,0.0479,0.0401,0.0344,0.1998,0.040600000000000004,0.07780000000000001
BK10,122732,121952,0.4478319338756232,0.5521680661243769,0.4846,0.5154,41.513333333333335,78538.88636363637,0.1137,0.8863,0.1327,0.8673,0.1963,0.22859999999999997,0.1349,0.13379999999999997,0.1326,0.17370000000000002,0.5373,0.079,0.0234,0.0032,0.0013,0.0024,0.2452,0.0011,6e-4,1e-4,0.0022,0.0694,0.0199,0.0148,0.0921,0.6246,0.4788,0.1458,0.3754,0.3149,0.0606,0.3281,0.5395000000000001,0.0618,0.0706,0.1759,0.2187,0.1152,0.0585,0.2554,0.1764,0.7395,0.0391,0.2215,0.8976000000000001,0.6708000000000001,0.2506,0.10239999999999999,0.4298,0.2828,0.1048,0.0051,8e-4,0.0311,0.0021,0.0011,5e-4,1e-4,0.0016,0.0388,0.0385,0.0151,0.0037,0.0033,1e-4,0.0016,0.0014,0.0023,0.0097,0.0079,0.0109,0.1789,0.0018,0.0067,2e-4,0,0,0,6e-4,0.0063,0.0043,8e-4,0,2e-4,0.0017,0.0829,0.0018,0.0016,0.0019,0.0384,0.0024,3e-4,0.0116,5e-4,1e-4,0,0,2e-4,0.0137,0.0191,0.0084,0.0014,0.002,0,3e-4,6e-4,4e-4,0.0037,0.0039,0.0048,0.1252,7e-4,0.0048,0,0,0,0,2e-4,0.0028,0.0013,2e-4,0,0,8e-4,0.033,8e-4,6e-4,6e-4,7e-4,0.0594,0.0442,0.0212,0.08979999999999999,0.057,0.0335,0.1019,0.1192,0.2692,0.101,0.0528,0.05,0.1764,0.0553,0.1578,0.06259999999999999,0.0394,0.0282,0.05929999999999999,0.022600000000000002,0.035500000000000004,0.21050000000000002,0.0646,0.0878
