GEO_ID,TotalPopulation,TotalHousingUnits,TotalHousingUnits_PercentOwned,TotalHousingUnits_PercentRented,Sex_Male,Sex_Female,MedianAge,MedianIncome,Poverty_BelowPovertyLevel,Poverty_AtOrAboveovertyLevel,SNAP_Recipient,SNAP_NotRecipient,Age_Under18,Age_18To34,Age_35To44,Age_45To54,Age_55To64,Age_Over65,Race_White_NotHispanic,Race_White_Hispanic,Race_Black_NotHispanic,Race_Black_Hispanic,Race_Amerind_NotHispanic,Race_Amerind_Hispanic,Race_Asian_NotHispanic,Race_Asian_Hispanic,Race_Pacific_NotHispanic,Race_Pacific_Hispanic,Race_Other_NotHispanic,Race_Other_Hispanic,Race_MoreThanOne_NotHispanic,Race_MoreThanOne_Hispanic,Occupancy_DoubledUp,HouseholdType_Family,HouseholdType_Family_Married,HouseholdType_Family_Other,HouseholdType_NonFamily,HouseholdType_NonFamily_LivingAlone,HouseholdType_NonFamily_NotLivingAlone,MaritalStatus_NeverMarried,MaritalStatus_NowMarried,MaritalStatus_Widowed,MaritalStatus_Divorced,Education_NoHighSchoolDiploma,Education_HighSchoolDiplomaOrGED,Education_SomeCollege,Education_Associates,Education_Bachelors,Education_AdvancedDegree,Employment_Employed,Employment_Unemployed,Employment_NotInLaborForce,HealthInsurance_Covered,HealthInsurance_Covered_Private,HealthInsurance_Covered_Public,HealthInsurance_NotCovered,Language_OnlyEnglish_Total,Language_LimitedEnglish_Total,Language_Spanish_Total,Language_French_Total,Language_FrenchCreole_Total,Language_Italian_Total,Language_Portuguese_Total,Language_German_Total,Language_Yiddish_Total,Language_OtherWestGermanic_Total,Language_Scandinavian_Total,Language_Greek_Total,Language_Russian_Total,Language_Polish_Total,Language_SerboCroatian_Total,Language_OtherSlavic_Total,Language_Armenian_Total,Language_Persian_Total,Language_Gujarati_Total,Language_Hindi_Total,Language_Urdu_Total,Language_OtherIndic_Total,Language_OtherIndoEuropean_Total,Language_Chinese_Total,Language_Japanese_Total,Language_Korean_Total,Language_Cambodian_Total,Language_Hmong_Total,Language_Thai_Total,Language_Laotian_Total,Language_Vietnamese_Total,Language_OtherAsian_Total,Language_Tagalog_Total,Language_OtherPacificIsland_Total,Language_Navajo_Total,Language_OtherNativeNorthAmerican_Total,Language_Hungarian_Total,Language_Arabic_Total,Language_Hebrew_Total,Language_AfricanLanguages_Total,Language_OtherAndUnspecifiedLanguages_Total,Language_Spanish_LimitedEnglish,Language_French_LimitedEnglish,Language_FrenchCreole_LimitedEnglish,Language_Italian_LimitedEnglish,Language_Portuguese_LimitedEnglish,Language_German_LimitedEnglish,Language_Yiddish_LimitedEnglish,Language_OtherWestGermanic_LimitedEnglish,Language_Scandinavian_LimitedEnglish,Language_Greek_LimitedEnglish,Language_Russian_LimitedEnglish,Language_Polish_LimitedEnglish,Language_SerboCroatian_LimitedEnglish,Language_OtherSlavic_LimitedEnglish,Language_Armenian_LimitedEnglish,Language_Persian_LimitedEnglish,Language_Gujarati_LimitedEnglish,Language_Hindi_LimitedEnglish,Language_Urdu_LimitedEnglish,Language_OtherIndic_LimitedEnglish,Language_OtherIndoEuropean_LimitedEnglish,Language_Chinese_LimitedEnglish,Language_Japanese_LimitedEnglish,Language_Korean_LimitedEnglish,Language_Cambodian_LimitedEnglish,Language_Hmong_LimitedEnglish,Language_Thai_LimitedEnglish,Language_Laotian_LimitedEnglish,Language_Vietnamese_LimitedEnglish,Language_OtherAsian_LimitedEnglish,Language_Tagalog_LimitedEnglish,Language_OtherPacificIsland_LimitedEnglish,Language_Navajo_LimitedEnglish,Language_OtherNativeNorthAmerican_LimitedEnglish,Language_Hungarian_LimitedEnglish,Language_Arabic_LimitedEnglish,Language_Hebrew_LimitedEnglish,Language_AfricanLanguages_LimitedEnglish,Language_OtherAndUnspecifiedLanguages_LimitedEnglish,Industry_AgricultureForestryFishingAndHuntingAndMining,Industry_Construction,Industry_Manufacturing,Industry_WholesaleTrade,Industry_RetailTrade,Industry_TransportationAndWarehousingAndUtilities,Industry_Information,Industry_FinanceAndInsuranceAndRealEstateAndRentalAndLeasing,Industry_ProfessionalScientificAndManagementAndAdministrativeAndWasteManagementServices,Industry_EducationalServicesAndHealthCareAndSocialAssistance,Industry_ArtsEntertainmentAndRecreationAndAccommodationAndFoodServices,Industry_OtherServicesExceptPublicAdministration,Industry_PublicAdministration,Occupation_ManagementBusinessAndFinancial,Occupation_ComputerEngineeringAndScience,Occupation_EducationLegalCommunityServiceArtsAndMedia,Occupation_HealthcarePractitionersAndTechnical,Occupation_HealthcareSupport,Occupation_ProtectiveService,Occupation_FoodPreparationAndServingRelated,Occupation_BuildingAndGroundsCleaningAndMaintenance,Occupation_PersonalCareAndService,Occupation_SalesAndOffice,Occupation_NaturalResourcesConstructionAndMaintenance,Occupation_ProductionTransportationAndMaterialMoving
10001,19621,18540,0.25431499460625673,0.7456850053937433,0.5098,0.4902,36.15,114459.83333333333,0.067,0.933,0.075,0.925,0.08410000000000001,0.3978999999999999,0.1497,0.126,0.11439999999999999,0.1279,0.5852,0.0879,0.0567,0.0039,8e-4,0,0.2008,0,0.0011,0,0.003,0.023,0.0157,0.0219,0.051000000000000004,0.2929,0.223,0.0699,0.7071,0.5627,0.1444,0.5728,0.29800000000000004,0.0363,0.0929,0.07100000000000001,0.0885,0.0748,0.0222,0.4097,0.3337,0.7889,0.0362,0.1749,0.9522999999999999,0.8589,0.10749999999999998,0.0478,0.6435,0.0959,0.0778,0.0283,0,0.0054,0.0107,0.0071,4e-4,0.0018,0.0049,0.0034,0.0099,0.0027,0.0029,4e-4,0,0.0048,0.0014,0.0186,0.0012,0.0074,0.0023,0.077,0.0126,0.0368,0.0011,0,9e-4,0,0.0022,0.0068,0.0044,0,0,0,4e-4,0.0095,0.0111,0.0015,4e-4,0.0202,0.0018,0,0,0.0014,4e-4,0,0,8e-4,8e-4,0.0047,0.0013,0,0,0,0,4e-4,0.0011,6e-4,9e-4,4e-4,0.0337,0.0076,0.0178,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0027,0.017300000000000003,0.0316,0.0181,0.08660000000000001,0.0169,0.058499999999999996,0.1992,0.2809,0.1526,0.0925,0.0208,0.0224,0.3715,0.0957,0.1864,0.0537,0.0129,0.005,0.024800000000000003,0.015,0.0078,0.1993,0.0058,0.0221
10002,73780,72077,0.1309155486493611,0.8690844513506389,0.4713,0.5287,43.128571428571426,46347.42857142857,0.2539,0.7461,0.3493,0.6507,0.1263,0.255,0.1255,0.1267,0.1378,0.22870000000000001,0.2221,0.0992,0.071,0.0147,0.0062,0.0036,0.4193,0.0031,3e-4,0,0.0018,0.1165,0.0191,0.0231,0.0865,0.4976,0.2968,0.2008,0.5024,0.4254,0.077,0.4352,0.4004,0.0863,0.078,0.33849999999999997,0.18889999999999998,0.0929,0.0438,0.2238,0.112,0.6743,0.0444,0.2813,0.9215,0.5745,0.377,0.0785,0.3654,0.3736,0.2124,0.0098,4e-4,0.0014,3e-4,0.0017,0.0015,3e-4,0.001,7e-4,0.0061,0.0015,5e-4,0.0012,4e-4,0,4e-4,6e-4,0.0015,0.008,0,0.366,0.0044,0.0026,3e-4,0,2e-4,0,0.0021,9e-4,0.0022,5e-4,1e-4,0,4e-4,0.0019,0.0013,0.0019,0,0.0736,0.0016,1e-4,3e-4,2e-4,0,3e-4,0,0,2e-4,0.0027,6e-4,1e-4,0,0,0,0,2e-4,8e-4,0.0037,0,0.2823,0.0017,0.0013,3e-4,0,1e-4,0,0.0016,0,0.001,0,0,0,1e-4,5e-4,2e-4,1e-4,0,0.0018,0.021199999999999997,0.0379,0.0194,0.0864,0.0453,0.0448,0.0946,0.195,0.2271,0.1602,0.039599999999999996,0.0266,0.16970000000000002,0.0733,0.16499999999999998,0.0327,0.0711,0.022699999999999998,0.0879,0.0404,0.0371,0.19840000000000002,0.0284,0.07339999999999999
10003,52834,43230,0.3654637982882258,0.6345362017117743,0.4986,0.5014,33.68,135902.8,0.0291,0.9709,0.0377,0.9623,0.065,0.47990000000000005,0.1251,0.0922,0.10470000000000002,0.1333,0.6905,0.061,0.0552,6e-4,0.001,6e-4,0.1459,1e-4,0.0014,0,0.0029,0.0189,0.0195,0.0024,0.0357,0.2937,0.2557,0.0379,0.7063,0.5538,0.1525,0.6286,0.2904,0.0229,0.0583,0.0452,0.06,0.07189999999999999,0.0308,0.4306,0.3616,0.7358,0.036,0.2282,0.95,0.8857999999999999,0.0756,0.05,0.7637,0.0493,0.0574,0.023,2e-4,0.0067,0.0068,0.0054,0.0011,0.0015,0.0031,0.0013,0.0045,0.0013,0.0012,0.0025,0,0.0012,9e-4,0.0046,0.0027,0.003,0.0085,0.0486,0.012,0.0186,2e-4,0,0,0,0.0011,0.0024,0.0024,0.001,0,1e-4,0.001,0.0021,0.0079,0.0017,0,0.0075,0.0025,0,3e-4,0.0013,8e-4,9e-4,0,2e-4,1e-4,3e-4,2e-4,8e-4,5e-4,0,2e-4,0,4e-4,0,4e-4,0.0023,0.02,0.0055,0.0025,0,0,0,0,0,1e-4,3e-4,1e-4,0,0,0,9e-4,0.0012,0,0,0,0.0048,0.0276,0.0175,0.0536,0.0143,0.088,0.19519999999999998,0.2396,0.19640000000000002,0.1212,0.027200000000000002,0.0146,0.3385,0.0804,0.26,0.041,0.0186,0.0060999999999999995,0.029500000000000002,0.0092,0.0218,0.1721,0.0057,0.017
10004,1796,1791,0.19262981574539365,0.8073701842546064,0.5373,0.4627,33.6,206750,0.0373,0.9627,0.0074,0.9926,0.1472,0.44370000000000004,0.23270000000000002,0.07680000000000001,0.07410000000000001,0.0256,0.637,0.0457,0.0434,0.0056,0,0,0.1826,0,0.0095,0,0,0.0356,0.0351,0.0056,0.0445,0.5303,0.4685,0.0618,0.4697,0.2967,0.1731,0.4232,0.5058,0.0097,0.06129999999999999,0.0014,0.0288,0.0412,0.0316,0.4838,0.4131,0.8617,0.0162,0.1221,0.9697,0.9433,0.0283,0.030400000000000003,0.7596,0.0283,0.0741,0.0074,0,0.0094,0,0.0101,0,0,0.0162,0.0081,0.0101,0,0,0,0,0,0,0.0067,0.0067,0.0061,0,0.0552,0.0088,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,0.0175,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195,0.0088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0.0197,0.035,0.0129,0.041800000000000004,0.0175,0.0859,0.29259999999999997,0.2789,0.1253,0.0433,0.0281,0.0152,0.4309,0.1018,0.2219,0.0296,0.0046,0,0.0099,0.0046,0,0.1847,0.003,0.0091
10005,8501,8483,0.2354120004715313,0.7645879995284687,0.4551,0.5449,30.2,184609,0,1,0,1,0.0986,0.5491,0.19290000000000002,0.094,0.0447,0.020499999999999997,0.7307,0.0303,0.0082,2e-4,0,0,0.1909,0,0,0,0,0.018,0.0182,0.0033,0.1427,0.2965,0.2678,0.0287,0.7035,0.4379,0.2655,0.6112,0.3355,0.0035,0.049800000000000004,0.0128,0.0424,0.0249,0.0229,0.5218,0.3753,0.8997,0.0322,0.0681,0.9679,0.9416,0.0435,0.032100000000000004,0.7512,0.0354,0.034,0.0013,0,0.0018,0.0022,0.0031,0,0,0.0176,0.0032,0.0083,0,0,0,0,0,0,0.0292,0,0.0064,0.0343,0.0279,0.0222,0.0339,0,0,0.0027,0,0,0.0064,0,0,0,0,0,0.0118,0.0027,0,0,0.0136,0,0,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103,0.0097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152,0.0157,0.0269,0.06999999999999999,0.004,0.0646,0.2371,0.3762,0.1199,0.0503,0.0201,0,0.3917,0.1257,0.2198,0.040900000000000006,0.0068,0,0.0129,0,0.006,0.17409999999999998,0.0169,0.0052
10006,4455,4455,0.19461279461279463,0.8053872053872054,0.4444,0.5556,34,171173,0.0106,0.9894,0,1,0.10200000000000001,0.4259,0.2227,0.1522,0.0747,0.022600000000000002,0.626,0.0721,0.0393,0,0,0,0.1762,0.0052,0,0,0.0195,0.0047,0.0447,0.0123,0.07680000000000001,0.3293,0.2766,0.0528,0.6707,0.5209,0.1497,0.4992,0.4063,0.0173,0.0771,0.0082,0.033,0.0486,0.0181,0.4141,0.478,0.8825,0.0428,0.0747,0.9684,0.9637000000000001,0.0306,0.0317,0.7714,0.0243,0.0467,0.0112,0,0.0068,0.0024,0.0207,0,0.0019,0,0.001,0.0044,0,0,0.0039,0,0,0,0.0324,0,0.0058,0.0039,0.0234,0.0102,0.0175,0,0,0,0.0078,0,0.009,0.009,0,0,0,0.0071,0.0034,0,0,0,0,0,0,0.0068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0,0,0,0,0,0,0.0039,0,0,0,0,0.0034,0,0,0,0,0,0.0171,0.021699999999999997,0.010700000000000001,0.0327,0.0046,0.0692,0.3064,0.3229,0.1279,0.0347,0.023100000000000002,0.029,0.4028,0.0906,0.24269999999999997,0.048600000000000004,0,0.0049,0.025500000000000002,0,0.0023,0.1404,0.02,0.0223
10007,15115,12399,0.3266392451004113,0.6733607548995887,0.5402,0.4598,33.166666666666664,148231.66666666666,0.0998,0.9002,0.1904,0.8096,0.1564,0.3204,0.1901,0.1143,0.08399999999999999,0.1349,0.4689,0.0672,0.0806,0.0037,0.003,0,0.3145,0.0011,0,0,6e-4,0.0261,0.0334,9e-4,0.1037,0.5134,0.442,0.0714,0.4866,0.3852,0.1014,0.42800000000000005,0.4634,0.0548,0.053900000000000003,0.2144,0.0972,0.0562,0.0098,0.3705,0.2519,0.7629,0.0146,0.2225,0.9657,0.8544999999999999,0.12719999999999998,0.0342,0.5544,0.24839999999999998,0.0633,0.0177,0,0.006,0.0051,7e-4,0.001,0,0.0062,0,0.0051,2e-4,0,0,0,0.003,0.0034,0.0043,0.0108,0.0023,0.003,0.2816,0.0084,0.0119,0,0,0,0,0,0.0026,0.003,0.0012,0,0,3e-4,0,0.0045,0,0,0.0183,0.0011,0,0,0.0029,0,0,0,0.0011,0,0.0012,0,0,0,0,0,0,0,8e-4,0.0014,8e-4,0.2143,0.0016,0.0021,0,0,0,0,0,0,0,0.0012,0,0,0,0,0.0016,0,0,0,0.0074,0.023399999999999997,0.0207,0.0702,0.0088,0.0475,0.317,0.20500000000000002,0.1511,0.1112,0.0286,0.0092,0.3531,0.051699999999999996,0.16299999999999998,0.0475,0.019700000000000002,0.0059,0.0698,0.021,0.0166,0.2137,0.012,0.0258
10009,58992,58325,0.06348906986712387,0.9365109301328761,0.4666,0.5334,37.21,60581,0.1804,0.8196,0.1872,0.8128,0.1115,0.3653,0.1391,0.1121,0.1195,0.1526,0.5097,0.1016,0.0823,0.0082,7e-4,5e-4,0.1396,0.0015,2e-4,0,7e-4,0.1169,0.0259,0.0124,0.0445,0.3514,0.1981,0.1532,0.6486,0.4888,0.1599,0.5831999999999999,0.29000000000000004,0.0559,0.07089999999999999,0.1295,0.1438,0.10769999999999999,0.0388,0.3737,0.2067,0.7094,0.0266,0.264,0.9389000000000001,0.7430000000000001,0.2235,0.061000000000000006,0.5871,0.1701,0.2204,0.0161,5e-4,0.0034,0.0037,0.008,0,0.0016,0.0013,0.0018,0.0102,0.0135,4e-4,0.005,0,0,4e-4,0.0057,0.0032,0.0042,0.0015,0.0762,0.006,0.0111,2e-4,0,6e-4,0,5e-4,0.0016,0.0072,0.0035,0,0,7e-4,0.0021,0.0016,5e-4,0,0.0888,0.0011,0,0,0.0012,0.001,0,0,5e-4,0,0.0029,0.0047,0,0.002,0,0,0,1e-4,0.0017,0.0031,8e-4,0.0512,0.0016,0.0035,0,0,0,0,2e-4,4e-4,0.0025,0.0018,0,0,0,9e-4,0,1e-4,0,0.0015,0.0177,0.0267,0.0138,0.083,0.0316,0.0809,0.11560000000000001,0.266,0.1937,0.0983,0.0437,0.027500000000000004,0.2629,0.083,0.222,0.038900000000000004,0.026000000000000002,0.0068,0.033,0.0241,0.0447,0.2089,0.016200000000000003,0.0335
10010,29825,27850,0.2706283662477558,0.7293716337522441,0.5039,0.4961,34.68,152410.2,0.0276,0.9724,0.059,0.941,0.10239999999999999,0.41259999999999997,0.1732,0.10760000000000002,0.07970000000000001,0.12430000000000001,0.6831,0.0734,0.0445,0.0013,0,0,0.1483,0.003,0,0,0.0104,0.0135,0.0211,0.0015,0.0325,0.337,0.2946,0.0424,0.663,0.5015,0.1615,0.5626,0.36350000000000005,0.0257,0.048299999999999996,0.0165,0.0591,0.0514,0.025,0.4426,0.4054,0.7899,0.0329,0.1772,0.9588,0.8989,0.0674,0.0413,0.7935,0.0409,0.0419,0.0282,0,0.0062,0.0029,0.0053,0.0018,0.0011,0.0055,0.002,0.0057,0.0012,0.0016,5e-4,0,0.0046,0,0.0151,3e-4,0.0037,0,0.0315,0.0079,0.0125,0,0,5e-4,6e-4,0.0012,0.0065,0.0048,3e-4,0,0,0,0.0019,0.0111,0,0,0.0077,0.0037,0,0,7e-4,6e-4,9e-4,0,0,0,0.0023,0,8e-4,0,0,0,0,0.0033,0,4e-4,0,0.0087,0.0046,0.005,0,0,0,0,0,0,0,3e-4,0,0,0,0,0.0019,0,0,0,0.0054,0.023299999999999998,0.014600000000000002,0.0549,0.0125,0.0947,0.2419,0.2811,0.16299999999999998,0.0528,0.0376,0.0184,0.3813,0.087,0.19169999999999998,0.0716,0.015300000000000001,0.0028,0.014600000000000002,0.0053,0.0137,0.19940000000000002,0.0072,0.01
10011,55565,53944,0.3997108112116269,0.6002891887883731,0.5114,0.4886,40.355555555555554,135429.55555555556,0.0597,0.9403,0.0807,0.9193,0.0914,0.3257,0.1436,0.1292,0.1506,0.15919999999999998,0.692,0.0899,0.0401,0.0063,0,0.0013,0.1086,0,1e-4,0,0.0049,0.0266,0.0254,0.0049,0.036699999999999997,0.2852,0.2267,0.0586,0.7148,0.5784,0.1363,0.5519000000000001,0.328,0.032,0.08810000000000001,0.04649999999999999,0.0729,0.0725,0.0296,0.4079,0.3708,0.834,0.0327,0.1333,0.9690000000000001,0.8788,0.1034,0.031,0.7202,0.07680000000000001,0.09,0.0272,2e-4,0.0121,0.0032,0.0074,0,0,0.0012,0.0025,0.0135,0.0028,6e-4,0.0014,7e-4,0.001,0.0028,0.0027,5e-4,0.0011,7e-4,0.0379,0.0069,0.0098,0,0,0.0011,0,0.0017,0.0052,0.0012,1e-4,0,0,0.0041,0.0017,0.011,0.0272,2e-4,0.0305,7e-4,0,0.004,4e-4,3e-4,0,0,4e-4,3e-4,0.0056,2e-4,3e-4,0,0,8e-4,0,0,0,3e-4,0,0.0182,0.0044,0.004,0,0,5e-4,0,0.0012,0.001,5e-4,0,0,0,2e-4,0,3e-4,0.0027,0,0.0017,0.0072,0.0211,0.0213,0.064,0.0125,0.0997,0.2061,0.2552,0.1631,0.0812,0.0402,0.0265,0.3776,0.0691,0.24020000000000002,0.031299999999999994,0.0143,0.0087,0.0208,0.0147,0.02,0.17270000000000002,0.0070999999999999995,0.023399999999999997
