GEO_ID,TotalPopulation,TotalHousingUnits,TotalHousingUnits_PercentOwned,TotalHousingUnits_PercentRented,Sex_Male,Sex_Female,MedianAge,MedianIncome,Poverty_BelowPovertyLevel,Poverty_AtOrAboveovertyLevel,SNAP_Recipient,SNAP_NotRecipient,Age_Under18,Age_18To34,Age_35To44,Age_45To54,Age_55To64,Age_Over65,Race_White_NotHispanic,Race_White_Hispanic,Race_Black_NotHispanic,Race_Black_Hispanic,Race_Amerind_NotHispanic,Race_Amerind_Hispanic,Race_Asian_NotHispanic,Race_Asian_Hispanic,Race_Pacific_NotHispanic,Race_Pacific_Hispanic,Race_Other_NotHispanic,Race_Other_Hispanic,Race_MoreThanOne_NotHispanic,Race_MoreThanOne_Hispanic,Occupancy_DoubledUp,HouseholdType_Family,HouseholdType_Family_Married,HouseholdType_Family_Other,HouseholdType_NonFamily,HouseholdType_NonFamily_LivingAlone,HouseholdType_NonFamily_NotLivingAlone,MaritalStatus_NeverMarried,MaritalStatus_NowMarried,MaritalStatus_Widowed,MaritalStatus_Divorced,Education_NoHighSchoolDiploma,Education_HighSchoolDiplomaOrGED,Education_SomeCollege,Education_Associates,Education_Bachelors,Education_AdvancedDegree,Employment_Employed,Employment_Unemployed,Employment_NotInLaborForce,HealthInsurance_Covered,HealthInsurance_Covered_Private,HealthInsurance_Covered_Public,HealthInsurance_NotCovered,Language_OnlyEnglish_Total,Language_LimitedEnglish_Total,Language_Spanish_Total,Language_French_Total,Language_FrenchCreole_Total,Language_Italian_Total,Language_Portuguese_Total,Language_German_Total,Language_Yiddish_Total,Language_OtherWestGermanic_Total,Language_Scandinavian_Total,Language_Greek_Total,Language_Russian_Total,Language_Polish_Total,Language_SerboCroatian_Total,Language_OtherSlavic_Total,Language_Armenian_Total,Language_Persian_Total,Language_Gujarati_Total,Language_Hindi_Total,Language_Urdu_Total,Language_OtherIndic_Total,Language_OtherIndoEuropean_Total,Language_Chinese_Total,Language_Japanese_Total,Language_Korean_Total,Language_Cambodian_Total,Language_Hmong_Total,Language_Thai_Total,Language_Laotian_Total,Language_Vietnamese_Total,Language_OtherAsian_Total,Language_Tagalog_Total,Language_OtherPacificIsland_Total,Language_Navajo_Total,Language_OtherNativeNorthAmerican_Total,Language_Hungarian_Total,Language_Arabic_Total,Language_Hebrew_Total,Language_AfricanLanguages_Total,Language_OtherAndUnspecifiedLanguages_Total,Language_Spanish_LimitedEnglish,Language_French_LimitedEnglish,Language_FrenchCreole_LimitedEnglish,Language_Italian_LimitedEnglish,Language_Portuguese_LimitedEnglish,Language_German_LimitedEnglish,Language_Yiddish_LimitedEnglish,Language_OtherWestGermanic_LimitedEnglish,Language_Scandinavian_LimitedEnglish,Language_Greek_LimitedEnglish,Language_Russian_LimitedEnglish,Language_Polish_LimitedEnglish,Language_SerboCroatian_LimitedEnglish,Language_OtherSlavic_LimitedEnglish,Language_Armenian_LimitedEnglish,Language_Persian_LimitedEnglish,Language_Gujarati_LimitedEnglish,Language_Hindi_LimitedEnglish,Language_Urdu_LimitedEnglish,Language_OtherIndic_LimitedEnglish,Language_OtherIndoEuropean_LimitedEnglish,Language_Chinese_LimitedEnglish,Language_Japanese_LimitedEnglish,Language_Korean_LimitedEnglish,Language_Cambodian_LimitedEnglish,Language_Hmong_LimitedEnglish,Language_Thai_LimitedEnglish,Language_Laotian_LimitedEnglish,Language_Vietnamese_LimitedEnglish,Language_OtherAsian_LimitedEnglish,Language_Tagalog_LimitedEnglish,Language_OtherPacificIsland_LimitedEnglish,Language_Navajo_LimitedEnglish,Language_OtherNativeNorthAmerican_LimitedEnglish,Language_Hungarian_LimitedEnglish,Language_Arabic_LimitedEnglish,Language_Hebrew_LimitedEnglish,Language_AfricanLanguages_LimitedEnglish,Language_OtherAndUnspecifiedLanguages_LimitedEnglish,Industry_AgricultureForestryFishingAndHuntingAndMining,Industry_Construction,Industry_Manufacturing,Industry_WholesaleTrade,Industry_RetailTrade,Industry_TransportationAndWarehousingAndUtilities,Industry_Information,Industry_FinanceAndInsuranceAndRealEstateAndRentalAndLeasing,Industry_ProfessionalScientificAndManagementAndAdministrativeAndWasteManagementServices,Industry_EducationalServicesAndHealthCareAndSocialAssistance,Industry_ArtsEntertainmentAndRecreationAndAccommodationAndFoodServices,Industry_OtherServicesExceptPublicAdministration,Industry_PublicAdministration,Occupation_ManagementBusinessAndFinancial,Occupation_ComputerEngineeringAndScience,Occupation_EducationLegalCommunityServiceArtsAndMedia,Occupation_HealthcarePractitionersAndTechnical,Occupation_HealthcareSupport,Occupation_ProtectiveService,Occupation_FoodPreparationAndServingRelated,Occupation_BuildingAndGroundsCleaningAndMaintenance,Occupation_PersonalCareAndService,Occupation_SalesAndOffice,Occupation_NaturalResourcesConstructionAndMaintenance,Occupation_ProductionTransportationAndMaterialMoving
1,112770,105694,0.1185686983177853,0.8814313016822147,0.4826,0.5174,37.95,58195.818181818184,0.2409,0.7591,0.2493,0.7507,0.10919999999999999,0.3675,0.125,0.1122,0.1163,0.16990000000000002,0.3884,0.1152,0.095,0.0131,0.0018,0.0024,0.2049,0.002,2e-4,0,0.0012,0.1346,0.0211,0.02,0.0542,0.36870000000000003,0.203,0.1657,0.6313,0.5029,0.1284,0.5796,0.2848,0.061599999999999995,0.07400000000000001,0.20500000000000002,0.1721,0.1075,0.0435,0.3137,0.15789999999999998,0.6751,0.0378,0.2871,0.9318,0.6882,0.273,0.06810000000000001,0.5089,0.2287,0.2456,0.0131,4e-4,0.0035,0.0039,0.0057,0.001,0.0017,0.0026,0.0013,0.0056,0.0076,6e-4,0.0044,3e-4,3e-4,5e-4,0.0035,7e-4,0.0043,0.0031,0.1528,0.0074,0.0065,3e-4,0,3e-4,0,0.0012,0.0016,0.0016,0.002,0,0,8e-4,0.0021,0.0027,0.0018,0,0.0905,0.0016,1e-4,1e-4,0.0013,6e-4,3e-4,0,4e-4,2e-4,0.0028,0.0028,0,0.0012,0,0,0,2e-4,0,0.001,0.0013,0.1164,0.0035,7e-4,1e-4,0,0,0,6e-4,2e-4,9e-4,9e-4,0,0,1e-4,5e-4,3e-4,1e-4,0,0.0015,0.013500000000000002,0.0259,0.0143,0.0789,0.0381,0.07100000000000001,0.1184,0.2444,0.2088,0.12819999999999998,0.0366,0.020499999999999997,0.2343,0.07819999999999999,0.2153,0.027499999999999997,0.042899999999999994,0.014600000000000002,0.0512,0.0323,0.0378,0.2014,0.016800000000000002,0.0475
10,350042,337383,0.1337737823186112,0.8662262176813889,0.4719,0.5281,35.2,47764.805555555555,0.2525,0.7475,0.3724,0.6276,0.2525,0.2737,0.12340000000000001,0.12310000000000001,0.1019,0.1256,0.1392,0.1253,0.1593,0.0563,0.0018,0.004,0.0379,0.0012,3e-4,0.0011,0.0056,0.4255,0.0142,0.0283,0.1457,0.6326,0.2849,0.3477,0.3674,0.3143,0.0531,0.4659,0.3833,0.0509,0.0999,0.2705,0.2637,0.168,0.0593,0.1373,0.1014,0.6748,0.0773,0.2479,0.8688,0.4763,0.4356,0.1312,0.3422,0.3034,0.5364,0.0097,0.0019,0.0034,9e-4,7e-4,5e-4,7e-4,1e-4,0.0026,0.0046,9e-4,0.002,0.0025,4e-4,0.0011,7e-4,0.0018,0.0035,0.0138,0.0112,0.0056,0.001,0.0042,3e-4,0,3e-4,0,0.0026,0.002,0.0055,4e-4,0,0,0.0018,0.0053,0.0023,0.027,2e-4,0.2496,0.0046,6e-4,0.001,1e-4,2e-4,1e-4,0,0,5e-4,0.0026,5e-4,9e-4,0.0011,1e-4,3e-4,4e-4,7e-4,0.0012,0.0084,0.0053,0.0033,7e-4,0.0031,2e-4,0,2e-4,0,0.0019,6e-4,0.0013,1e-4,0,0,0.001,0.0031,5e-4,0.0091,1e-4,0.0013,0.051899999999999995,0.033600000000000005,0.019,0.1062,0.06459999999999999,0.0182,0.0743,0.0915,0.3081,0.1395,0.06359999999999999,0.0279,0.0939,0.025099999999999997,0.1041,0.0429,0.0936,0.0302,0.0885,0.0819,0.0508,0.201,0.06530000000000001,0.1229
11,361114,353521,0.39646301068394807,0.6035369893160519,0.4611,0.5389,38.50430107526882,59589.891304347824,0.1429,0.8571,0.237,0.763,0.2132,0.24070000000000003,0.1327,0.13090000000000002,0.12469999999999999,0.15739999999999998,0.1171,0.0992,0.4521,0.0395,0.0028,0.0055,0.0611,0.0011,2e-4,2e-4,0.0094,0.1735,0.0135,0.0249,0.095,0.6464,0.3137,0.3326,0.3536,0.3169,0.0367,0.4457,0.39349999999999996,0.06459999999999999,0.0963,0.1975,0.2868,0.1764,0.0901,0.1586,0.0907,0.7058,0.0646,0.2296,0.8943,0.6279,0.3283,0.1056,0.588,0.1512,0.2712,0.0076,0.006,0.014,0.0016,8e-4,4e-4,2e-4,0,8e-4,0.0028,9e-4,0.0012,0.0015,1e-4,2e-4,2e-4,0.0015,0.0044,0.0158,0.0184,0.0051,1e-4,0.0012,0.0024,0,5e-4,1e-4,0.0035,0.0021,0.0057,4e-4,0,2e-4,2e-4,0.0063,3e-4,0.0341,1e-4,0.0962,0.002,0.0013,0.005,5e-4,2e-4,2e-4,0,0,3e-4,0.0021,4e-4,5e-4,7e-4,0,1e-4,0,4e-4,0.0018,0.0083,0.008,0.0034,0,9e-4,0.001,0,4e-4,1e-4,0.0025,9e-4,0.0018,2e-4,0,1e-4,1e-4,0.0032,1e-4,0.0084,1e-4,6.000000000000001e-4,0.0544,0.0342,0.0139,0.1028,0.0803,0.0187,0.061700000000000005,0.086,0.36660000000000004,0.0854,0.0487,0.0471,0.1069,0.0246,0.10949999999999999,0.0676,0.0903,0.0429,0.0516,0.052700000000000004,0.0455,0.2339,0.07279999999999999,0.1018
12,153589,150962,0.13578251480505027,0.8642174851949497,0.468,0.532,32.502702702702706,30834.324324324323,0.3151,0.6849,0.4719,0.5281,0.27140000000000003,0.26849999999999996,0.12309999999999999,0.12369999999999999,0.10149999999999999,0.1118,0.0187,0.1255,0.2876,0.0708,0.002,0.006,0.0279,3e-4,6e-4,0.0013,0.0037,0.4183,0.0102,0.027,0.1283,0.6631,0.2488,0.4143,0.3369,0.2951,0.0419,0.5122,0.3516,0.0469,0.0892,0.3421,0.2766,0.1713,0.0685,0.1067,0.0347,0.627,0.0778,0.2951,0.8551,0.43000000000000005,0.5139,0.145,0.3615,0.2824,0.5607,0.0147,0.0045,4e-4,6e-4,3e-4,1e-4,3e-4,0,0,3e-4,1e-4,0,0,0,0,0,6e-4,1e-4,0.0098,0.0015,0.0032,2e-4,7e-4,4e-4,0,4e-4,0,8e-4,2e-4,5e-4,3e-4,0,0,0,0.0022,2e-4,0.0345,8e-4,0.2527,0.0047,5e-4,3e-4,0,3e-4,1e-4,0,0,0,1e-4,0,0,0,0,0,0,2e-4,0,0.005,5e-4,0.0028,0,5e-4,4e-4,0,1e-4,0,6e-4,1e-4,4e-4,0,0,0,0,0.0013,0,0.011,8e-4,0,0.0626,0.0277,0.021400000000000002,0.11829999999999999,0.084,0.0116,0.0565,0.0884,0.31270000000000003,0.1231,0.0648,0.0289,0.0643,0.0177,0.0854,0.0281,0.116,0.045399999999999996,0.0826,0.0828,0.0596,0.2171,0.0742,0.1268
13,197243,190206,0.3470500404824243,0.6529499595175757,0.4631,0.5369,34.68846153846154,94593.38461538461,0.1126,0.8874,0.1671,0.8329,0.18110000000000004,0.33509999999999995,0.1682,0.11270000000000001,0.09240000000000001,0.1105,0.434,0.0529,0.3047,0.02,0.0015,0.0021,0.0789,4e-4,3e-4,1e-4,0.005,0.0475,0.0398,0.0127,0.05740000000000001,0.4695,0.3046,0.1649,0.5305,0.3616,0.1689,0.5156000000000001,0.3832,0.0368,0.0643,0.1036,0.1401,0.1076,0.0447,0.3224,0.2815,0.7602,0.0516,0.1882,0.9329,0.7659,0.1971,0.0672,0.73740000000000006,0.0896,0.126,0.016,0.0113,0.0064,0.0022,0.005,0.0098,0.0012,0.0016,0.0012,0.005,0.0022,8e-4,0.0011,1e-4,0.0014,7e-4,0.0017,0.0011,0.0059,0.0029,0.0278,0.0038,0.0045,0,0,8e-4,1e-4,8e-4,0.0027,0.0014,7e-4,0,4e-4,4e-4,0.0044,0.0037,0.0076,3e-4,0.0438,0.0026,0.005,0.001,4e-4,2e-4,0.0041,2e-4,1e-4,2e-4,0.0013,8e-4,2e-4,1e-4,0,1e-4,0,2e-4,1e-4,0.0026,8e-4,0.0171,0.0013,0.001,0,0,5e-4,0,0,3e-4,2e-4,1e-4,0,0,1e-4,0.0028,0.001,0.0014,0,0.0011,0.0225,0.0305,0.015099999999999999,0.07780000000000001,0.031799999999999995,0.0841,0.09659999999999999,0.2277,0.22649999999999998,0.0999,0.0451,0.0412,0.2399,0.0832,0.2848,0.0369,0.029,0.0182,0.030399999999999996,0.0195,0.0297,0.16010000000000002,0.0225,0.0456
14,218135,216740,0.17102057765064133,0.8289794223493587,0.492,0.508,30.207142857142856,74945.64285714286,0.2362,0.7638,0.2511,0.7489,0.2527,0.34109999999999996,0.1512,0.0864,0.0753,0.09350000000000001,0.5806,0.1055,0.0766,0.0311,0.0014,0.0033,0.0583,5e-4,3e-4,4e-4,0.0023,0.1036,0.0206,0.0156,0.0955,0.5293,0.3492,0.1801,0.4707,0.2843,0.1863,0.5062,0.39690000000000003,0.03949999999999999,0.05740000000000001,0.17970000000000003,0.2087,0.1172,0.0377,0.3061,0.1508,0.755,0.041,0.204,0.9167000000000001,0.6578,0.3032,0.0833,0.4447,0.2307,0.2431,0.0077,7e-4,0.0069,0.0019,0.0041,0.172,6e-4,0.0011,5e-4,0.0063,0.0476,7e-4,0.0011,0,0,5e-4,0.0012,0.001,0.0032,0.0029,0.025,0.0034,0.0034,0,0,5e-4,1e-4,9e-4,0.0024,7e-4,6e-4,0,0,0.001,0.002,0.0112,7e-4,2e-4,0.0995,9e-4,1e-4,0.0022,5e-4,6e-4,0.0681,0,0,0,0.003,0.0273,0,4e-4,0,0,1e-4,1e-4,6e-4,0.0022,5e-4,0.0172,7e-4,8e-4,0,0,1e-4,0,2e-4,0.001,1e-4,1e-4,0,0,5e-4,8e-4,0.0026,4e-4,1e-4,5e-4,0.0315,0.0406,0.025500000000000002,0.09659999999999999,0.0315,0.0843,0.0869,0.2254,0.19340000000000002,0.1152,0.0423,0.0262,0.21760000000000002,0.06870000000000001,0.23470000000000002,0.023899999999999998,0.0359,0.016,0.0479,0.0266,0.031,0.20700000000000002,0.0346,0.0558
15,247702,243439,0.3582581262657175,0.6417418737342825,0.4894,0.5106,35.21363636363636,102742.56923076924,0.1127,0.8873,0.1533,0.8467,0.2389,0.25529999999999997,0.1758,0.1305,0.0934,0.10610000000000001,0.5024,0.1235,0.0636,0.0104,7e-4,0.0042,0.1448,0.001,0.0014,0,0.0073,0.0969,0.031,0.0129,0.101,0.6074,0.461,0.1464,0.3926,0.2628,0.1298,0.3982,0.5111,0.0358,0.0548,0.18030000000000002,0.1421,0.0801,0.0349,0.2823,0.2802,0.7854,0.0406,0.174,0.906,0.7143,0.2186,0.0939,0.5207,0.2464,0.2524,0.0115,0.0026,0.0086,0.0026,0.0053,0.0245,0.001,0.0022,0.0026,0.0105,0.009,9e-4,0.0023,0,0.0015,7e-4,0.002,0.0018,0.0134,0.0032,0.087,0.0044,0.0035,2e-4,0,0.001,1e-4,0.0014,0.0024,0.0023,6e-4,0,0,0.0011,0.0103,0.005,0.001,5e-4,0.1269,0.0017,8e-4,0.0019,6e-4,5e-4,0.0094,0,2e-4,4e-4,0.0066,0.0053,3e-4,0.0016,0,3e-4,4e-4,2e-4,6e-4,0.0077,0.0013,0.0678,0.0024,0.0015,2e-4,0,4e-4,0,5e-4,9e-4,7e-4,4e-4,0,0,6e-4,0.0031,8e-4,3e-4,1e-4,0.001,0.0395,0.039,0.018099999999999998,0.0774,0.029900000000000003,0.0797,0.0832,0.20500000000000002,0.2197,0.1259,0.052599999999999994,0.0292,0.22039999999999998,0.0723,0.259,0.041499999999999995,0.024100000000000003,0.0127,0.059300000000000005,0.0281,0.027200000000000002,0.1527,0.0395,0.0633
16,99108,97579,0.3120650959735189,0.687934904026481,0.4593,0.5407,34.028,53123.36,0.193,0.807,0.2723,0.7277,0.2091,0.30979999999999996,0.13590000000000002,0.12689999999999999,0.10900000000000001,0.1094,0.1276,0.0402,0.6573,0.0329,0.0023,0.0015,0.0331,3e-4,2e-4,0,0.0018,0.0627,0.0261,0.0142,0.059500000000000004,0.5547,0.2114,0.3433,0.4453,0.3135,0.1318,0.5815,0.2881,0.056799999999999996,0.0735,0.1579,0.2893,0.1451,0.0718,0.2147,0.1214,0.6958,0.0497,0.2544,0.8973,0.6210000000000001,0.3212,0.10269999999999999,0.8003,0.0784,0.1303,0.0108,0.014,5e-4,1e-4,0.001,9e-4,5e-4,4e-4,2e-4,0.0014,1e-4,0,5e-4,0,1e-4,1e-4,3e-4,0.002,0.0087,7e-4,0.0055,6e-4,0.0012,0,0,0,0,1e-4,0.0013,7e-4,1e-4,0,0,0,0.0061,1e-4,0.0109,4e-4,0.0532,0.0041,0.0044,2e-4,0,2e-4,4e-4,0,0,0,5e-4,0,0,0,0,0,0,0,5e-4,0.0058,2e-4,0.0027,0,3e-4,0,0,0,0,0,0,0,1e-4,0,0,0,0.0026,0,0.0032,0,0.0013000000000000002,0.0346,0.015199999999999998,0.0125,0.1026,0.0804,0.0529,0.0553,0.1497,0.2785,0.1109,0.0542,0.052099999999999994,0.1326,0.042,0.2007,0.0352,0.0662,0.0456,0.0538,0.0388,0.0434,0.2111,0.0445,0.0862
17,229595,225676,0.18314309009376273,0.8168569099062373,0.4586,0.5414,34.985454545454544,55309.218181818185,0.1537,0.8463,0.2415,0.7585,0.19590000000000002,0.3095,0.1391,0.11589999999999999,0.1094,0.13040000000000002,0.2114,0.0273,0.615,0.0291,6e-4,0.0011,0.0262,7e-4,0,1e-4,0.005,0.0522,0.023,0.0083,0.081,0.5393,0.2453,0.294,0.4607,0.3343,0.1264,0.5352,0.3335,0.048100000000000004,0.0832,0.1446,0.2764,0.16670000000000001,0.0588,0.2167,0.1368,0.7316,0.0495,0.2189,0.8884000000000001,0.631,0.29769999999999996,0.1116,0.7122,0.1187,0.1104,0.0147,0.0786,0.0021,5e-4,0.0011,0.0155,9e-4,5e-4,3e-4,0.0048,9e-4,4e-4,1e-4,3e-4,2e-4,0,9e-4,8e-4,0.0045,0.0021,0.0053,0.0015,0.002,0,0,1e-4,0,3e-4,0.0014,6e-4,1e-4,0,0,2e-4,0.0072,0.0182,0.0109,1e-4,0.0466,0.0054,0.0389,5e-4,1e-4,1e-4,0.0016,2e-4,1e-4,1e-4,0.0015,5e-4,3e-4,0,3e-4,1e-4,0,0,3e-4,0.0017,0.0011,0.0035,9e-4,0.0014,0,0,0,0,2e-4,7e-4,2e-4,0,0,0,1e-4,0.0042,0.0046,0.0035,0,1e-4,0.0378,0.0171,0.0127,0.08399999999999999,0.0644,0.049199999999999994,0.0702,0.1414,0.3243,0.0954,0.0639,0.0394,0.13440000000000002,0.046,0.1985,0.0466,0.08860000000000001,0.0351,0.0487,0.0456,0.0458,0.1899,0.0484,0.07250000000000001
18,169846,166748,0.500827596133087,0.499172403866913,0.4399,0.5601,39.81269841269841,67486.41269841269,0.0994,0.9006,0.1715,0.8285,0.218,0.22999999999999998,0.1276,0.1302,0.1402,0.15409999999999996,0.0345,0.0129,0.8586,0.0212,0.0015,2e-4,0.0199,9e-4,0,1e-4,0.0037,0.0326,0.0111,0.0028,0.0745,0.6978,0.3257,0.3721,0.3022,0.2701,0.0321,0.4572,0.3937,0.0591,0.09,0.1264,0.3345,0.1914,0.0857,0.174,0.088,0.7392,0.0431,0.2177,0.8980000000000001,0.6672,0.252,0.102,0.772,0.1014,0.0526,0.014,0.1209,0.0011,0,3e-4,3e-4,4e-4,0,2e-4,0.0014,3e-4,1e-4,2e-4,0,0,0,5e-4,0.0014,0.0014,0.0012,0.011,1e-4,5e-4,0,0,1e-4,0,1e-4,0,0.0033,0,0,3e-4,2e-4,0.0047,6e-4,0.0105,3e-4,0.0168,0.0059,0.0598,5e-4,0,1e-4,1e-4,0,0,0,9e-4,1e-4,0,2e-4,0,0,0,2e-4,4e-4,6e-4,2e-4,0.0076,0,3e-4,0,0,1e-4,0,0,0,0.001,0,0,0,1e-4,0.0026,2e-4,0.0036,1e-4,0.0011,0.0547,0.0175,0.0121,0.0837,0.10619999999999999,0.0201,0.0566,0.0844,0.39990000000000003,0.0607,0.048100000000000004,0.055099999999999996,0.0917,0.0259,0.1185,0.0866,0.1257,0.0505,0.0302,0.046,0.0428,0.1951,0.0824,0.10469999999999999
