GEO_ID,TotalPopulation,TotalHousingUnits,TotalHousingUnits_PercentOwned,TotalHousingUnits_PercentRented,Sex_Male,Sex_Female,MedianAge,MedianIncome,Poverty_BelowPovertyLevel,Poverty_AtOrAboveovertyLevel,SNAP_Recipient,SNAP_NotRecipient,Age_Under18,Age_18To34,Age_35To44,Age_45To54,Age_55To64,Age_Over65,Race_White_NotHispanic,Race_White_Hispanic,Race_Black_NotHispanic,Race_Black_Hispanic,Race_Amerind_NotHispanic,Race_Amerind_Hispanic,Race_Asian_NotHispanic,Race_Asian_Hispanic,Race_Pacific_NotHispanic,Race_Pacific_Hispanic,Race_Other_NotHispanic,Race_Other_Hispanic,Race_MoreThanOne_NotHispanic,Race_MoreThanOne_Hispanic,Occupancy_DoubledUp,HouseholdType_Family,HouseholdType_Family_Married,HouseholdType_Family_Other,HouseholdType_NonFamily,HouseholdType_NonFamily_LivingAlone,HouseholdType_NonFamily_NotLivingAlone,MaritalStatus_NeverMarried,MaritalStatus_NowMarried,MaritalStatus_Widowed,MaritalStatus_Divorced,Education_NoHighSchoolDiploma,Education_HighSchoolDiplomaOrGED,Education_SomeCollege,Education_Associates,Education_Bachelors,Education_AdvancedDegree,Employment_Employed,Employment_Unemployed,Employment_NotInLaborForce,HealthInsurance_Covered,HealthInsurance_Covered_Private,HealthInsurance_Covered_Public,HealthInsurance_NotCovered,Language_OnlyEnglish_Total,Language_LimitedEnglish_Total,Language_Spanish_Total,Language_French_Total,Language_FrenchCreole_Total,Language_Italian_Total,Language_Portuguese_Total,Language_German_Total,Language_Yiddish_Total,Language_OtherWestGermanic_Total,Language_Scandinavian_Total,Language_Greek_Total,Language_Russian_Total,Language_Polish_Total,Language_SerboCroatian_Total,Language_OtherSlavic_Total,Language_Armenian_Total,Language_Persian_Total,Language_Gujarati_Total,Language_Hindi_Total,Language_Urdu_Total,Language_OtherIndic_Total,Language_OtherIndoEuropean_Total,Language_Chinese_Total,Language_Japanese_Total,Language_Korean_Total,Language_Cambodian_Total,Language_Hmong_Total,Language_Thai_Total,Language_Laotian_Total,Language_Vietnamese_Total,Language_OtherAsian_Total,Language_Tagalog_Total,Language_OtherPacificIsland_Total,Language_Navajo_Total,Language_OtherNativeNorthAmerican_Total,Language_Hungarian_Total,Language_Arabic_Total,Language_Hebrew_Total,Language_AfricanLanguages_Total,Language_OtherAndUnspecifiedLanguages_Total,Language_Spanish_LimitedEnglish,Language_French_LimitedEnglish,Language_FrenchCreole_LimitedEnglish,Language_Italian_LimitedEnglish,Language_Portuguese_LimitedEnglish,Language_German_LimitedEnglish,Language_Yiddish_LimitedEnglish,Language_OtherWestGermanic_LimitedEnglish,Language_Scandinavian_LimitedEnglish,Language_Greek_LimitedEnglish,Language_Russian_LimitedEnglish,Language_Polish_LimitedEnglish,Language_SerboCroatian_LimitedEnglish,Language_OtherSlavic_LimitedEnglish,Language_Armenian_LimitedEnglish,Language_Persian_LimitedEnglish,Language_Gujarati_LimitedEnglish,Language_Hindi_LimitedEnglish,Language_Urdu_LimitedEnglish,Language_OtherIndic_LimitedEnglish,Language_OtherIndoEuropean_LimitedEnglish,Language_Chinese_LimitedEnglish,Language_Japanese_LimitedEnglish,Language_Korean_LimitedEnglish,Language_Cambodian_LimitedEnglish,Language_Hmong_LimitedEnglish,Language_Thai_LimitedEnglish,Language_Laotian_LimitedEnglish,Language_Vietnamese_LimitedEnglish,Language_OtherAsian_LimitedEnglish,Language_Tagalog_LimitedEnglish,Language_OtherPacificIsland_LimitedEnglish,Language_Navajo_LimitedEnglish,Language_OtherNativeNorthAmerican_LimitedEnglish,Language_Hungarian_LimitedEnglish,Language_Arabic_LimitedEnglish,Language_Hebrew_LimitedEnglish,Language_AfricanLanguages_LimitedEnglish,Language_OtherAndUnspecifiedLanguages_LimitedEnglish,Industry_AgricultureForestryFishingAndHuntingAndMining,Industry_Construction,Industry_Manufacturing,Industry_WholesaleTrade,Industry_RetailTrade,Industry_TransportationAndWarehousingAndUtilities,Industry_Information,Industry_FinanceAndInsuranceAndRealEstateAndRentalAndLeasing,Industry_ProfessionalScientificAndManagementAndAdministrativeAndWasteManagementServices,Industry_EducationalServicesAndHealthCareAndSocialAssistance,Industry_ArtsEntertainmentAndRecreationAndAccommodationAndFoodServices,Industry_OtherServicesExceptPublicAdministration,Industry_PublicAdministration,Occupation_ManagementBusinessAndFinancial,Occupation_ComputerEngineeringAndScience,Occupation_EducationLegalCommunityServiceArtsAndMedia,Occupation_HealthcarePractitionersAndTechnical,Occupation_HealthcareSupport,Occupation_ProtectiveService,Occupation_FoodPreparationAndServingRelated,Occupation_BuildingAndGroundsCleaningAndMaintenance,Occupation_PersonalCareAndService,Occupation_SalesAndOffice,Occupation_NaturalResourcesConstructionAndMaintenance,Occupation_ProductionTransportationAndMaterialMoving
1400000US36005000100,6864,0,NA,NA,0.9244,0.0756,35,NA,NA,NA,NA,NA,0.015,0.48400000000000004,0.26669999999999994,0.17079999999999998,0.0567,0.0069,0.0878,0.2375,0.5246,0.0325,0.0026,0,0.0264,0,0,0,0.0028,0.0708,0.0051,0.0099,0,NA,NA,NA,NA,NA,NA,0.8824,0.1049,0.0035,0.0092,0.5161,0.3581,0.09620000000000001,0.0149,0.0132,0.0017,NA,NA,NA,0,0,0,0,0.6999,0.2624,0.2709,9e-4,0.004,0.001,0.001,0,0,0,0,0,0.0034,0.0018,0,0,0,0,0,0,0.001,0.003,0.0022,0.004,0,0.0027,0,0,0,0,0,0,0,9e-4,0,0,0,0.001,0,0.0021,0,0.2334,9e-4,0.004,0.001,0.001,0,0,0,0,0,0.0034,0.0018,0,0,0,0,0,0,0.001,0.003,0.0022,0.004,0,0.0027,0,0,0,0,0,0,0,9e-4,0,0,0,0.001,0,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36005000200,4532,4527,0.519991164126353,0.480008835873647,0.4839,0.5161,39.3,51100,0.1506,0.8494,0.2414,0.7586,0.2501,0.1902,0.13419999999999999,0.12210000000000001,0.09799999999999999,0.20550000000000002,0.0073,0.4162,0.203,0.0995,0,0,0.0165,0,0,0,0.0132,0.2065,0,0.0377,0.1199,0.7176,0.3733,0.3443,0.2824,0.2049,0.0775,0.42369999999999997,0.3973,0.0712,0.1079,0.21249999999999997,0.2747,0.15999999999999998,0.0583,0.1682,0.1262,0.5929,0.096,0.3111,0.9036,0.5186999999999999,0.4701,0.0964,0.3027,0.3088,0.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198,0,0,0,0.0116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309,0,0.2998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067,0,0,0.0472,0.0685,0.0142,0.09309999999999999,0.1151,0.0271,0.0827,0.1099,0.2812,0.0369,0.0711,0.053000000000000005,0.1254,0.0537,0.1642,0.06659999999999999,0.064,0.0187,0.0213,0.053599999999999995,0.0272,0.16549999999999998,0.0549,0.1849
1400000US36005000400,5516,5503,0.8270034526621842,0.17299654733781575,0.5094,0.4906,41.2,78409,0.0892,0.9108,0.118,0.882,0.194,0.2392,0.11450000000000002,0.1756,0.1381,0.13849999999999998,0.0702,0.3715,0.2292,0.0749,0,0.0031,0.0219,0.0158,0,0,0.0016,0.1595,0.0134,0.039,0.0186,0.6807,0.3364,0.3443,0.3193,0.239,0.0803,0.4822,0.3797,0.0646,0.0736,0.1126,0.2318,0.2335,0.1376,0.1599,0.12450000000000001,0.7601,0.0467,0.1932,0.9231,0.8093,0.1563,0.0769,0.461,0.1429,0.5002,0.0186,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-4,0,0,0,0,0,0.0013,0,0,0,0,0,0,0,0.0168,0,0.133,0.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-4,0,0,0,0,0,0.0013,0,0,0,0,0,0,0,0.0032,0,0,0.0295,0.0319,0.011,0.08710000000000001,0.1084,0.0151,0.0833,0.1088,0.368,0.052099999999999994,0.0274,0.0775,0.1941,0.049699999999999994,0.13440000000000002,0.0679,0.050800000000000005,0.0923,0.012,0.0151,0.0106,0.2212,0.059,0.09290000000000001
1400000US36005001600,5825,5586,0.13659147869674185,0.8634085213032582,0.4158,0.5842,33.7,34093,0.2292,0.7708,0.3683,0.6317,0.2653,0.24029999999999999,0.096,0.1326,0.1109,0.15480000000000002,0.0366,0.2869,0.347,0.0889,0,0,0.011,0.0021,0,0,0.0086,0.1852,0.0043,0.0295,0.11410000000000001,0.6996,0.1887,0.5109,0.3004,0.2684,0.032,0.5550999999999999,0.2618,0.08779999999999999,0.0952,0.2515,0.2789,0.1843,0.1003,0.1319,0.0533,0.6509,0.0338,0.3152,0.9095,0.5914,0.4232,0.0907,0.3322,0.2745,0.5346,0.017,0.002,0,0,0,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0.2402,0.0112,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215,0,0,0.0229,0.0182,0.0126,0.1234,0.09670000000000001,0.037,0.0168,0.0986,0.4089,0.1042,0.0196,0.0411,0.0776,0.0051,0.17009999999999997,0.0313,0.0757,0.0775,0.0509,0.07569999999999999,0.07849999999999999,0.22240000000000001,0.0243,0.1108
1400000US36005001900,3141,2680,0.1451492537313433,0.8548507462686568,0.504,0.496,30.6,45156,0.2622,0.7378,0.316,0.684,0.28590000000000004,0.33490000000000003,0.1723,0.1174,0.06390000000000001,0.025400000000000002,0.1082,0.1098,0.2983,0.0592,0,0.0143,0.0229,0.0048,0,0,0.007,0.3079,0.0178,0.0497,0.09639999999999999,0.4949,0.2298,0.2651,0.5051,0.3911,0.114,0.5892999999999999,0.32399999999999995,0.0344,0.0523,0.2,0.26339999999999997,0.2066,0.0841,0.164,0.0821,0.6442,0.0792,0.2766,0.8092999999999999,0.4151,0.4383,0.1907,0.4112,0.25429999999999997,0.5013,0.0231,0.0093,0,8e-4,0.0055,0,0,0,0,8e-4,0,0,0,0,0,0,0.0055,0,0.0231,0,0.0051,0.0105,0,0,0,0,0,0.0017,0,0,0,0,0,0,0,0,0.0021,0,0.2201,0.0017,0.0072,0,8e-4,0,0,0,0,0,8e-4,0,0,0,0,0,0,0,0,0.0173,0,0,0.0051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,0,0.0532,0.0302,0.0187,0.1064,0.060399999999999995,0.0482,0.1057,0.1195,0.2561,0.09,0.049,0.0626,0.1007,0.0281,0.13169999999999998,0.0676,0.0568,0.0101,0.059000000000000004,0.0576,0.0237,0.21939999999999998,0.0734,0.172
1400000US36005002000,9040,9040,0.1452433628318584,0.8547566371681415,0.4566,0.5434,29.9,20592,0.432,0.568,0.5604,0.4396,0.2812,0.27040000000000003,0.10950000000000001,0.1059,0.12190000000000001,0.11090000000000001,0.0023,0.3483,0.3353,0.0827,0,0.0124,0,0,0,0,0,0.1691,0.0084,0.0414,0.0718,0.6161,0.152,0.4641,0.3839,0.3839,0,0.6254,0.2569,0.0433,0.0744,0.40669999999999995,0.357,0.1172,0.035,0.0648,0.019299999999999998,0.473,0.1025,0.4245,0.8585,0.3922,0.5926,0.1414,0.494,0.21869999999999998,0.4769,0.0041,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.003,0,0.0076,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0066,0,0.2017,0,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0033,0,0,0.0271,0.0371,0,0.057300000000000004,0.13829999999999998,0.008,0.08600000000000001,0.028999999999999998,0.435,0.1303,0.0122,0.0394,0.0138,0,0.050800000000000005,0.0489,0.1991,0.0076,0.049699999999999994,0.0764,0.0271,0.23700000000000002,0.052,0.2373
1400000US36005002300,4302,4297,0,1,0.4556,0.5444,35.8,18688,0.3377,0.6623,0.6499,0.3501,0.2004,0.28390000000000004,0.0983,0.1017,0.1567,0.1589,2e-4,0.1355,0.2771,0.0986,0.0037,0.0077,0,0,0,0,0.0056,0.4507,0.0016,0.0193,0.0841,0.5538,0.1755,0.3783,0.4462,0.441,0.0052,0.5909,0.2653,0.0596,0.0842,0.4016,0.3301,0.1158,0.0599,0.0574,0.0352,0.5092,0.0909,0.3999,0.9236,0.33630000000000004,0.642,0.07629999999999999,0.3802,0.3143,0.5816,0.0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259,0.0066,0.3063,0.0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057,0,0,0.07790000000000001,0.0159,0.0289,0.19790000000000002,0.0751,0.0216,0.0065,0.1025,0.3336,0.049,0.057800000000000004,0.0332,0.052000000000000005,0,0.1538,0.0195,0.16749999999999998,0.0765,0.06709999999999999,0.0679,0.0108,0.2361,0.0635,0.0852
1400000US36005002400,155,155,0,1,0.7871,0.2129,27.9,NA,0,1,0,1,0.2065,0.7936,0,0,0,0,0.4194,0,0.5806,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.7317,0,0.2683,0,0,0,0.2683,0,0.3089,0.4228,1,0,0,0.6911,0.4228,0.2683,0.3089,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3089,0,0.4228,0.2683,0,0,0,0.3089,0.4228,0,0,0,0.2683,0,0,0,0,0
1400000US36005002500,5610,5552,0.030079250720461095,0.9699207492795389,0.5442,0.4558,33.1,23115,0.3602,0.6398,0.5068,0.4932,0.2616,0.26599999999999996,0.15419999999999998,0.1114,0.1296,0.07719999999999998,0.0392,0.1569,0.2415,0.0635,0,0.0034,0.0011,0,0,0.0043,0.0077,0.4508,0,0.0317,0.22359999999999997,0.6586,0.2099,0.4487,0.3414,0.3151,0.0263,0.5668,0.32899999999999996,0.0269,0.07719999999999999,0.4316999999999999,0.32099999999999995,0.1403,0.0354,0.0457,0.0261,0.5998,0.0601,0.3401,0.7525999999999999,0.338,0.442,0.24739999999999998,0.3081,0.39499999999999996,0.6511,0,0,0,0.0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169,0,0,0,0,0,0,0,0.0082,0.0014,0,0,0,0,0,0,0.0079,0.0018,0.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169,0,0,0,0,0,0,0,0.0082,0,0,0,0,0,0,0,0.0059,0,0.0052,0.0572,0.0161,0.0044,0.1179,0.0865,0.0035,0.034100000000000005,0.0664,0.241,0.3218,0.0371,0.0088,0.0585,0.0079,0.12009999999999998,0,0.031,0.0305,0.16460000000000002,0.1266,0.0493,0.15940000000000001,0.0655,0.1865
1400000US36005002701,2608,2608,0,1,0.4463,0.5537,29,18832,0.4797,0.5203,0.5791,0.4209,0.3593,0.2098,0.11930000000000002,0.1054,0.09509999999999999,0.1112,0,0.1131,0.2465,0.084,0,0,0,0,0,0,0,0.5456,0,0.0107,0.1179,0.5896,0.1314,0.4583,0.4104,0.3998,0.0105,0.49970000000000003,0.28159999999999996,0.1079,0.11080000000000001,0.3738,0.2797,0.1419,0.0873,0.0859,0.0314,0.6044,0.0835,0.3121,0.8483,0.326,0.5633,0.1516,0.3059,0.3696,0.5843,0.0453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482,0.0163,0.3331,0.0188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0.0163,0,0.0166,0.0213,0,0.0912,0.096,0.0569,0.0806,0.0474,0.3969,0.1031,0.0545,0.0355,0.0344,0.0841,0.0498,0.0047,0.09,0.0225,0.0829,0.10189999999999999,0.09,0.2631,0.0687,0.10780000000000001
