RESP_DATE,GEO_ID,CRRALL,CRRINT,DRRALL,DRRINT
3/20/2020,23,10.3,7,1.5,1
3/20/2020,24,10.2,9.4,1.3,1.1
3/20/2020,25,12.7,12.1,1.5,1.4
3/20/2020,26,15.2,12.6,1.8,1.5
3/20/2020,27,12.4,11.7,1.6,1.5
3/20/2020,28,13.6,12.9,1.6,1.5
3/20/2020,29,6.3,4.9,1.1,0.7
3/20/2020,30,10.7,9.7,1.2,1
3/20/2020,31,6.1,4.9,0.9,0.6
3/20/2020,32,6.2,5.2,0.9,0.8
3/20/2020,33,8.6,7.2,1.2,0.9
3/20/2020,34,10.1,9.4,1.4,1.3
3/20/2020,35,6.8,6.4,1.2,1.1
3/20/2020,36,12.2,12,1.3,1.3
3/20/2020,37,10,9.2,1.2,1.1
3/20/2020,38,8.3,7.7,1,0.9
3/20/2020,39,8.6,7.5,1.4,1.1
3/20/2020,40,9.9,9.5,1.4,1.3
3/20/2020,41,10.4,9,1.8,1.5
3/20/2020,42,9,8.5,1.3,1.2
3/20/2020,43,8,7.1,1.2,1.1
3/20/2020,44,11.1,10,1.9,1.7
3/20/2020,45,11,9,1.9,1.4
3/20/2020,46,11.9,9.2,1.8,1.4
3/20/2020,47,9.8,8.9,1.7,1.4
3/20/2020,48,10,6.6,1.6,1
3/20/2020,49,8.4,8.1,1.4,1.3
3/20/2020,50,8,6.8,1.6,1.3
3/20/2020,51,8.3,7.8,1.4,1.2
3/20/2020,52,13.3,13.2,2.2,2.2
3/20/2020,53,7.4,6.8,1.1,1
3/20/2020,54,4.7,4.1,1,0.9
3/20/2020,55,4.9,3.7,0.9,0.7
3/20/2020,56,6.1,5.4,1.2,1.1
3/20/2020,57,10.9,10.5,1.7,1.7
3/20/2020,58,5.1,3.8,0.8,0.6
3/20/2020,59,7.9,6.5,1.6,1.3
3/20/2020,60,6.2,3.8,1,0.7
3/20/2020,61,9.2,8.3,1.7,1.6
3/20/2020,62,7.9,7.7,3.8,3.7
3/20/2020,63,11.3,11,3.3,3.2
3/20/2020,64,12.3,10.9,2.7,2.5
3/20/2020,65,13.8,13.1,1.5,1.3
3/20/2020,66,14.7,14.6,1.3,1.3
3/20/2020,67,14.6,14.5,1.5,1.5
3/20/2020,68,10.7,8.4,1.7,1.2
3/20/2020,69,16.3,16,1.7,1.6
3/20/2020,70,11.9,11,1.4,1.3
3/20/2020,71,13.9,13.1,1.6,1.5
3/20/2020,72,13.5,12.6,1.5,1.4
3/20/2020,73,10.6,10.5,1.9,1.8
3/20/2020,74,15.8,15.2,1.7,1.6
3/20/2020,75,14.6,14.4,1.3,1.3
3/20/2020,76,12.7,12.5,1.9,1.8
3/20/2020,77,8.1,5.5,1.2,0.8
3/20/2020,78,9.7,7,1.6,1
3/20/2020,79,8.3,4.9,1.8,0.9
3/20/2020,80,10,8,1.4,1.2
3/20/2020,81,13.2,11.6,1.6,1.4
3/20/2020,82,12.2,8,1.3,1.1
3/20/2020,83,6,4.2,0.7,0.6
3/20/2020,84,7.9,4.9,1.3,0.9
3/20/2020,85,7.7,4.5,1.3,0.9
3/20/2020,86,7.9,5.4,1.3,0.9
3/20/2020,87,9.2,6.2,1.6,1
3/21/2020,23,11.9,7.8,1.6,0.9
3/21/2020,24,11.4,10.4,1.2,1
3/21/2020,25,14.3,13.4,1.5,1.4
3/21/2020,26,17.1,14.2,1.9,1.6
3/21/2020,27,13.7,12.9,1.4,1.3
3/21/2020,28,15.2,14.4,1.6,1.5
3/21/2020,29,7.5,5.6,1.1,0.7
3/21/2020,30,12,10.8,1.3,1.2
3/21/2020,31,7.1,5.5,1,0.6
3/21/2020,32,7.3,6,1,0.7
3/21/2020,33,10,8.1,1.4,0.9
3/21/2020,34,11.3,10.6,1.3,1.1
3/21/2020,35,7.9,7.4,1.1,1
3/21/2020,36,13.4,13.2,1.2,1.2
3/21/2020,37,11.2,10.3,1.2,1.1
3/21/2020,38,9.2,8.5,0.9,0.8
3/21/2020,39,9.7,8.3,1.1,0.8
3/21/2020,40,11.5,11,1.5,1.4
3/21/2020,41,11.8,10.3,1.4,1.3
3/21/2020,42,10.1,9.5,1.1,0.9
3/21/2020,43,9.2,8.1,1.2,1
3/21/2020,44,12.9,11.7,1.8,1.7
3/21/2020,45,12.1,9.9,1.1,0.9
3/21/2020,46,13.3,10.4,1.4,1.2
3/21/2020,47,11.1,10.1,1.3,1.2
3/21/2020,48,10.9,7.2,0.9,0.6
3/21/2020,49,9.6,9.2,1.2,1.1
3/21/2020,50,9.1,7.9,1.2,1.1
3/21/2020,51,9.6,8.9,1.3,1.2
3/21/2020,52,15,15,1.8,1.8
3/21/2020,53,8.7,8,1.3,1.2
3/21/2020,54,5.8,5.1,1.1,0.9
3/21/2020,55,6.3,4.5,1.4,0.8
3/21/2020,56,7.3,6.4,1.2,1
3/21/2020,57,12.4,11.9,1.5,1.4
3/21/2020,58,6.2,4.5,1.2,0.6
3/21/2020,59,9.3,7.7,1.4,1.2
3/21/2020,60,7.9,4.6,1.7,0.8
3/21/2020,61,10.8,9.6,1.6,1.4
3/21/2020,62,11.2,11,3.3,3.2
3/21/2020,63,13.9,13.5,2.6,2.5
3/21/2020,64,14.5,12.9,2.2,2
3/21/2020,65,14.9,14.1,1.1,1.1
3/21/2020,66,15.6,15.5,0.9,0.9
3/21/2020,67,16,15.8,1.3,1.3
3/21/2020,68,12.2,9.5,1.6,1.2
