RESP_DATE,GEO_ID,CRRALL,CRRINT,DRRALL,DRRINT
3/20/2020,Bronx,9.2,6.5,1.4,1
3/21/2020,Bronx,10.8,7.4,1.6,0.9
3/22/2020,Bronx,13.1,8.3,2.3,0.9
3/23/2020,Bronx,14.6,9.6,1.5,1.3
3/24/2020,Bronx,16.3,11.4,1.7,1.8
3/25/2020,Bronx,18.1,12.6,1.8,1.2
3/26/2020,Bronx,19.3,13.7,1.2,1.1
3/27/2020,Bronx,21.7,14.7,2.4,1
3/28/2020,Bronx,22.6,15.6,0.9,0.9
3/29/2020,Bronx,23.4,16.4,0.8,0.8
3/30/2020,Bronx,24.6,17.2,1.2,0.8
3/31/2020,Bronx,25.9,18.3,1.3,1.1
4/1/2020,Bronx,28,20.1,2.1,1.8
4/2/2020,Bronx,31.4,22.8,3.4,2.7
4/3/2020,Bronx,32.7,23.9,1.3,1.1
4/4/2020,Bronx,34.1,24.5,1.4,0.6
4/5/2020,Bronx,34.6,25,0.5,0.5
4/6/2020,Bronx,35.2,25.4,0.6,0.4
4/7/2020,Bronx,35.8,26,0.6,0.6
4/8/2020,Bronx,36.3,26.4,0.5,0.4
4/9/2020,Bronx,37.2,26.8,0.9,0.4
4/10/2020,Bronx,37.7,27.2,0.5,0.4
4/11/2020,Bronx,38.2,27.5,0.5,0.3
4/12/2020,Bronx,38.7,27.7,0.5,0.2
4/13/2020,Bronx,38.9,27.9,0.2,0.2
4/14/2020,Bronx,39.3,28.2,0.4,0.3
4/15/2020,Bronx,39.6,28.5,0.3,0.3
4/16/2020,Bronx,40,28.7,0.4,0.2
4/17/2020,Bronx,40.4,29.1,0.4,0.4
4/18/2020,Bronx,41,29.3,0.6,0.2
4/19/2020,Bronx,41.2,29.4,0.2,0.1
4/20/2020,Bronx,41.5,29.6,0.3,0.2
4/21/2020,Bronx,41.9,29.8,0.4,0.2
4/22/2020,Bronx,42.4,30,0.5,0.2
4/23/2020,Bronx,42.6,30.2,0.2,0.2
4/24/2020,Bronx,43.1,30.4,0.5,0.2
4/25/2020,Bronx,43.4,30.6,0.3,0.2
4/26/2020,Bronx,43.6,30.7,0.2,0.1
4/27/2020,Bronx,43.8,30.8,0.2,0.1
4/28/2020,Bronx,43.9,30.9,0.1,0.1
4/29/2020,Bronx,44.2,31.1,0.3,0.2
4/30/2020,Bronx,44.4,31.2,0.2,0.1
5/1/2020,Bronx,45,31.4,0.6,0.2
5/2/2020,Bronx,45.2,31.5,0.2,0.1
5/3/2020,Bronx,45.4,31.6,0.2,0.1
5/4/2020,Bronx,45.6,31.8,0.2,0.2
5/5/2020,Bronx,45.8,32,0.2,0.2
5/6/2020,Bronx,46.2,32.2,0.4,0.2
5/7/2020,Bronx,46.6,32.4,0.4,0.2
5/8/2020,Bronx,47.1,32.6,0.5,0.2
5/9/2020,Bronx,47.5,32.8,0.4,0.2
5/10/2020,Bronx,47.8,33,0.3,0.2
5/11/2020,Bronx,48,33.1,0.2,0.1
5/12/2020,Bronx,48.4,33.3,0.4,0.2
5/13/2020,Bronx,48.9,33.5,0.5,0.2
5/14/2020,Bronx,49.3,33.6,0.4,0.1
5/15/2020,Bronx,49.6,33.8,0.3,0.2
5/16/2020,Bronx,49.9,33.9,0.3,0.1
5/17/2020,Bronx,50.1,34,0.2,0.1
5/18/2020,Bronx,50.2,34.1,0.1,0.1
5/19/2020,Bronx,50.4,34.2,0.2,0.1
5/20/2020,Bronx,50.5,34.3,0.1,0.1
5/21/2020,Bronx,50.8,34.4,0.3,0.1
5/22/2020,Bronx,51.1,34.5,0.3,0.1
5/23/2020,Bronx,51.2,34.6,0.1,0.1
5/24/2020,Bronx,51.3,34.7,0.1,0.1
5/25/2020,Bronx,51.4,34.7,0.1,0
5/26/2020,Bronx,51.5,34.8,0.1,0.1
5/27/2020,Bronx,51.6,34.8,0.1,0
5/28/2020,Bronx,51.8,34.9,0.2,0.1
5/29/2020,Bronx,52,35,0.2,0.1
5/30/2020,Bronx,52.2,35.1,0.2,0.1
5/31/2020,Bronx,52.3,35.1,0.1,0
6/1/2020,Bronx,52.3,35.2,0,0.1
6/2/2020,Bronx,52.4,35.2,0.1,0
6/3/2020,Bronx,52.6,35.3,0.2,0.1
6/4/2020,Bronx,52.7,35.3,0.1,0
6/5/2020,Bronx,52.8,35.4,0.1,0.1
6/8/2020,Bronx,53,35.5,0.2,0.1
6/9/2020,Bronx,53.1,35.6,0.1,0.1
