RESP_DATE,GEO_ID,CRRALL,CRRINT,DRRALL,DRRINT
3/20/2020,BK01,8.3,7.2,1.5,1.3
3/20/2020,BK02,13.2,12.8,2,1.9
3/20/2020,BK03,6.4,5.8,1.3,1.2
3/20/2020,BK04,4.9,4.7,0.9,0.8
3/20/2020,BK05,5.7,3.9,1,0.8
3/20/2020,BK06,10.6,10.4,2,1.9
3/20/2020,BK07,8.8,8.6,1.4,1.3
3/20/2020,BK08,7.9,7.4,1.4,1.3
3/20/2020,BK09,9.5,8.5,1.2,1
3/20/2020,BK10,11.7,11.2,1.8,1.6
3/20/2020,BK11,9.9,9.3,1.6,1.5
3/20/2020,BK12,9.6,6.6,1.5,0.9
3/20/2020,BK13,11.3,7,2,1.2
3/20/2020,BK14,10.6,9.7,1.6,1.4
3/20/2020,BK15,11,9.9,1.9,1.6
3/20/2020,BK16,5.3,3.6,0.8,0.6
3/20/2020,BK17,4.9,3.7,0.9,0.7
3/20/2020,BK18,7.7,6.2,1.4,1.1
3/20/2020,BX01,7.8,4.7,1.4,0.9
3/20/2020,BX02,8.1,4.5,1.5,0.8
3/20/2020,BX03,8.2,4.7,2,0.9
3/20/2020,BX04,8.5,5.7,1.2,0.8
3/20/2020,BX05,7.8,5.5,1.3,0.9
3/20/2020,BX06,8.1,4.8,1.6,0.8
3/20/2020,BX07,10.3,7.7,1.4,1
3/20/2020,BX08,14.1,13,1.8,1.6
3/20/2020,BX09,8.8,5.8,1.5,1
3/20/2020,BX10,12,7.6,1.3,1
3/20/2020,BX11,9.5,7.6,1.3,1.1
3/20/2020,BX12,6.5,4.8,0.8,0.7
3/20/2020,MN01,13.7,13.6,1.2,1.2
3/20/2020,MN02,14.8,14.7,1.3,1.3
3/20/2020,MN03,13.9,12.7,1.5,1.3
3/20/2020,MN04,15.3,15.1,1.4,1.4
3/20/2020,MN05,12.6,12.5,1.1,1.1
3/20/2020,MN06,15.7,15.6,1.7,1.7
3/20/2020,MN07,15.6,15.4,1.6,1.6
3/20/2020,MN08,11.4,11.3,1.9,1.9
3/20/2020,MN09,13.1,12.6,1.4,1.3
3/20/2020,MN10,11,9.9,1.4,1.2
3/20/2020,MN11,10.5,7.7,1.6,1.1
3/20/2020,MN12,14.5,13.8,1.6,1.5
3/20/2020,QN01,11.3,10.7,1.3,1.2
3/20/2020,QN02,10.8,10.5,1.2,1.2
3/20/2020,QN03,9.5,8.9,1.4,1.3
3/20/2020,QN04,7.2,6.3,1.3,1
3/20/2020,QN05,9.6,8.6,1.1,0.9
3/20/2020,QN06,14.7,14.1,1.8,1.7
3/20/2020,QN07,11.3,10.1,1.5,1.3
3/20/2020,QN08,12.5,11.4,1.6,1.3
3/20/2020,QN09,8.7,7.8,1.1,0.9
3/20/2020,QN10,9.1,6.3,1.2,0.7
3/20/2020,QN11,13.9,13.2,1.6,1.5
3/20/2020,QN12,6.1,5.1,1,0.8
3/20/2020,QN13,9.5,7.7,1.2,1
3/20/2020,QN14,8.6,6.2,1.4,1.1
3/20/2020,SI01,10.1,9.2,2,1.9
3/20/2020,SI02,12.1,11.2,3,2.8
3/20/2020,SI03,8.5,8,4,3.8
3/21/2020,BK01,9.5,8.3,1.3,1.2
3/21/2020,BK02,14.8,14.3,1.6,1.5
3/21/2020,BK03,7.5,6.8,1.2,1.1
3/21/2020,BK04,6,5.8,1.1,1
3/21/2020,BK05,7.1,4.7,1.4,0.8
3/21/2020,BK06,12.6,12.3,2,1.9
3/21/2020,BK07,10.3,10,1.5,1.5
3/21/2020,BK08,9.3,8.5,1.4,1.1
3/21/2020,BK09,10.7,9.5,1.1,0.9
3/21/2020,BK10,13.1,12.5,1.4,1.3
3/21/2020,BK11,11.2,10.5,1.3,1.2
3/21/2020,BK12,10.4,7.3,0.9,0.7
3/21/2020,BK13,12.6,7.8,1.2,0.9
3/21/2020,BK14,11.9,10.8,1.3,1.1
3/21/2020,BK15,12.3,11.2,1.4,1.3
3/21/2020,BK16,6.8,4.4,1.5,0.8
3/21/2020,BK17,6.1,4.5,1.2,0.7
3/21/2020,BK18,9,7.2,1.3,1
3/21/2020,BX01,9.6,5.4,1.9,0.8
3/21/2020,BX02,9.8,5.2,1.8,0.8
3/21/2020,BX03,9.6,5.6,1.5,0.9
3/21/2020,BX04,10.2,6.5,1.7,0.8
3/21/2020,BX05,9.4,6.4,1.7,0.9
3/21/2020,BX06,9.3,5.5,1.4,0.7
3/21/2020,BX07,11.8,8.5,1.7,0.9
3/21/2020,BX08,15.8,14.5,1.8,1.5
3/21/2020,BX09,10.3,6.6,1.6,0.8
3/21/2020,BX10,14,8.5,2,0.9
3/21/2020,BX11,11,8.5,1.6,1
3/21/2020,BX12,7.8,5.4,1.3,0.7
3/21/2020,MN01,14.6,14.5,0.9,0.9
3/21/2020,MN02,15.7,15.6,0.9,0.9
3/21/2020,MN03,15,13.8,1.2,1
3/21/2020,MN04,16.4,16.3,1.1,1.1
3/21/2020,MN05,13.4,13.3,0.8,0.8
3/21/2020,MN06,17,16.8,1.3,1.3
3/21/2020,MN07,17,16.8,1.4,1.4
3/21/2020,MN08,13.4,13.2,2,1.9
3/21/2020,MN09,14.4,13.8,1.3,1.2
3/21/2020,MN10,12.2,11,1.2,1.1
3/21/2020,MN11,12,8.8,1.7,1.1
3/21/2020,MN12,15.9,15.1,1.4,1.3
3/21/2020,QN01,12.6,11.9,1.3,1.2
3/21/2020,QN02,12.1,11.7,1.3,1.3
3/21/2020,QN03,10.7,10,1.2,1
3/21/2020,QN04,8.3,7.2,1.1,0.9
3/21/2020,QN05,10.5,9.5,1,0.9
3/21/2020,QN06,16.3,15.7,1.6,1.6
3/21/2020,QN07,12.7,11.4,1.5,1.3
3/21/2020,QN08,13.8,12.5,1.3,1.1
3/21/2020,QN09,9.8,8.7,1.1,0.9
3/21/2020,QN10,10.3,6.9,1.3,0.6
3/21/2020,QN11,15.8,15.1,2,1.9
3/21/2020,QN12,7.2,5.8,1.1,0.8
3/21/2020,QN13,10.9,8.6,1.4,1
3/21/2020,QN14,10,7.1,1.4,0.9
