RESP_DATE,GEO_ID,CRRALL,CRRINT,DRRALL,DRRINT
3/20/2020,10,13.7,13.1,1.5,1.4
3/20/2020,11,10.4,9.6,2.4,2.3
3/20/2020,12,12.3,12,1.6,1.5
3/20/2020,13,11.9,10.3,1.5,1.3
3/20/2020,14,10.1,8.6,1.4,1.2
3/20/2020,15,8,5,1.4,0.9
3/20/2020,16,10.2,7.9,1.2,1.1
3/20/2020,3,14,12.7,1.6,1.4
3/20/2020,5,7,5.5,1.1,0.8
3/20/2020,6,12.1,11.2,1.5,1.3
3/20/2020,7,9.2,8.5,1.4,1.2
3/20/2020,8,8.2,6.4,1.4,1.1
3/20/2020,9,9,8.1,1.5,1.3
3/21/2020,10,14.9,14.2,1.2,1.1
3/21/2020,11,12.4,11.5,2,1.9
3/21/2020,12,13.7,13.4,1.4,1.4
3/21/2020,13,13.2,11.5,1.5,1.1
3/21/2020,14,11.4,9.7,1.4,1
3/21/2020,15,9.6,5.8,1.7,0.8
3/21/2020,16,11.8,8.9,1.7,1
3/21/2020,3,16.1,14.5,2.1,1.8
3/21/2020,5,8.2,6.2,1.2,0.7
3/21/2020,6,13.5,12.4,1.4,1.3
3/21/2020,7,10.4,9.6,1.2,1.1
3/21/2020,8,9.6,7.4,1.4,1
3/21/2020,9,10.4,9.2,1.5,1.2
3/22/2020,10,16.2,15.4,1.4,1.2
3/22/2020,11,14.3,13,1.9,1.6
3/22/2020,12,15.2,14.7,1.4,1.4
3/22/2020,13,14.9,12.6,1.7,1.2
3/22/2020,14,13.1,10.8,1.7,1.1
3/22/2020,15,12.2,6.7,2.8,0.9
3/22/2020,16,14,10,2.3,1.1
3/22/2020,3,18.1,16.2,2,1.7
3/22/2020,5,10,7.1,1.9,0.9
3/22/2020,6,15.2,13.8,1.7,1.4
3/22/2020,7,11.9,10.7,1.5,1.1
3/22/2020,8,11.6,8.6,2.1,1.1
3/22/2020,9,12.4,10.6,2,1.4
3/23/2020,10,17.6,16.7,1.3,1.3
3/23/2020,11,16,14.7,1.7,1.7
3/23/2020,12,16.5,16.1,1.4,1.4
3/23/2020,13,16.4,14,1.5,1.4
3/23/2020,14,14.4,11.9,1.3,1.2
3/23/2020,15,13.8,8,1.6,1.3
3/23/2020,16,15.6,11.5,1.6,1.5
3/23/2020,3,19.7,17.7,1.6,1.5
3/23/2020,5,11.2,8.2,1.2,1.1
3/23/2020,6,16.6,15.2,1.4,1.4
3/23/2020,7,13.2,12,1.3,1.3
3/23/2020,8,13.1,10,1.5,1.4
3/23/2020,9,14,12.1,1.6,1.5
3/24/2020,10,19.1,18.2,1.5,1.5
3/24/2020,11,18.1,16.8,2.1,2.1
3/24/2020,12,18.3,17.9,1.7,1.7
3/24/2020,13,18.2,15.9,1.9,1.8
3/24/2020,14,15.9,13.5,1.6,1.6
3/24/2020,15,15.6,9.7,1.8,1.8
3/24/2020,16,17.3,13.2,1.7,1.7
3/24/2020,3,21.4,19.4,1.7,1.7
3/24/2020,5,12.5,9.5,1.3,1.3
3/24/2020,6,18.1,16.6,1.5,1.5
3/24/2020,7,14.9,13.6,1.7,1.6
3/24/2020,8,14.8,11.7,1.7,1.7
3/24/2020,9,15.8,13.9,1.8,1.8
3/25/2020,10,20.5,19.5,1.4,1.3
3/25/2020,11,20,18.6,2,1.8
3/25/2020,12,19.9,19.4,1.6,1.5
3/25/2020,13,20,17.3,1.7,1.4
3/25/2020,14,17.5,14.8,1.6,1.3
3/25/2020,15,17.4,10.9,1.9,1.2
3/25/2020,16,19.1,14.5,1.8,1.3
3/25/2020,3,23.5,21.3,2.1,1.9
3/25/2020,5,14.1,10.6,1.6,1.1
3/25/2020,6,19.7,18.1,1.7,1.5
3/25/2020,7,16.4,14.9,1.5,1.3
3/25/2020,8,16.6,13,1.8,1.3
3/25/2020,9,17.6,15.4,1.8,1.5
3/26/2020,10,21.6,20.6,1.2,1.1
3/26/2020,11,21.5,20.1,1.5,1.5
3/26/2020,12,21.2,20.7,1.3,1.3
3/26/2020,13,21.3,18.5,1.4,1.2
3/26/2020,14,18.7,15.8,1.2,1.1
3/26/2020,15,18.7,12,1.5,1.1
3/26/2020,16,20.2,15.5,1.3,1.1
3/26/2020,3,24.9,22.7,1.4,1.3
3/26/2020,5,15.1,11.6,1.2,0.9
3/26/2020,6,21,19.3,1.3,1.2
3/26/2020,7,17.6,16,1.2,1.2
3/26/2020,8,17.7,14.1,1.3,1.1
3/26/2020,9,19,16.7,1.4,1.3
3/27/2020,10,22.7,21.6,1.1,1
3/27/2020,11,22.9,21.2,1.4,1.2
3/27/2020,12,22.3,21.8,1.1,1.1
3/27/2020,13,23.1,19.9,1.9,1.3
3/27/2020,14,20.2,16.8,1.5,1
3/27/2020,15,21.4,13,2.7,1
3/27/2020,16,22.2,16.5,2,1
3/27/2020,3,26.3,23.8,1.4,1.1
3/27/2020,5,16.8,12.3,1.7,0.8
3/27/2020,6,22.4,20.4,1.3,1
3/27/2020,7,18.9,17.1,1.3,1
3/27/2020,8,19.5,15,1.8,1
3/27/2020,9,20.7,17.9,1.7,1.1
3/28/2020,10,23.7,22.5,0.9,0.9
3/28/2020,11,24.2,22.4,1.3,1.2
3/28/2020,12,23.3,22.7,1,1
3/28/2020,13,24.3,21,1.2,1.1
3/28/2020,14,21.2,17.8,1.2,1
3/28/2020,15,22.2,13.8,1.1,0.7
3/28/2020,16,23.2,17.5,1.3,1
3/28/2020,3,27.4,24.9,1.2,1.1
3/28/2020,5,17.8,13.2,1.2,0.9
3/28/2020,6,23.5,21.5,1.2,1.1
3/28/2020,7,19.8,18,1,0.9
3/28/2020,8,20.4,15.9,1.1,0.9
3/28/2020,9,21.7,18.8,1.1,1
3/29/2020,10,24.8,23.6,1.2,1.2
3/29/2020,11,25.6,23.8,1.5,1.4
3/29/2020,12,24.6,24,1.3,1.3
3/29/2020,13,25.3,22,1.1,1.1
3/29/2020,14,22.3,18.9,1.1,1.1
3/29/2020,15,22.8,14.4,0.6,0.6
3/29/2020,16,24.2,18.5,1.1,1
3/29/2020,3,29.3,26.8,1.9,1.8
3/29/2020,5,18.7,14.2,1,1
3/29/2020,6,24.9,22.9,1.4,1.4
3/29/2020,7,20.9,19,1.1,1.1
3/29/2020,8,21.4,16.9,1,1
3/29/2020,9,22.8,20,1.1,1.1
3/30/2020,10,26.2,24.9,1.3,1.3
3/30/2020,11,27.1,25.2,1.5,1.3
3/30/2020,12,25.9,25.3,1.4,1.3
3/30/2020,13,26.6,23.1,1.3,1
3/30/2020,14,23.5,19.9,1.2,1
3/30/2020,15,24,14.9,1.2,0.6
3/30/2020,16,25.7,19.5,1.5,1
3/30/2020,3,31,28.4,1.7,1.6
3/30/2020,5,20,15.1,1.3,0.9
3/30/2020,6,26.4,24.2,1.5,1.3
3/30/2020,7,22.1,20.1,1.2,1.1
3/30/2020,8,22.7,17.9,1.3,0.9
3/30/2020,9,24.3,21.2,1.5,1.2
3/31/2020,10,27.4,26.2,1.3,1.3
3/31/2020,11,28.4,26.5,1.4,1.3
3/31/2020,12,27.3,26.7,1.4,1.4
3/31/2020,13,28.1,24.5,1.5,1.4
3/31/2020,14,25,21.2,1.4,1.4
3/31/2020,15,25.1,16,1.2,1.1
3/31/2020,16,27.1,20.9,1.4,1.4
3/31/2020,3,32.8,30.1,1.8,1.8
3/31/2020,5,21.2,16.2,1.2,1.1
3/31/2020,6,27.9,25.7,1.5,1.4
3/31/2020,7,23.4,21.4,1.3,1.3
3/31/2020,8,23.9,19.1,1.3,1.2
3/31/2020,9,25.7,22.5,1.4,1.3
4/1/2020,10,29,27.7,1.6,1.5
4/1/2020,11,30.4,28.4,2,1.9
4/1/2020,12,29.1,28.4,1.8,1.7
4/1/2020,13,30.3,26.5,2.3,2
4/1/2020,14,27,23.1,2,1.8
4/1/2020,15,27.3,17.7,2.2,1.7
4/1/2020,16,29.2,22.5,2.1,1.6
4/1/2020,3,35,32.2,2.2,2.1
4/1/2020,5,23.1,17.7,1.9,1.4
4/1/2020,6,29.8,27.5,2,1.8
4/1/2020,7,25.2,23.1,1.8,1.7
4/1/2020,8,25.8,20.7,1.9,1.6
4/1/2020,9,27.7,24.3,2,1.8
4/2/2020,10,31.9,30.5,2.9,2.8
4/2/2020,11,33.2,31,2.7,2.6
4/2/2020,12,32.4,31.6,3.3,3.2
4/2/2020,13,34.2,30,3.9,3.5
4/2/2020,14,30,25.8,3.1,2.7
4/2/2020,15,30.9,20.4,3.7,2.7
4/2/2020,16,32.3,25.1,3.2,2.6
4/2/2020,3,37.7,34.9,2.8,2.6
4/2/2020,5,25.9,19.9,2.8,2.2
4/2/2020,6,32.8,30.3,2.9,2.7
4/2/2020,7,28.7,26.4,3.5,3.3
4/2/2020,8,29,23.4,3.2,2.7
4/2/2020,9,31.3,27.5,3.6,3.3
4/3/2020,10,33,31.6,1.1,1.1
4/3/2020,11,34.4,32.2,1.2,1.2
4/3/2020,12,33.6,32.8,1.2,1.2
4/3/2020,13,35.6,31.3,1.5,1.3
4/3/2020,14,31.2,26.9,1.3,1.1
4/3/2020,15,32.2,21.5,1.5,1.1
4/3/2020,16,33.5,26.1,1.3,1.1
4/3/2020,3,39,36.1,1.3,1.2
4/3/2020,5,26.8,20.7,1.1,0.9
4/3/2020,6,34,31.4,1.2,1.2
4/3/2020,7,30,27.6,1.3,1.2
4/3/2020,8,30.1,24.4,1.2,1.1
4/3/2020,9,32.6,28.7,1.3,1.2
4/4/2020,10,33.7,32.2,0.7,0.6
4/4/2020,11,35.2,32.9,0.9,0.7
4/4/2020,12,34.3,33.5,0.7,0.7
4/4/2020,13,36.6,32,1,0.7
4/4/2020,14,32.2,27.5,0.9,0.6
4/4/2020,15,33.9,22.2,1.7,0.7
4/4/2020,16,34.6,26.7,1,0.6
4/4/2020,3,39.8,36.8,0.9,0.8
4/4/2020,5,27.8,21.3,1,0.5
4/4/2020,6,34.9,32.2,0.9,0.7
4/4/2020,7,30.8,28.3,0.9,0.7
4/4/2020,8,31.1,25,1,0.6
4/4/2020,9,33.5,29.3,1,0.6
4/5/2020,10,34.3,32.7,0.5,0.5
4/5/2020,11,35.8,33.5,0.6,0.6
4/5/2020,12,34.9,34.1,0.6,0.6
4/5/2020,13,37.2,32.6,0.6,0.6
4/5/2020,14,32.7,28,0.5,0.5
4/5/2020,15,34.4,22.7,0.6,0.5
4/5/2020,16,35.1,27.1,0.5,0.4
4/5/2020,3,40.4,37.4,0.6,0.6
4/5/2020,5,28.2,21.7,0.4,0.4
4/5/2020,6,35.4,32.7,0.6,0.5
4/5/2020,7,31.3,28.8,0.5,0.5
4/5/2020,8,31.5,25.5,0.5,0.4
4/5/2020,9,34,29.8,0.5,0.5
4/6/2020,10,34.8,33.2,0.6,0.5
4/6/2020,11,36.3,34,0.5,0.5
4/6/2020,12,35.5,34.7,0.6,0.6
4/6/2020,13,37.8,33.1,0.6,0.5
4/6/2020,14,33.2,28.5,0.6,0.5
4/6/2020,15,35,23.1,0.7,0.4
4/6/2020,16,35.6,27.6,0.6,0.4
4/6/2020,3,40.9,37.9,0.5,0.5
4/6/2020,5,28.7,22,0.5,0.4
4/6/2020,6,36,33.2,0.6,0.5
4/6/2020,7,31.9,29.3,0.6,0.5
4/6/2020,8,32,25.9,0.5,0.4
4/6/2020,9,34.5,30.3,0.5,0.5
4/7/2020,10,35.3,33.7,0.5,0.5
4/7/2020,11,36.9,34.5,0.5,0.5
4/7/2020,12,36.1,35.2,0.6,0.6
4/7/2020,13,38.5,33.7,0.6,0.6
4/7/2020,14,33.8,29,0.6,0.5
4/7/2020,15,35.8,23.7,0.7,0.6
4/7/2020,16,36.2,28.1,0.6,0.5
4/7/2020,3,41.5,38.4,0.5,0.5
4/7/2020,5,29.2,22.5,0.5,0.4
4/7/2020,6,36.5,33.7,0.6,0.5
4/7/2020,7,32.5,29.8,0.6,0.5
4/7/2020,8,32.5,26.3,0.5,0.4
4/7/2020,9,35,30.8,0.6,0.5
4/8/2020,10,35.7,34.1,0.4,0.4
4/8/2020,11,37.3,34.9,0.5,0.4
4/8/2020,12,36.5,35.7,0.5,0.4
4/8/2020,13,39,34.2,0.5,0.5
4/8/2020,14,34.2,29.4,0.4,0.4
4/8/2020,15,36.2,24.1,0.5,0.4
4/8/2020,16,36.6,28.5,0.5,0.4
4/8/2020,3,41.9,38.8,0.4,0.4
4/8/2020,5,29.6,22.9,0.4,0.4
4/8/2020,6,37,34.1,0.5,0.4
4/8/2020,7,32.9,30.2,0.5,0.4
4/8/2020,8,32.9,26.7,0.4,0.4
4/8/2020,9,35.5,31.2,0.5,0.4
