RESP_DATE,GEO_ID,CRRALL,CRRINT,DRRALL,DRRINT
3/20/2020,1,13.7,13.1,1.4,1.3
3/20/2020,10,14.6,13.8,1.7,1.5
3/20/2020,11,12.7,11.1,1.6,1.4
3/20/2020,12,8.3,5.5,0.9,0.8
3/20/2020,13,10.7,7.7,1.3,1.1
3/20/2020,14,8.9,6.6,1.2,0.9
3/20/2020,15,8.4,5.5,1.5,0.9
3/20/2020,16,8.3,5.4,1.6,0.9
3/20/2020,17,8.1,4.7,1.5,0.9
3/20/2020,18,8.8,6,1.5,1.1
3/20/2020,19,13.6,12,1.7,1.4
3/20/2020,2,15,14.5,1.5,1.4
3/20/2020,20,9.5,9,1.4,1.3
3/20/2020,21,4.8,4.2,1,0.8
3/20/2020,22,11.8,11.4,1.2,1.2
3/20/2020,23,14.1,12.7,1.6,1.4
3/20/2020,24,11.5,10.4,1.5,1.3
3/20/2020,25,10.8,10,1.6,1.4
3/20/2020,26,10.5,9.9,1.3,1.2
3/20/2020,27,6,4.7,1,0.7
3/20/2020,28,6.1,5.3,0.9,0.7
3/20/2020,29,13.8,13.2,1.7,1.6
3/20/2020,3,15.3,15.2,1.3,1.3
3/20/2020,30,9.9,8.9,1.1,0.9
3/20/2020,31,6.7,5,1.1,0.7
3/20/2020,32,10.3,7.5,1.4,1
3/20/2020,33,10.4,9.4,1.8,1.6
3/20/2020,34,7.3,7,1.2,1.1
3/20/2020,35,10.5,10.2,1.7,1.6
3/20/2020,36,6.4,5.7,1.2,1.1
3/20/2020,37,4.3,3.9,0.9,0.8
3/20/2020,38,7.7,7.1,1.2,1.1
3/20/2020,39,11.3,10.9,2,1.9
3/20/2020,4,12,11.9,1.7,1.7
3/20/2020,40,9.6,9,1.4,1.3
3/20/2020,41,5.1,3.6,0.8,0.7
3/20/2020,42,6,3.8,1,0.7
3/20/2020,43,11.2,10.5,1.7,1.6
3/20/2020,44,9.9,6.9,1.7,1.1
3/20/2020,45,7.6,6.2,1.2,0.9
3/20/2020,46,8.2,6.7,1.6,1.3
3/20/2020,47,9.9,7.8,1.8,1.3
3/20/2020,48,11.7,10,2,1.7
3/20/2020,49,9.8,8.8,1.7,1.6
3/20/2020,5,12.8,12.7,1.8,1.8
3/20/2020,50,12.1,11,3.2,3
3/20/2020,51,8.5,8.4,3.9,3.8
3/20/2020,6,15.5,15.3,1.6,1.6
3/20/2020,7,13.5,13.1,1.5,1.4
3/20/2020,8,9.4,6.4,1.5,1
3/20/2020,9,11.2,9.9,1.4,1.2
3/21/2020,1,14.7,14.2,1,1
3/21/2020,10,16,15.1,1.5,1.3
3/21/2020,11,14.3,12.3,1.7,1.2
3/21/2020,12,9.9,6.3,1.7,0.7
3/21/2020,13,12.2,8.7,1.6,0.9
3/21/2020,14,10.4,7.4,1.7,0.9
3/21/2020,15,9.7,6.3,1.5,0.8
3/21/2020,16,9.8,6.3,1.6,0.9
3/21/2020,17,9.8,5.4,1.7,0.7
3/21/2020,18,10.3,6.8,1.7,0.9
3/21/2020,19,15.2,13.4,1.6,1.4
3/21/2020,2,16.1,15.5,1.1,1
3/21/2020,20,11,10.4,1.5,1.4
3/21/2020,21,5.8,4.9,0.9,0.7
3/21/2020,22,13,12.6,1.2,1.2
3/21/2020,23,15.9,14.1,1.8,1.5
3/21/2020,24,12.7,11.4,1.3,1.1
3/21/2020,25,12,11.1,1.3,1.1
3/21/2020,26,11.9,11.2,1.3,1.2
3/21/2020,27,7.2,5.5,1.2,0.8
3/21/2020,28,7.1,6,0.9,0.7
3/21/2020,29,15.3,14.7,1.6,1.5
3/21/2020,3,16.4,16.2,1,1
3/21/2020,30,10.9,9.8,1,0.9
3/21/2020,31,7.8,5.7,1.1,0.7
3/21/2020,32,11.8,8.4,1.5,0.9
3/21/2020,33,11.8,10.6,1.4,1.2
3/21/2020,34,8.5,8.2,1.2,1.2
3/21/2020,35,12,11.5,1.4,1.3
3/21/2020,36,7.5,6.7,1.2,1
3/21/2020,37,5.4,4.8,1.1,0.9
3/21/2020,38,8.9,8.3,1.3,1.1
3/21/2020,39,13.2,12.7,1.9,1.8
3/21/2020,4,13.5,13.3,1.5,1.4
3/21/2020,40,10.9,10.2,1.3,1.2
3/21/2020,41,6.4,4.4,1.4,0.8
3/21/2020,42,7.6,4.6,1.6,0.8
3/21/2020,43,12.6,11.9,1.4,1.3
3/21/2020,44,10.8,7.7,1,0.7
3/21/2020,45,8.8,7.1,1.2,0.8
3/21/2020,46,9.6,7.9,1.4,1.2
3/21/2020,47,11.2,8.9,1.2,1.1
3/21/2020,48,13,11.1,1.3,1.1
3/21/2020,49,11.4,10.1,1.6,1.4
3/21/2020,5,14.8,14.6,1.9,1.9
3/21/2020,50,14.7,13.4,2.5,2.4
3/21/2020,51,11.8,11.5,3.2,3.2
3/21/2020,6,16.9,16.7,1.4,1.3
3/21/2020,7,14.8,14.3,1.3,1.2
3/21/2020,8,11,7.3,1.7,0.9
3/21/2020,9,12.5,11,1.3,1.1
3/22/2020,1,15.8,15.2,1.1,1
3/22/2020,10,17.5,16.3,1.5,1.2
3/22/2020,11,16.1,13.4,1.9,1.2
3/22/2020,12,12.3,7.3,2.5,1
3/22/2020,13,14.1,9.6,2,1
3/22/2020,14,12.4,8.3,2.2,0.9
3/22/2020,15,11.8,7.1,2.2,0.9
3/22/2020,16,12.3,7.3,2.7,1
3/22/2020,17,12.5,6.3,3,0.9
3/22/2020,18,12.9,7.8,2.6,1
3/22/2020,19,17.1,14.8,2,1.4
3/22/2020,2,17.3,16.5,1.2,1
3/22/2020,20,12.7,11.8,1.7,1.4
3/22/2020,21,7.1,5.6,1.4,0.7
3/22/2020,22,14.4,13.8,1.4,1.3
3/22/2020,23,17.8,15.6,1.9,1.4
3/22/2020,24,14.3,12.5,1.7,1.1
3/22/2020,25,13.7,12.3,1.7,1.2
3/22/2020,26,13.7,12.8,1.8,1.6
3/22/2020,27,9.2,6.4,2,0.9
3/22/2020,28,8.5,6.8,1.5,0.9
3/22/2020,29,17.1,16.3,1.8,1.6
3/22/2020,3,17.5,17.3,1.1,1.1
3/22/2020,30,12.2,10.7,1.3,1
3/22/2020,31,9.9,6.7,2.1,1.1
3/22/2020,32,13.5,9.2,1.8,0.8
3/22/2020,33,13.4,11.9,1.7,1.3
3/22/2020,34,9.9,9.4,1.4,1.2
3/22/2020,35,13.7,13.1,1.7,1.6
3/22/2020,36,9.1,7.8,1.6,1.1
3/22/2020,37,6.7,5.8,1.3,0.9
3/22/2020,38,10.4,9.4,1.5,1.2
3/22/2020,39,15,14.4,1.8,1.7
3/22/2020,4,14.7,14.5,1.2,1.2
3/22/2020,40,12.6,11.5,1.7,1.3
3/22/2020,41,8.9,5.5,2.5,1.1
3/22/2020,42,10.3,5.6,2.7,1
3/22/2020,43,14.1,13.1,1.5,1.3
3/22/2020,44,12.6,8.4,1.8,0.7
3/22/2020,45,10.7,8.3,2,1.2
3/22/2020,46,11.5,9.2,1.9,1.3
3/22/2020,47,13.4,9.9,2.3,1
3/22/2020,48,14.7,12.2,1.7,1.1
3/22/2020,49,13.1,11.5,1.7,1.3
3/22/2020,5,16.5,16.3,1.7,1.7
3/22/2020,50,16.8,15.2,2.1,1.8
3/22/2020,51,14.1,13.9,2.4,2.3
3/22/2020,6,18.4,18.2,1.5,1.5
3/22/2020,7,16.3,15.6,1.4,1.3
3/22/2020,8,13.5,8.3,2.7,1
3/22/2020,9,14.2,12.2,1.7,1.2
3/23/2020,1,17,16.3,1.2,1.2
3/23/2020,10,18.9,17.7,1.4,1.4
3/23/2020,11,17.6,14.8,1.5,1.4
3/23/2020,12,13.9,8.7,1.7,1.4
3/23/2020,13,15.3,10.6,1.2,1
3/23/2020,14,13.8,9.5,1.4,1.2
3/23/2020,15,13.3,8.4,1.5,1.2
3/23/2020,16,13.9,8.7,1.6,1.4
3/23/2020,17,14.3,7.7,1.8,1.4
3/23/2020,18,14.4,9.2,1.6,1.4
3/23/2020,19,18.5,16.2,1.4,1.4
3/23/2020,2,18.5,17.7,1.2,1.2
3/23/2020,20,14.1,13.1,1.4,1.4
3/23/2020,21,8,6.4,0.9,0.8
3/23/2020,22,15.7,15.1,1.3,1.3
3/23/2020,23,19.3,16.9,1.5,1.4
3/23/2020,24,15.8,13.9,1.5,1.4
3/23/2020,25,15,13.6,1.4,1.3
3/23/2020,26,15.3,14.4,1.6,1.6
3/23/2020,27,10.4,7.5,1.3,1.1
3/23/2020,28,9.6,7.9,1.2,1
3/23/2020,29,18.8,17.9,1.6,1.6
3/23/2020,3,18.8,18.6,1.3,1.3
3/23/2020,30,13.1,11.7,1,1
3/23/2020,31,11.2,8,1.3,1.2
3/23/2020,32,14.6,10.1,1.1,0.9
3/23/2020,33,15,13.4,1.5,1.5
3/23/2020,34,11.2,10.7,1.3,1.3
3/23/2020,35,15.4,14.8,1.7,1.6
3/23/2020,36,10.4,9.1,1.4,1.3
3/23/2020,37,7.9,6.9,1.2,1.2
3/23/2020,38,11.8,10.8,1.4,1.4
3/23/2020,39,16.8,16.2,1.8,1.8
3/23/2020,4,16,15.8,1.3,1.3
3/23/2020,40,14.1,13,1.6,1.5
3/23/2020,41,10.5,7,1.7,1.5
3/23/2020,42,11.8,7,1.6,1.5
3/23/2020,43,15.5,14.5,1.4,1.4
3/23/2020,44,13.8,9.5,1.2,1.1
3/23/2020,45,12.2,9.6,1.4,1.3
3/23/2020,46,13,10.7,1.5,1.4
3/23/2020,47,14.8,11.1,1.4,1.3
3/23/2020,48,16.1,13.5,1.4,1.3
3/23/2020,49,14.9,13.2,1.8,1.8
3/23/2020,5,18.2,18,1.7,1.7
3/23/2020,50,18.6,17,1.8,1.8
3/23/2020,51,16.2,15.9,2.1,2.1
3/23/2020,6,20,19.8,1.6,1.6
3/23/2020,7,17.7,17,1.4,1.4
3/23/2020,8,14.9,9.5,1.4,1.3
3/23/2020,9,15.8,13.8,1.6,1.6
3/24/2020,1,18.4,17.7,1.4,1.4
3/24/2020,10,20.8,19.6,1.9,1.8
3/24/2020,11,19.4,16.7,1.8,1.8
3/24/2020,12,15.6,10.3,1.7,1.6
3/24/2020,13,16.9,12.2,1.6,1.6
3/24/2020,14,15.6,11.3,1.8,1.8
3/24/2020,15,14.9,10,1.7,1.7
3/24/2020,16,16,10.7,2.1,2
3/24/2020,17,16.1,9.4,1.8,1.8
3/24/2020,18,16.2,10.9,1.8,1.8
3/24/2020,19,20.1,17.7,1.6,1.6
3/24/2020,2,20,19.2,1.6,1.5
3/24/2020,20,15.4,14.4,1.3,1.3
3/24/2020,21,9.1,7.4,1.1,1
3/24/2020,22,17.4,16.8,1.7,1.7
3/24/2020,23,20.9,18.6,1.6,1.6
3/24/2020,24,17.3,15.4,1.5,1.4
3/24/2020,25,16.5,15.1,1.5,1.5
3/24/2020,26,17.1,16.2,1.8,1.8
3/24/2020,27,11.7,8.8,1.3,1.2
3/24/2020,28,10.9,9.2,1.3,1.3
3/24/2020,29,20.4,19.5,1.7,1.6
3/24/2020,3,20.2,20,1.5,1.4
3/24/2020,30,14.4,12.9,1.2,1.2
3/24/2020,31,12.7,9.4,1.4,1.4
3/24/2020,32,16,11.4,1.4,1.3
3/24/2020,33,16.6,15.1,1.7,1.7
3/24/2020,34,13.2,12.6,2,2
3/24/2020,35,17.3,16.7,1.9,1.9
3/24/2020,36,12.3,10.9,1.8,1.8
3/24/2020,37,9.7,8.7,1.8,1.8
3/24/2020,38,13.2,12.2,1.4,1.4
3/24/2020,39,18.9,18.3,2.1,2.1
3/24/2020,4,17.6,17.4,1.6,1.6
3/24/2020,40,16.1,15,2,2
3/24/2020,41,12.1,8.6,1.6,1.6
3/24/2020,42,13.5,8.7,1.7,1.7
3/24/2020,43,17,16,1.5,1.5
3/24/2020,44,14.9,10.5,1,1
3/24/2020,45,13.8,11.2,1.6,1.6
3/24/2020,46,14.7,12.3,1.7,1.7
3/24/2020,47,16.3,12.6,1.5,1.5
3/24/2020,48,17.7,15.1,1.6,1.6
3/24/2020,49,16.8,15.1,1.9,1.9
3/24/2020,5,20.2,20,2.1,2
3/24/2020,50,20.9,19.3,2.3,2.3
3/24/2020,51,19.4,19.1,3.2,3.2
3/24/2020,6,21.9,21.6,1.9,1.9
3/24/2020,7,19.5,18.7,1.8,1.8
3/24/2020,8,16.7,11.3,1.7,1.7
3/24/2020,9,17.7,15.8,2,2
3/25/2020,1,19.7,19,1.3,1.2
3/25/2020,10,22.5,21.1,1.7,1.6
3/25/2020,11,21.1,18.1,1.6,1.4
3/25/2020,12,17.4,11.6,1.8,1.2
3/25/2020,13,18.6,13.4,1.7,1.2
3/25/2020,14,17.2,12.4,1.6,1.2
3/25/2020,15,16.5,11.2,1.6,1.2
3/25/2020,16,17.9,12.1,2,1.4
3/25/2020,17,18,10.6,2,1.2
3/25/2020,18,18.2,12.1,2,1.2
3/25/2020,19,21.9,19.3,1.8,1.6
3/25/2020,2,21.4,20.4,1.4,1.2
3/25/2020,20,17,15.7,1.5,1.3
3/25/2020,21,10.5,8.3,1.4,0.9
3/25/2020,22,19,18.3,1.6,1.5
3/25/2020,23,23.1,20.5,2.2,1.9
3/25/2020,24,18.8,16.6,1.5,1.3
3/25/2020,25,18.2,16.5,1.7,1.3
3/25/2020,26,18.9,17.8,1.7,1.6
3/25/2020,27,13.3,9.8,1.6,1
3/25/2020,28,12.3,10.3,1.4,1.1
3/25/2020,29,22,21,1.6,1.5
3/25/2020,3,21.5,21.3,1.3,1.3
3/25/2020,30,15.8,14.2,1.5,1.3
3/25/2020,31,14.4,10.5,1.8,1.1
3/25/2020,32,17.5,12.5,1.5,1
3/25/2020,33,18.2,16.4,1.5,1.4
3/25/2020,34,15,14.3,1.8,1.7
3/25/2020,35,19.1,18.4,1.8,1.7
3/25/2020,36,14,12.3,1.7,1.4
3/25/2020,37,11.2,9.9,1.5,1.3
3/25/2020,38,14.6,13.4,1.4,1.2
3/25/2020,39,20.6,20,1.8,1.7
3/25/2020,4,18.9,18.8,1.4,1.4
3/25/2020,40,18.2,16.8,2.1,1.8
3/25/2020,41,13.9,9.8,1.8,1.1
3/25/2020,42,15.5,9.9,2,1.1
3/25/2020,43,18.4,17.4,1.4,1.3
3/25/2020,44,16.1,11.3,1.3,0.8
3/25/2020,45,15.6,12.6,1.8,1.3
3/25/2020,46,16.5,13.8,1.8,1.5
3/25/2020,47,17.9,13.8,1.6,1.1
3/25/2020,48,19.2,16.4,1.6,1.3
3/25/2020,49,18.6,16.7,1.8,1.5
3/25/2020,5,22.1,21.9,1.9,1.9
3/25/2020,50,23.2,21.4,2.3,2.2
3/25/2020,51,22.4,22.1,3,3
3/25/2020,6,23.5,23.2,1.6,1.6
3/25/2020,7,21.1,20.3,1.6,1.5
3/25/2020,8,18.8,12.6,2.1,1.3
3/25/2020,9,19.4,17.2,1.7,1.4
3/26/2020,1,20.8,20,1.1,1
3/26/2020,10,23.8,22.4,1.3,1.3
3/26/2020,11,22.3,19.2,1.4,1.1
3/26/2020,12,18.5,12.5,1.4,1
3/26/2020,13,19.7,14.3,1.2,0.9
3/26/2020,14,18.5,13.5,1.4,1
3/26/2020,15,17.7,12.2,1.3,1
3/26/2020,16,19.4,13.3,1.6,1.2
3/26/2020,17,19.2,11.6,1.4,1
3/26/2020,18,19.4,13.2,1.5,1.1
3/26/2020,19,23.2,20.5,1.3,1.2
3/26/2020,2,22.5,21.5,1.1,1.1
3/26/2020,20,18.2,17,1.3,1.3
3/26/2020,21,11.4,9.1,1,0.8
3/26/2020,22,20.3,19.7,1.4,1.3
3/26/2020,23,24.6,21.9,1.6,1.5
3/26/2020,24,20,17.8,1.3,1.2
3/26/2020,25,19.4,17.7,1.3,1.2
3/26/2020,26,20.3,19.2,1.5,1.4
3/26/2020,27,14.3,10.8,1.2,1
3/26/2020,28,13.2,11.1,1,0.8
3/26/2020,29,23.3,22.3,1.4,1.3
3/26/2020,3,22.6,22.4,1.1,1.1
3/26/2020,30,16.8,15.2,1,1
3/26/2020,31,15.5,11.5,1.2,1
3/26/2020,32,18.4,13.3,1.1,0.9
3/26/2020,33,19.5,17.7,1.3,1.3
3/26/2020,34,16.5,15.8,1.5,1.4
3/26/2020,35,20.5,19.8,1.4,1.4
3/26/2020,36,15.3,13.6,1.4,1.3
3/26/2020,37,12.4,11.1,1.3,1.2
3/26/2020,38,15.7,14.5,1.2,1.1
3/26/2020,39,22.2,21.5,1.5,1.5
3/26/2020,4,20.1,19.9,1.1,1.1
3/26/2020,40,19.6,18.1,1.5,1.3
3/26/2020,41,15.1,10.8,1.4,1.1
3/26/2020,42,16.6,10.8,1.3,1
3/26/2020,43,19.6,18.6,1.2,1.2
