RESP_DATE,GEO_ID,CRRALL,CRRINT,DRRALL,DRRINT
3/20/2020,10001,13.1,13,1.1,1.1
3/20/2020,10002,13.5,12.2,1.6,1.3
3/20/2020,10003,16.9,16.7,1.5,1.5
3/20/2020,10004,14.6,14.6,1.2,1.2
3/20/2020,10005,13,12.9,1.1,1.1
3/20/2020,10006,13.5,13.5,1.5,1.5
3/20/2020,10007,13.8,13.7,1.2,1.2
3/20/2020,10009,16,15.1,1.7,1.5
3/20/2020,10010,14,13.9,1.6,1.6
3/20/2020,10011,16.6,16.5,1.3,1.3
3/20/2020,10012,14,14,1.3,1.3
3/20/2020,10013,12.3,12.2,1.3,1.3
3/20/2020,10014,14.6,14.6,1.3,1.3
3/20/2020,10016,15,14.8,1.5,1.5
3/20/2020,10017,14.8,14.7,1.4,1.4
3/20/2020,10018,11,11,1.4,1.4
3/20/2020,10019,14,13.8,1.4,1.3
3/20/2020,10021,7.7,7.6,2,1.9
3/20/2020,10022,12.8,12.6,1.6,1.6
3/20/2020,10023,15,14.8,1.5,1.5
3/20/2020,10024,14.9,14.8,1.6,1.6
3/20/2020,10025,17.7,17.4,1.7,1.7
3/20/2020,10026,12.1,11.9,1.6,1.5
3/20/2020,10027,11.9,11,1.4,1.2
3/20/2020,10028,8.7,8.6,2.2,2.2
3/20/2020,10029,10.7,7.9,1.7,1.1
3/20/2020,10030,9.5,9.2,1.1,1.1
3/20/2020,10031,12,11.7,1.3,1.2
3/20/2020,10032,14.5,14.2,1.6,1.6
3/20/2020,10033,15.9,15.1,1.7,1.6
3/20/2020,10034,14.4,13.8,1.5,1.4
3/20/2020,10035,8.6,6.5,1.5,1
3/20/2020,10036,16.6,16.3,1.4,1.4
3/20/2020,10037,14.8,10.4,1.8,1.2
3/20/2020,10038,14.9,13.6,1.6,1.3
3/20/2020,10039,10.4,7.5,1.6,1
3/20/2020,10040,13.9,13.6,1.7,1.6
3/20/2020,10044,15,14.8,1.9,1.8
3/20/2020,10065,14.7,14.5,1.2,1.2
3/20/2020,10069,6.6,6.4,0.9,0.9
3/20/2020,10075,17.2,17.1,1.5,1.4
3/20/2020,10128,12.9,12.7,2.3,2.2
3/20/2020,10280,18.1,18,1.5,1.5
3/20/2020,10282,9.8,9.7,1,1
3/20/2020,10301,11.8,10.7,1.8,1.6
3/20/2020,10302,8.7,7.6,1,0.9
3/20/2020,10303,6.4,5.9,1.8,1.7
3/20/2020,10304,11.2,9.3,1.6,1.4
3/20/2020,10305,12.4,11.4,2.2,2.2
3/20/2020,10306,10.2,8.4,3.9,3.6
3/20/2020,10307,9.8,9.6,3.2,3.1
3/20/2020,10308,6.9,6.8,4.4,4.3
3/20/2020,10309,7.2,7.1,3.3,3.2
3/20/2020,10310,10.2,9.7,2.5,2.4
3/20/2020,10312,9.7,9.6,4.2,4.1
3/20/2020,10314,11.5,11.2,3.3,3.3
3/20/2020,10451,8.6,5.4,1.3,0.9
3/20/2020,10452,8.6,5.5,1,0.7
3/20/2020,10453,7.4,5.1,1.1,0.9
3/20/2020,10454,6.7,3.6,1,0.8
3/20/2020,10455,8.9,5.6,1.9,1.2
3/20/2020,10456,8.4,5.3,2,1
3/20/2020,10457,7.8,5,1.4,0.9
3/20/2020,10458,9,6.3,1.6,0.9
3/20/2020,10459,8,4.5,1.5,0.8
3/20/2020,10460,7.9,4.4,1.7,0.8
3/20/2020,10461,11.4,8.1,1.2,0.9
3/20/2020,10462,11,8.6,1.7,1.3
3/20/2020,10463,11.7,10.1,1.9,1.6
3/20/2020,10464,17.8,17.4,1.4,1.4
3/20/2020,10465,10.8,6.6,1.1,0.9
3/20/2020,10466,6.1,4.3,0.7,0.6
3/20/2020,10467,9.3,7.1,1.1,1
3/20/2020,10468,10.5,7.9,1.4,1
3/20/2020,10469,6.5,5,1,0.9
3/20/2020,10470,9.9,7.5,0.9,0.8
3/20/2020,10471,18.9,18.4,1.7,1.6
3/20/2020,10472,6.8,4.2,1.4,0.9
3/20/2020,10473,8.7,5.3,1.2,1
3/20/2020,10474,6.9,4.6,1,0.7
3/20/2020,10475,13.2,8.1,1.4,1.2
3/20/2020,11004,16.6,11.9,1.6,1.4
3/20/2020,11101,7.9,7.3,1.1,0.9
3/20/2020,11102,12,11.3,1.2,1.1
3/20/2020,11103,12.9,12.8,1.3,1.3
3/20/2020,11104,15.5,15.3,1.6,1.6
3/20/2020,11105,10.4,10.2,1.2,1.1
3/20/2020,11106,10.7,10.2,1.2,1.1
3/20/2020,11201,14.6,14.2,2.3,2.2
3/20/2020,11203,5.3,3.6,0.9,0.7
3/20/2020,11204,9.6,8.3,1.6,1.2
3/20/2020,11205,10.3,9.7,1.5,1.3
3/20/2020,11206,8.9,7.1,1.3,1
3/20/2020,11207,4.7,3.7,0.9,0.8
3/20/2020,11208,5.4,4,1.1,0.8
3/20/2020,11209,12.8,12.5,1.8,1.8
3/20/2020,11210,9,8.2,1.3,1.2
3/20/2020,11211,7.6,6.4,1.6,1.3
3/20/2020,11212,4.9,3.5,0.8,0.6
3/20/2020,11213,6,5.5,0.9,0.8
3/20/2020,11214,10.3,9.1,1.6,1.4
3/20/2020,11215,10.2,10.2,2,2
3/20/2020,11216,7.9,7.7,1.4,1.3
3/20/2020,11217,12.7,12.6,1.9,1.9
3/20/2020,11218,12.3,11.3,1.8,1.6
3/20/2020,11219,8.4,4.7,1.4,0.8
3/20/2020,11220,7.1,6.8,1.2,1.1
3/20/2020,11221,4.4,4.1,1.1,1
3/20/2020,11222,8.1,8,1.6,1.5
3/20/2020,11223,9.2,7.6,1.7,1.3
3/20/2020,11224,11.8,6.9,1.9,1.1
3/20/2020,11225,10.9,10.1,1.3,1.2
3/20/2020,11226,8.2,7.7,1.3,1.2
3/20/2020,11228,9.8,8.8,1.7,1.5
3/20/2020,11229,11.7,10.8,2,1.8
3/20/2020,11230,11.7,10.1,1.9,1.6
3/20/2020,11231,9.9,9.2,1.9,1.6
3/20/2020,11232,9.8,9.6,1.2,1.2
3/20/2020,11233,5,3.9,0.8,0.7
3/20/2020,11234,8.9,6.9,2,1.5
3/20/2020,11235,11.3,8.9,2,1.6
3/20/2020,11236,5.9,4.7,0.8,0.7
3/20/2020,11237,5,4.9,0.9,0.9
3/20/2020,11238,10.4,10.3,2,1.9
3/20/2020,11239,10.5,4.7,1.2,0.9
3/20/2020,11354,9.2,8.9,1.3,1.3
