RESP_DATE,GEO_ID,BORO,NEIGHBORHOOD,CRRALL,CRRINT,DRRALL,DRRINT
3/20/2020,X01,Bronx,Pelham Gardens,8.2,6.5,1.5,1.5
3/20/2020,X02,Bronx,Pelham Parkway,10.3,8.4,1.6,1.4
3/20/2020,X03,Bronx,Allerton,8.7,5.5,1,0.8
3/20/2020,X04,Bronx,Baychester,6.5,5.2,0.8,0.7
3/20/2020,X05,Bronx,Belmont,8.5,5.2,1.6,0.8
3/20/2020,X06,Bronx,Castle Hill,8.4,5.9,1.4,1.1
3/20/2020,X07,Bronx,Charlotte Gardens,7.7,4.4,1.6,0.8
3/20/2020,X08,Bronx,Morrisania,8.4,4.5,2.3,0.9
3/20/2020,X09,Bronx,City Island,17.8,17.4,1.4,1.4
3/20/2020,X10,Bronx,Claremont,7.8,5.6,1.4,0.9
3/20/2020,X11,Bronx,Clason Point,7.2,4.6,0.9,0.8
3/20/2020,X12,Bronx,Co-op City,14.7,8.8,1.5,1.3
3/20/2020,X13,Bronx,Concourse,8.9,6,1.4,0.9
3/20/2020,X14,Bronx,Country Club,13.3,5.9,0.9,0.7
3/20/2020,X15,Bronx,Edenwald,6.6,4.8,0.9,0.8
3/20/2020,X16,Bronx,Fieldston,17.9,17.6,2,1.9
3/20/2020,X17,Bronx,Fordham,9.6,7.4,1.5,1.1
3/20/2020,X18,Bronx,Fordham University,11.9,4.9,2.6,0.7
3/20/2020,X19,Bronx,Highbridge,8.7,5.4,1,0.6
3/20/2020,X20,Bronx,Hunts Point,8.2,4.6,1.4,0.7
3/20/2020,X21,Bronx,Kingsbridge,10.8,8.5,1.5,1.1
3/20/2020,X22,Bronx,Melrose,8.2,5.3,1.3,0.9
3/20/2020,X23,Bronx,Morris Heights,7.5,5.1,1.1,0.9
3/20/2020,X24,Bronx,Morris Park,11.8,10.5,1.2,1.1
3/20/2020,X25,Bronx,Mott Haven,7.8,4.4,1.5,1
3/20/2020,X26,Bronx,Mount Hope,7.6,4.6,1.3,0.8
3/20/2020,X27,Bronx,North Riverdale,17.2,16.8,1.5,1.5
3/20/2020,X28,Bronx,Norwood,10.8,8.7,1.3,1
3/20/2020,X29,Bronx,park-cemetery-etc-Bronx,NA,NA,NA,NA
3/20/2020,X30,Bronx,Parkchester,13,9.5,2,1.4
3/20/2020,X31,Bronx,Pelham Bay,11.6,6.5,1.3,0.9
3/20/2020,X32,Bronx,Port Morris,3.5,3.5,0.6,0.6
3/20/2020,X34,Bronx,Riverdale,21,20.5,1.7,1.6
3/20/2020,X35,Bronx,Soundview,7.5,4.5,1.4,0.9
3/20/2020,X36,Bronx,Spuyten Duyvil,7,6.9,3.9,3.8
3/20/2020,X37,Bronx,Throgs Neck,10.2,6.7,1.1,0.9
3/20/2020,X38,Bronx,Tremont,7.6,4.7,1.5,0.9
3/20/2020,X39,Bronx,University Heights,7.9,5.5,1.1,0.8
3/20/2020,X40,Bronx,Van Nest,7.1,5.2,1.4,0.9
3/20/2020,X41,Bronx,Wakefield,5.9,4.1,0.7,0.6
3/20/2020,X42,Bronx,West Farms,8,4.2,1.8,0.7
3/20/2020,X43,Bronx,Westchester Square,9,7.4,1.6,1.3
3/20/2020,X44,Bronx,Williamsbridge,6,4,0.7,0.6
3/20/2020,X45,Bronx,Woodlawn,13.7,10.9,1.3,1.1
3/20/2020,K01,Brooklyn,Bath Beach,9.3,9.1,1.5,1.5
3/20/2020,K02,Brooklyn,Bay Ridge,12.7,12.4,1.8,1.8
3/20/2020,K03,Brooklyn,Bedford-Stuyvesant (East),4.9,4.3,1.2,1
3/20/2020,K04,Brooklyn,Bedford-Stuyvesant (West),7.6,7.1,1.4,1.3
3/20/2020,K05,Brooklyn,Bensonhurst,10.1,9.4,1.7,1.5
3/20/2020,K06,Brooklyn,Bergen Beach,8.9,7.9,1.9,1.7
3/20/2020,K07,Brooklyn,Boerum Hill,13.6,13.4,1.8,1.8
3/20/2020,K08,Brooklyn,Borough Park,8.3,3.9,1.5,0.6
3/20/2020,K09,Brooklyn,Brighton Beach,11.5,7,2.1,1.3
3/20/2020,K10,Brooklyn,Brooklyn Heights,17.3,17.1,2.7,2.7
3/20/2020,K11,Brooklyn,Ocean Hill-Brownsville,5.6,3.6,0.9,0.6
3/20/2020,K12,Brooklyn,Bushwick,4.9,4.7,0.9,0.8
