RESP_DATE,GEO_ID,CRRALL,CRRINT,DRRALL,DRRINT
3/20/2020,1,14,12.8,1.6,1.3
3/20/2020,10,11,8.8,1.6,1.2
3/20/2020,11,9.3,6.8,1.2,1
3/20/2020,12,7.6,4.7,1.5,0.8
3/20/2020,13,11.1,10.8,1.8,1.8
3/20/2020,14,8.3,7.1,1.5,1.2
3/20/2020,15,10.8,10.4,1.8,1.7
3/20/2020,16,5,4.4,1.2,1
3/20/2020,17,8.3,7.6,1.3,1.1
3/20/2020,18,5.2,4,0.8,0.6
3/20/2020,19,5.7,3.9,1,0.8
3/20/2020,2,13.7,13.5,1.6,1.5
3/20/2020,20,9.9,8.8,1.6,1.3
3/20/2020,21,10.9,8.3,1.8,1.4
3/20/2020,22,10,8.8,1.7,1.5
3/20/2020,23,5.1,3.5,0.8,0.6
3/20/2020,24,8.5,7.6,1.2,1
3/20/2020,25,11.6,10.4,1.5,1.3
3/20/2020,26,14.7,13.5,1.7,1.5
3/20/2020,27,8.5,6.5,1.2,0.9
3/20/2020,28,11,10.3,1.5,1.3
3/20/2020,29,7.1,5.7,1.1,0.8
3/20/2020,3,15.3,15.1,1.6,1.6
3/20/2020,30,11,10.5,1.3,1.2
3/20/2020,31,10.2,9.4,2.9,2.8
3/20/2020,32,4.8,4.6,0.9,0.9
3/20/2020,4,10.5,7.5,1.6,1
3/20/2020,5,11,9.4,1.4,1.2
3/20/2020,6,14,13.6,1.6,1.5
3/20/2020,7,8.2,5,1.4,1
3/20/2020,8,9.2,5.5,1.4,0.9
3/20/2020,9,8.2,5.3,1.3,0.8
3/21/2020,1,15.2,13.9,1.2,1
3/21/2020,10,12.4,9.8,1.6,1
3/21/2020,11,10.9,7.7,1.6,0.9
3/21/2020,12,9,5.4,1.5,0.7
3/21/2020,13,12.6,12.2,1.5,1.4
3/21/2020,14,9.5,8.2,1.3,1.1
3/21/2020,15,12.5,12,1.7,1.7
3/21/2020,16,6.2,5.5,1.3,1.1
3/21/2020,17,9.5,8.6,1.2,1
3/21/2020,18,6.3,4.6,1.1,0.7
3/21/2020,19,7.2,4.7,1.5,0.8
3/21/2020,2,15,14.8,1.3,1.3
3/21/2020,20,11.1,9.9,1.2,1.1
3/21/2020,21,12.1,9.3,1.2,0.9
3/21/2020,22,11.4,10,1.4,1.2
3/21/2020,23,6.7,4.3,1.6,0.8
3/21/2020,24,9.6,8.5,1,0.9
3/21/2020,25,13.1,11.7,1.5,1.3
3/21/2020,26,16.5,15.2,1.9,1.7
3/21/2020,27,9.8,7.3,1.3,0.8
3/21/2020,28,12.4,11.5,1.4,1.2
3/21/2020,29,8.2,6.4,1.2,0.8
3/21/2020,3,16.6,16.4,1.4,1.3
3/21/2020,30,12.3,11.7,1.3,1.2
3/21/2020,31,12.6,11.7,2.5,2.3
3/21/2020,32,5.9,5.7,1.1,1.1
3/21/2020,4,11.9,8.4,1.6,1
3/21/2020,5,12.3,10.5,1.3,1.1
3/21/2020,6,15.4,14.9,1.4,1.3
3/21/2020,7,10.1,5.9,2,0.9
3/21/2020,8,10.9,6.3,1.8,0.8
3/21/2020,9,9.8,6.1,1.7,0.8
3/22/2020,1,16.7,14.9,1.5,1
3/22/2020,10,14.3,10.9,2,1
3/22/2020,11,13,8.7,2.2,1
3/22/2020,12,11.4,6.2,2.6,0.8
3/22/2020,13,14.3,13.8,1.7,1.6
3/22/2020,14,11.1,9.3,1.6,1.1
3/22/2020,15,14.3,13.6,1.8,1.6
3/22/2020,16,7.9,6.6,1.8,1.1
3/22/2020,17,11.3,9.9,1.8,1.3
3/22/2020,18,8.4,5.8,2.1,1.2
3/22/2020,19,9.4,5.6,2.3,0.9
3/22/2020,2,16.3,16.1,1.3,1.3
3/22/2020,20,12.6,11,1.4,1.1
