RESP_DATE,GEO_ID,CRRALL,CRRINT,DRRALL,DRRINT
3/20/2020,10,6.3,5.2,0.9,0.7
3/20/2020,11,13.3,11.9,1.6,1.4
3/20/2020,12,10.7,10.2,1.2,1.1
3/20/2020,13,8.6,7.9,1.3,1.1
3/20/2020,14,8.1,6.8,1.2,1
3/20/2020,15,11.3,9.4,1.4,1.1
3/20/2020,16,11.4,10.7,1.6,1.4
3/20/2020,17,10.1,8.3,1.7,1.3
3/20/2020,18,6.4,5.6,1.2,1
3/20/2020,19,7.7,5.9,1.2,0.9
3/20/2020,20,7.5,6.7,1.2,1
3/20/2020,21,8.6,7.8,1.5,1.3
3/20/2020,22,10.6,10,1.8,1.6
3/20/2020,23,10.1,7.8,1.8,1.4
3/20/2020,24,10.6,9.9,3.5,3.4
3/20/2020,25,8.5,8,1.5,1.3
3/20/2020,26,12.8,12,1.6,1.5
3/20/2020,27,15.2,15,1.5,1.4
3/20/2020,28,11.9,11.8,1.7,1.7
3/20/2020,29,11.2,9.3,1.4,1.1
3/20/2020,30,12.4,11,1.5,1.3
3/20/2020,31,14.8,14.3,1.6,1.5
3/20/2020,32,8.5,5.1,1.6,0.9
3/20/2020,33,8.6,6,1.5,0.9
3/20/2020,34,11.5,9.2,1.5,1.3
3/20/2020,36,8.6,6,1,0.8
3/21/2020,10,7.3,6,1,0.7
3/21/2020,11,15,13.4,1.6,1.4
3/21/2020,12,11.9,11.4,1.2,1.1
3/21/2020,13,9.7,8.9,1.2,1
3/21/2020,14,9.3,7.6,1.2,0.8
3/21/2020,15,12.7,10.5,1.4,1
3/21/2020,16,12.9,12,1.5,1.3
3/21/2020,17,11.3,9.4,1.2,1
3/21/2020,18,7.5,6.7,1.2,1.1
3/21/2020,19,9.1,6.8,1.4,0.9
3/21/2020,20,8.9,7.7,1.3,1
3/21/2020,21,10.1,9.1,1.5,1.3
3/21/2020,22,11.9,11.3,1.3,1.3
3/21/2020,23,11.5,9,1.4,1.2
3/21/2020,24,13.4,12.7,2.9,2.8
3/21/2020,25,9.9,9.2,1.4,1.2
3/21/2020,26,14,13.1,1.2,1.1
3/21/2020,27,16.4,16.1,1.1,1.1
3/21/2020,28,13.6,13.4,1.7,1.6
3/21/2020,29,12.8,10.2,1.7,1
3/21/2020,30,13.7,12.2,1.4,1.2
