RESP_DATE,GEO_ID,CRRALL,CRRINT,DRRALL,DRRINT
2020-03-20,USA,14.1,12,2.8,2.6
2020-03-21,USA,16.7,14.2,2.6,2.2
2020-03-22,USA,19.2,16.1,2.5,1.9
2020-03-23,USA,21,17.8,1.8,1.7
2020-03-24,USA,23.6,20.5,2.6,2.7
2020-03-25,USA,26.2,22.7,2.6,2.2
2020-03-26,USA,28.1,24.5,1.9,1.8
2020-03-27,USA,30.2,26.1,2.1,1.6
2020-03-28,USA,31.6,27.5,1.4,1.4
2020-03-29,USA,33.1,29,1.5,1.5
2020-03-30,USA,34.7,30.3,1.6,1.3
2020-03-31,USA,36.2,31.8,1.5,1.5
2020-04-01,USA,38.4,33.8,2.2,2
2020-04-02,USA,41.3,36.5,2.9,2.7
2020-04-03,USA,42.8,37.9,1.5,1.4
2020-04-04,USA,43.9,38.7,1.1,0.8
2020-04-05,USA,44.5,39.3,0.6,0.6
2020-04-06,USA,45.1,39.9,0.6,0.6
2020-04-07,USA,45.7,40.5,0.6,0.6
2020-04-08,USA,46.2,40.9,0.5,0.4
2020-04-09,USA,46.7,41.3,0.5,0.4
2020-04-10,USA,47.1,41.7,0.4,0.4
2020-04-11,USA,47.5,42,0.4,0.3
2020-04-12,USA,47.9,42.2,0.4,0.2
2020-04-13,USA,48.1,42.5,0.2,0.3
2020-04-14,USA,48.6,42.8,0.5,0.3
2020-04-15,USA,49.1,43.1,0.5,0.3
2020-04-16,USA,49.4,43.4,0.3,0.3
2020-04-17,USA,49.8,43.7,0.4,0.3
2020-04-18,USA,50.2,43.9,0.4,0.2
2020-04-19,USA,50.5,44,0.3,0.1
2020-04-20,USA,50.7,44.2,0.2,0.2
2020-04-21,USA,51,44.4,0.3,0.2
2020-04-22,USA,51.6,44.6,0.6,0.2
2020-04-23,USA,51.8,44.8,0.2,0.2
2020-04-24,USA,52.4,45,0.6,0.2
2020-04-25,USA,52.8,45.1,0.4,0.1
2020-04-26,USA,53.2,45.3,0.4,0.2
2020-04-27,USA,53.4,45.4,0.2,0.1
2020-04-28,USA,53.7,45.6,0.3,0.2
2020-04-29,USA,54.3,45.9,0.6,0.3
2020-04-30,USA,54.6,46.1,0.3,0.2
2020-05-01,USA,55.6,46.2,1,0.1
2020-05-02,USA,56,46.4,0.4,0.2
2020-05-03,USA,56.3,46.6,0.3,0.2
2020-05-04,USA,56.6,46.7,0.3,0.1
2020-05-05,USA,56.8,46.9,0.2,0.2
2020-05-06,USA,57.3,47.1,0.5,0.2
2020-05-07,USA,57.7,47.2,0.4,0.1
2020-05-08,USA,58.1,47.4,0.4,0.2
2020-05-09,USA,58.3,47.5,0.2,0.1
2020-05-10,USA,58.5,47.6,0.2,0.1
2020-05-11,USA,58.6,47.6,0.1,0
2020-05-12,USA,58.7,47.7,0.1,0.1
2020-05-13,USA,59,47.8,0.3,0.1
2020-05-14,USA,59.1,47.9,0.1,0.1
2020-05-15,USA,59.3,48,0.2,0.1
2020-05-16,USA,59.4,48,0.1,0
2020-05-17,USA,59.5,48.1,0.1,0.1
2020-05-18,USA,59.6,48.1,0.1,0
2020-05-19,USA,59.6,48.2,0,0.1
2020-05-20,USA,59.7,48.2,0.1,0
2020-05-21,USA,59.8,48.3,0.1,0.1
2020-05-22,USA,59.9,48.3,0.1,0
2020-05-23,USA,60,48.4,0.1,0.1
2020-05-24,USA,60,48.4,0,0
2020-05-25,USA,60.1,48.4,0.1,0
2020-05-26,USA,60.1,48.4,0,0
2020-05-27,USA,60.2,48.5,0.1,0.1
2020-05-28,USA,60.3,48.5,0.1,0
2020-05-29,USA,60.3,48.6,0,0.1
2020-05-30,USA,60.4,48.6,0.1,0
2020-05-31,USA,60.4,48.6,0,0
2020-06-01,USA,60.5,48.6,0.1,0
2020-06-02,USA,60.5,48.7,0,0.1
2020-06-03,USA,60.6,48.7,0.1,0
2020-06-04,USA,60.6,48.7,0,0
2020-06-05,USA,60.7,48.8,0.1,0.1
2020-06-08,USA,60.7,48.8,0,0
2020-06-09,USA,60.8,48.9,0.1,0.1
2020-06-10,USA,60.8,48.9,0,0
2020-06-11,USA,60.9,48.9,0.1,0
2020-06-12,USA,60.9,48.9,0,0
2020-06-15,USA,61.4,49.1,0.5,0.2
2020-06-16,USA,61.4,49.1,0,0
2020-06-17,USA,61.5,49.1,0.1,0
2020-06-18,USA,61.5,49.1,0,0
2020-06-19,USA,61.6,49.2,0.1,0.1
2020-06-22,USA,61.6,49.2,0,0
2020-06-23,USA,61.6,49.2,0,0
2020-06-24,USA,61.7,49.2,0.1,0
2020-06-25,USA,61.7,49.3,0,0.1
2020-06-26,USA,61.7,49.3,0,0
2020-06-29,USA,61.8,49.3,0.1,0
2020-06-30,USA,61.8,49.3,0,0
2020-07-01,USA,61.8,49.4,0,0.1
2020-07-02,USA,61.9,49.4,0.1,0
2020-07-06,USA,61.9,49.4,0,0
2020-07-07,USA,61.9,49.4,0,0
2020-07-08,USA,61.9,49.4,0,0
2020-07-09,USA,62,49.5,0.1,0.1
2020-07-10,USA,62,49.5,0,0
2020-07-13,USA,62,49.5,0,0
2020-07-14,USA,62.1,49.5,0.1,0
2020-07-15,USA,62.1,49.5,0,0
2020-07-16,USA,62.1,49.6,0,0.1
2020-07-17,USA,62.1,49.6,0,0
2020-07-20,USA,62.2,49.6,0.1,0
2020-07-21,USA,62.3,49.7,0.1,0.1
2020-07-22,USA,62.3,49.8,0,0.1
2020-07-23,USA,62.3,49.8,0,0
2020-07-24,USA,62.4,49.8,0.1,0
2020-07-27,USA,62.6,50,0.2,0.2
2020-07-28,USA,62.6,50,0,0
2020-07-29,USA,62.7,50.1,0.1,0.1
2020-07-30,USA,62.8,50.1,0.1,0
2020-07-31,USA,62.8,50.2,0,0.1
2020-08-03,USA,62.9,50.3,0.1,0.1
2020-08-04,USA,63,50.3,0.1,0
2020-08-05,USA,63.1,50.4,0.1,0.1
2020-08-06,USA,63.1,50.4,0,0
2020-08-07,USA,63.2,50.5,0.1,0.1
2020-08-10,USA,63.3,50.6,0.1,0.1
2020-08-11,USA,63.4,50.6,0.1,0
2020-08-12,USA,63.4,50.7,0,0.1
2020-08-13,USA,63.5,50.8,0.1,0.1
2020-08-14,USA,63.6,50.8,0.1,0
2020-08-17,USA,63.8,51,0.2,0.2
2020-08-18,USA,63.9,51.1,0.1,0.1
2020-08-19,USA,64,51.2,0.1,0.1
2020-08-20,USA,64.1,51.3,0.1,0.1
2020-08-21,USA,64.2,51.3,0.1,0
2020-08-24,USA,64.4,51.5,0.2,0.2
2020-08-25,USA,64.5,51.6,0.1,0.1
2020-08-26,USA,64.6,51.7,0.1,0.1
2020-08-27,USA,64.6,51.8,0,0.1
2020-08-28,USA,64.7,51.8,0.1,0
2020-08-31,USA,64.9,52,0.2,0.2
2020-09-01,USA,65,52,0.1,0
2020-09-02,USA,65.1,52.1,0.1,0.1
2020-09-03,USA,65.2,52.2,0.1,0.1
2020-09-04,USA,65.3,52.2,0.1,0
2020-09-08,USA,65.5,52.4,0.2,0.2
2020-09-09,USA,65.5,52.4,0,0
2020-09-10,USA,65.6,52.5,0.1,0.1
2020-09-11,USA,65.7,52.5,0.1,0
2020-09-14,USA,65.8,52.6,0.1,0.1
2020-09-15,USA,65.9,52.7,0.1,0.1
